iteration,0,1,2,3,4,5,6,7,8
0,0,660000,0,0,0,0,0,0,0
10,233352,235029,150975,39571,1057,16,0,0,0
20,240062,226093,149240,43041,1516,48,0,0,0
30,242715,222308,149159,43950,1820,45,2,1,0
40,244855,219004,149565,44519,1979,75,3,0,0
50,246674,216311,149715,45030,2186,80,3,1,0
60,247928,214517,149825,45189,2441,98,2,0,0
70,248688,213372,149823,45584,2438,92,3,0,0
80,249222,212490,150131,45491,2557,107,2,0,0
90,249061,212844,149863,45606,2520,104,2,0,0
100,249440,212328,149808,45753,2559,111,1,0,0
110,249897,211544,150060,45776,2610,110,3,0,0
120,249782,211728,149989,45814,2585,100,2,0,0
130,250204,211117,150021,45895,2661,100,2,0,0
140,250268,211139,149781,46061,2645,102,3,0,1
150,250393,210818,150001,46077,2609,100,1,1,0
160,250571,210620,149973,46027,2696,109,4,0,0
170,250540,210617,150020,46058,2658,106,0,1,0
180,250784,210222,150135,46044,2703,108,4,0,0
190,250671,210502,149921,46098,2684,118,6,0,0
200,250671,210433,150039,46048,2705,99,5,0,0
210,251231,209705,149900,46281,2765,116,2,0,0
220,251201,209617,150181,46097,2795,104,5,0,0
230,251172,209803,149902,46218,2791,109,5,0,0
240,250971,209999,149990,46249,2684,104,3,0,0
250,251211,209623,150134,46133,2788,108,3,0,0
260,251422,209477,149875,46248,2866,108,3,1,0
270,251645,209204,149723,46475,2847,99,7,0,0
280,251613,209252,149814,46280,2929,108,4,0,0
290,251726,208998,149911,46400,2851,108,6,0,0
300,251737,209005,149798,46562,2783,109,6,0,0
310,251755,208972,149835,46518,2802,112,6,0,0
320,251385,209669,149533,46512,2784,110,6,1,0
330,251898,208672,150037,46451,2814,123,5,0,0
340,251869,208633,150188,46372,2823,107,8,0,0
350,252299,208065,150105,46528,2880,117,6,0,0
360,252356,207974,150082,46599,2885,99,5,0,0
370,252334,208121,149960,46495,2980,106,4,0,0
380,252485,207934,149812,46740,2927,98,4,0,0
390,252494,207796,150049,46663,2879,113,6,0,0
400,252207,208401,149691,46711,2869,118,3,0,0
410,252171,208390,149871,46538,2899,128,3,0,0
420,252304,208130,149985,46554,2900,124,3,0,0
430,252214,208161,150084,46616,2806,115,4,0,0
440,252423,207891,150014,46728,2827,113,4,0,0
450,252186,208359,149851,46587,2910,104,3,0,0
460,252487,207757,150129,46645,2863,117,1,1,0
470,252491,207718,150168,46678,2817,124,4,0,0
480,252736,207450,149965,46894,2841,111,2,1,0
490,252662,207588,149970,46764,2904,109,2,1,0
500,252665,207545,150024,46779,2870,113,3,1,0
510,252733,207517,149939,46762,2931,114,3,1,0
520,252844,207366,149951,46751,2966,118,3,1,0
530,252766,207490,149846,46889,2899,105,5,0,0
540,252763,207540,149821,46815,2939,115,7,0,0
550,252550,207929,149655,46830,2913,119,4,0,0
560,252914,207256,150053,46590,3072,110,5,0,0
570,252838,207429,149730,47026,2855,119,3,0,0
580,253164,206954,149873,46869,3009,129,2,0,0
590,253048,207262,149589,46978,2993,126,4,0,0
600,253376,206766,149688,46958,3081,126,5,0,0
610,253159,206924,149886,46953,2950,123,5,0,0
620,253008,207308,149580,47017,2961,119,7,0,0
630,253229,206934,149723,46966,3021,124,3,0,0
640,253096,207128,149713,46938,2997,124,4,0,0
650,253243,206686,150108,46866,2989,104,4,0,0
660,252823,207393,149945,46757,2970,106,6,0,0
670,253313,206687,150022,46765,3095,114,4,0,0
680,253073,207109,149879,46758,3052,123,6,0,0
690,252943,207185,149965,46876,2909,111,11,0,0
700,252855,207371,149950,46711,2975,133,4,1,0
710,253058,206925,150184,46762,2945,115,11,0,0
720,252977,207273,149789,46835,2995,122,9,0,0
730,252872,207358,149937,46708,2991,124,10,0,0
740,252796,207323,150183,46606,2971,117,4,0,0
750,252718,207497,150029,46714,2911,127,4,0,0
760,252799,207458,149840,46887,2884,127,5,0,0
770,252680,207521,150061,46714,2908,113,3,0,0
780,252971,207218,149868,46864,2951,119,8,1,0
