iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
0,1540945640687,660000,-1.268435314e+07,0,0,0,0,660000,0,0,0,0
10,1540945653709,426648,-1.276985438e+07,4340,1516,997,2023,651194,8736,70,0,0
20,1540945667442,419938,-1.282948259e+07,8187,2283,1151,2179,646359,13482,159,0,0
30,1540945680414,417285,-1.288074417e+07,11473,3150,1295,2199,642098,17688,213,1,0
40,1540945692225,415145,-1.292165352e+07,14045,4016,1368,2307,638545,21175,279,1,0
50,1540945703413,413326,-1.295323657e+07,16100,4555,1548,2321,635824,23829,346,1,0
60,1540945715607,412072,-1.297652319e+07,17286,5319,1674,2441,633691,25900,407,2,0
70,1540945726992,411312,-1.299361506e+07,18125,5904,1846,2355,632244,27286,466,4,0
80,1540945738151,410778,-1.300027382e+07,18131,6523,1828,2456,631524,28018,454,4,0
90,1540945749276,410939,-1.299832165e+07,17332,7136,2027,2389,631636,27847,514,3,0
100,1540945764383,410560,-1.300629615e+07,17331,7650,2212,2610,630779,28644,572,5,0
110,1540945775743,410103,-1.301205663e+07,17157,8359,2363,2541,630191,29201,605,3,0
120,1540945787353,410218,-1.300812668e+07,16254,8871,2473,2650,630374,29009,612,5,0
130,1540945798371,409796,-1.301467812e+07,16178,9434,2723,2652,629710,29601,681,8,0
140,1540945809585,409732,-1.301457487e+07,15677,9998,2832,2555,629625,29689,685,1,0
150,1540945821231,409607,-1.301407177e+07,15216,10378,2910,2592,629553,29803,639,5,0
160,1540945833124,409429,-1.301388504e+07,14684,10914,3061,2642,629390,29923,683,4,0
170,1540945843726,409460,-1.301663684e+07,14204,11646,3168,2731,628980,30296,719,5,0
180,1540945855234,409216,-1.301700952e+07,13871,11948,3261,2797,628842,30444,709,5,0
190,1540945866731,409329,-1.301409709e+07,13163,12367,3530,2779,628888,30389,719,4,0
200,1540945878033,409329,-1.301400679e+07,12776,12655,3553,2966,628750,30556,688,6,0
210,1540945889630,408769,-1.302226630e+07,13126,13091,3644,2866,628013,31254,726,7,0
220,1540945901151,408799,-1.302003261e+07,12499,13526,3776,2901,628075,31153,767,5,0
230,1540945912331,408828,-1.301490705e+07,11907,13736,3794,2853,628392,30934,666,8,0
240,1540945923405,409029,-1.301670855e+07,11720,14171,3820,2831,628224,31015,756,5,0
250,1540945934829,408789,-1.301287938e+07,11403,13908,4048,2926,628403,30911,684,2,0
260,1540945946608,408578,-1.301955116e+07,11635,14236,4187,2873,627851,31374,768,7,0
270,1540945957844,408355,-1.302258844e+07,11502,14534,4311,3005,627480,31697,814,9,0
280,1540945969378,408387,-1.302360203e+07,11440,14809,4228,3033,627312,31876,802,10,0
290,1540945980508,408274,-1.302212873e+07,11105,14730,4533,3085,627337,31881,774,8,0
300,1540945992152,408263,-1.302027755e+07,10848,15065,4569,2822,627448,31806,740,6,0
310,1540946003211,408245,-1.301915771e+07,10637,15044,4674,2893,627538,31684,770,8,0
320,1540946014904,408615,-1.301979649e+07,10473,15151,4777,3028,627349,31878,768,5,0
330,1540946025162,408102,-1.302448813e+07,10627,15317,4943,3038,626865,32353,774,8,0
340,1540946037479,408131,-1.302285256e+07,10385,15394,5089,2966,627007,32164,817,12,0
350,1540946047915,407701,-1.303080278e+07,10800,15613,5171,2969,626325,32801,870,4,0
360,1540946060015,407644,-1.302963892e+07,10573,15671,5287,3035,626316,32807,872,5,0
370,1540946071084,407666,-1.303275151e+07,10648,15715,5415,3061,626034,33097,865,4,0
380,1540946082426,407515,-1.303617368e+07,10833,15819,5421,3155,625633,33516,841,10,0
390,1540946093528,407506,-1.303350005e+07,10526,15659,5659,3261,625803,33297,892,8,0
400,1540946105756,407793,-1.302797143e+07,9943,15625,5853,3265,626189,32943,861,7,0
410,1540946116573,407829,-1.302942596e+07,9723,16098,5839,3308,625959,33120,915,6,0
420,1540946128403,407696,-1.302381646e+07,9296,16035,5981,3133,626360,32843,789,8,0
430,1540946139686,407786,-1.302219822e+07,8786,16335,6093,3336,626298,32861,834,7,0
440,1540946149950,407577,-1.302439711e+07,8968,16371,6065,3276,626179,32972,839,10,0
450,1540946161371,407814,-1.302515387e+07,8938,16451,6152,3259,626094,33021,876,9,0
460,1540946173024,407513,-1.302296516e+07,8645,16581,6250,3129,626252,32893,853,2,0
470,1540946184303,407509,-1.302475412e+07,8767,16495,6227,3314,626027,33151,814,8,0
480,1540946196271,407264,-1.303039769e+07,8794,16871,6478,3268,625401,33792,802,5,0
490,1540946206929,407338,-1.302617638e+07,8568,16850,6361,3330,625694,33507,795,4,0
500,1540946220029,407335,-1.302694650e+07,8724,16640,6523,3236,625682,33520,791,7,0
510,1540946231941,407267,-1.302755429e+07,8478,16819,6751,3243,625596,33524,873,7,0
520,1540946243175,407156,-1.303042656e+07,8620,16835,6779,3281,625343,33807,842,8,0
530,1540946254572,407234,-1.302579569e+07,8571,16677,6629,3134,625863,33273,854,10,0
540,1540946265429,407237,-1.303113865e+07,8732,16735,6780,3353,625248,33907,842,3,0
550,1540946277146,407450,-1.302454151e+07,8394,16744,6718,3108,625889,33267,835,9,0
560,1540946288824,407086,-1.303066622e+07,8405,16977,6973,3369,625167,33963,849,21,0
570,1540946299419,407162,-1.302992733e+07,8299,16958,6997,3471,625210,33869,907,14,0
580,1540946310898,406836,-1.303227834e+07,8456,16936,7040,3493,624960,34163,869,8,0
590,1540946322402,406952,-1.303534270e+07,8566,17127,7091,3424,624722,34357,912,9,0
600,1540946334751,406624,-1.303813057e+07,8574,17437,7093,3362,624482,34582,924,12,0
610,1540946346295,406841,-1.303599825e+07,8455,17181,7293,3425,624553,34557,873,17,0
620,1540946357861,406992,-1.303195422e+07,8315,16910,7146,3569,624946,34171,880,3,0
630,1540946369303,406771,-1.303459770e+07,8433,17270,7234,3200,624799,34274,918,9,0
640,1540946380606,406904,-1.303096353e+07,8385,16857,7241,3255,625171,33928,893,8,0
650,1540946392206,406757,-1.303688872e+07,8423,17125,7571,3401,624447,34595,950,7,1
660,1540946403588,407177,-1.302847487e+07,8101,16760,7339,3421,625264,33861,865,10,0
670,1540946414840,406687,-1.303510866e+07,8353,16938,7494,3506,624641,34430,926,3,0
680,1540946427618,406927,-1.303195036e+07,8167,16721,7614,3531,624880,34216,895,9,0
690,1540946439237,407057,-1.303106699e+07,8210,16433,7787,3500,625002,34075,914,9,0
700,1540946450727,407145,-1.303074029e+07,8320,16331,7764,3437,625078,34011,892,19,0
710,1540946462475,406942,-1.303392435e+07,8582,16341,7798,3380,624769,34374,844,13,0
720,1540946474713,407023,-1.303336548e+07,8707,16113,7774,3377,624955,34129,906,10,0
730,1540946486436,407128,-1.302903923e+07,8496,15889,7867,3357,625336,33729,925,10,0
740,1540946497749,407204,-1.302844496e+07,8356,15879,7886,3520,625250,33866,877,7,0
750,1540946508471,407282,-1.302746498e+07,8068,16189,7973,3343,625328,33778,887,7,0
760,1540946520238,407201,-1.303021701e+07,8090,16336,7971,3529,625026,34034,928,12,0
770,1540946532017,407320,-1.302766054e+07,8054,16075,7949,3598,625231,33869,893,7,0
780,1540946543258,407029,-1.303016491e+07,8241,16168,8065,3335,625127,33941,928,4,0
790,1540946555261,406979,-1.303295540e+07,8246,16369,8071,3474,624768,34313,910,9,0
800,1540946567396,406664,-1.303547675e+07,8303,16510,8252,3395,624522,34507,960,11,0
810,1540946578319,406943,-1.303377131e+07,8176,16470,8234,3420,624634,34441,916,9,0
820,1540946590218,406939,-1.302953370e+07,7876,16513,8196,3353,624960,34151,880,9,0
830,1540946601858,406932,-1.303265275e+07,7744,16743,8487,3390,624561,34523,907,9,0
840,1540946612902,406924,-1.303052646e+07,7852,16477,8289,3443,624846,34255,891,8,0
850,1540946623671,406947,-1.302851898e+07,7813,16172,8461,3424,625052,34028,918,2,0
860,1540946635185,406702,-1.303858501e+07,8484,16242,8554,3469,624322,34618,1049,11,0
870,1540946646386,406737,-1.303742359e+07,8479,15977,8690,3484,624354,34668,972,6,0
880,1540946658275,406918,-1.303289055e+07,8171,16124,8506,3435,624675,34422,895,8,0
890,1540946669995,406919,-1.303444257e+07,8288,15992,8554,3541,624577,34485,924,14,0
900,1540946692447,406889,-1.303284803e+07,8084,16119,8588,3466,624669,34414,908,9,0
910,1540946703451,406582,-1.303671136e+07,8227,16335,8509,3651,624301,34687,1001,11,0
920,1540946714304,406655,-1.303768460e+07,8516,16095,8570,3442,624317,34746,934,3,0
930,1540946726021,406640,-1.303575220e+07,8311,16041,8651,3548,624454,34552,983,11,0
940,1540946737829,406815,-1.303406634e+07,8263,15956,8669,3422,624590,34515,890,5,0
950,1540946749174,406873,-1.303285137e+07,8061,16017,8675,3570,624635,34421,930,14,0
960,1540946760626,406793,-1.303296700e+07,8263,15789,8736,3448,624706,34366,914,14,0
970,1540946772097,406633,-1.303194305e+07,8340,15631,8560,3562,624862,34192,937,9,0
980,1540946782952,407136,-1.302928819e+07,7849,15792,8819,3566,624903,34180,905,12,0
990,1540946794452,407003,-1.302796339e+07,8059,15473,8720,3525,625161,33912,916,11,0
1000,1540946806309,406867,-1.303285124e+07,8144,15685,8904,3556,624638,34447,903,12,0
1010,1540946817947,406811,-1.303221721e+07,7869,16032,8992,3420,624673,34358,952,17,0
1020,1540946830152,406684,-1.303417101e+07,8265,15766,8883,3495,624584,34437,965,14,0
1030,1540946842054,406917,-1.302794359e+07,7908,15637,8822,3466,625037,34102,852,9,0
1040,1540946854256,407016,-1.302965591e+07,8006,15462,9022,3530,624888,34212,892,8,0
1050,1540946866620,406919,-1.303033552e+07,8041,15518,8996,3440,624936,34139,919,6,0
1060,1540946877235,406869,-1.303323015e+07,8024,15758,9045,3610,624511,34545,940,4,0
1070,1540946888367,407030,-1.302968969e+07,7713,15945,9037,3387,624875,34182,930,12,1
1080,1540946899497,407126,-1.302671917e+07,7439,15952,9054,3457,625062,33984,944,10,0
1090,1540946910234,406977,-1.302755689e+07,7396,16148,8947,3566,624848,34254,891,7,0
1100,1540946922413,406736,-1.303098998e+07,7546,16212,9079,3505,624593,34481,917,9,0
1110,1540946933172,406638,-1.303577729e+07,7920,16197,9091,3524,624215,34844,935,6,0
1120,1540946944902,406453,-1.303432961e+07,7803,16192,9205,3415,624311,34774,904,11,0
1130,1540946955410,406727,-1.303563608e+07,7845,16210,9215,3484,624206,34846,936,12,0
1140,1540946967188,406461,-1.304022072e+07,8052,16421,9236,3503,623796,35210,980,14,0
1150,1540946978616,406381,-1.303896118e+07,8043,16428,9127,3468,623919,35104,969,8,0
1160,1540946989748,406289,-1.303758228e+07,8097,16201,9131,3365,624205,34805,981,9,0
1170,1540947001556,406677,-1.303302879e+07,7937,15829,9160,3474,624574,34460,958,8,0
1180,1540947013349,406781,-1.303118395e+07,8139,15579,8950,3365,624883,34211,896,10,0
1190,1540947023804,406738,-1.303241077e+07,8361,15366,9059,3365,624772,34314,905,9,0
1200,1540947046199,406602,-1.303573105e+07,8496,15507,9050,3417,624518,34507,962,13,0
1210,1540947057420,406696,-1.303260218e+07,8228,15584,9011,3354,624742,34349,899,10,0
1220,1540947069402,406921,-1.303254869e+07,7974,15665,9227,3462,624596,34493,898,13,0
1230,1540947080493,406900,-1.302963943e+07,7793,15848,9047,3333,624929,34131,930,10,0
1240,1540947092134,406908,-1.303054371e+07,7985,15545,9141,3387,624918,34120,948,14,0
1250,1540947103551,406790,-1.303130989e+07,7960,15601,9085,3635,624659,34410,922,9,0
1260,1540947114558,406764,-1.303267597e+07,8062,15537,9259,3539,624537,34542,908,13,0
1270,1540947125952,406456,-1.303801622e+07,8441,15809,9165,3346,624239,34776,970,15,0
