iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,10732,11529,11411,10669,9971,9537,9971,9462,9966,9947,10732,11482,9936,11399,10795,9933,10421,9626,11013,9582,11005,9513,9711,9414,10419,9718,10452,9632,10423,9438,10418,11146,11117,10338,9941,9621,9587,10756,9436,9405,9719,10724,9942,11393,10497,11144,9471,9471,9922,9585,11494,11382,9985,11081,11048,11431,10011,11081,10727,10348,9720,9940,10841,9439
10,10648,11439,11355,10575,9885,9602,9824,9418,9964,9908,10497,11300,9970,11528,10803,9862,10409,9496,11125,9698,11011,9340,9848,9467,10369,9688,10513,9630,10577,9403,10477,11186,11128,10369,9855,9540,9494,10595,9514,9297,9886,10756,10125,11310,10505,11186,9676,9508,10029,9643,11513,11420,9969,11138,11176,11425,10025,11071,10678,10210,9770,9970,10808,9596
20,10594,11472,11471,10745,9985,9521,9901,9617,10071,9882,10549,11480,9880,11466,10742,9960,10454,9575,11041,9614,11119,9427,9717,9407,10400,9667,10399,9594,10611,9386,10398,11200,11004,10399,9772,9658,9421,10596,9446,9423,9640,10959,10094,11362,10589,11142,9580,9356,9949,9553,11434,11302,9941,11056,11044,11531,10000,11072,10789,10358,9805,10100,10691,9589
30,10706,11421,11553,10596,10021,9546,9918,9618,10108,9839,10635,11459,9953,11578,10750,9874,10429,9595,11075,9574,11140,9453,9631,9333,10370,9742,10426,9654,10559,9340,10328,11155,11055,10380,9782,9485,9507,10731,9476,9491,9774,10745,10046,11254,10392,11149,9579,9351,9983,9656,11427,11394,9992,11128,11254,11540,9997,11148,10663,10343,9593,9988,10804,9514
40,10664,11581,11456,10643,10019,9578,9944,9473,10056,9977,10483,11456,9874,11361,10836,9990,10367,9511,11140,9609,11167,9498,9830,9422,10432,9660,10525,9691,10423,9331,10359,11352,11082,10390,9748,9548,9525,10647,9381,9424,9850,10790,9996,11187,10452,11286,9531,9361,9968,9611,11473,11300,9974,11129,11137,11403,9914,11112,10734,10318,9776,9915,10824,9506
50,10754,11482,11506,10612,9930,9676,9917,9615,10043,9840,10614,11383,9993,11683,10727,10017,10341,9560,11110,9595,11010,9504,9683,9352,10272,9738,10509,9548,10497,9390,10587,11177,11096,10433,9849,9619,9402,10756,9288,9413,9781,10747,10036,11269,10481,11097,9545,9356,10006,9553,11431,11454,9907,11102,11108,11518,10056,11178,10687,10277,9735,10005,10706,9444
60,10748,11538,11540,10646,9939,9684,9945,9572,9994,9839,10745,11452,9901,11402,10744,9964,10288,9595,11058,9597,11056,9480,9814,9290,10429,9616,10483,9482,10451,9440,10330,11314,11085,10276,9744,9425,9370,10770,9523,9328,9710,10770,10035,11287,10549,11156,9754,9371,10067,9655,11369,11386,9991,11148,11127,11482,9941,11105,10670,10360,9747,9979,10858,9586
70,10725,11618,11537,10582,9872,9738,9891,9559,9998,9896,10491,11458,9888,11547,10805,10026,10331,9478,11100,9398,11126,9516,9768,9348,10239,9714,10452,9577,10438,9380,10360,11226,11038,10342,9784,9505,9506,10789,9537,9450,9705,10761,9980,11377,10479,11173,9692,9479,9963,9742,11570,11416,9847,11046,11132,11550,9998,11064,10713,10230,9630,9959,10826,9635
80,10664,11521,11307,10678,9905,9648,9833,9684,10112,9969,10585,11382,9859,11401,10862,10002,10394,9526,11179,9581,11009,9500,9543,9337,10323,9744,10463,9530,10479,9488,10432,11296,11146,10420,9718,9502,9513,10708,9528,9382,9801,10726,10144,11256,10382,11289,9605,9349,9876,9575,11493,11430,10107,11041,11133,11534,9944,11063,10666,10258,9765,10041,10846,9523
90,10618,11402,11381,10523,10000,9622,9883,9518,10095,9927,10578,11323,9965,11443,10783,10029,10400,9613,11104,9488,11124,9398,9733,9411,10391,9546,10513,9651,10467,9378,10367,11269,11217,10421,9883,9558,9494,10624,9376,9377,9755,10624,10019,11176,10530,11164,9638,9431,9928,9586,11518,11454,9887,11179,11185,11499,10054,11065,10777,10402,9808,10118,10793,9517
