iteration,0,1,2,3,4,5,6,7,8,9,10
0,0,448134,0,0,0,0,0,0,0,0,0
10,4175,439785,4173,1,0,0,0,0,0,0,0
20,27234,393750,27066,84,0,0,0,0,0,0,0
30,75115,298711,73508,793,7,0,0,0,0,0,0
40,96657,256516,93302,1622,37,0,0,0,0,0,0
50,101224,247895,96869,2083,63,0,0,0,0,0,0
60,102231,246118,97413,2298,74,0,0,0,0,0,0
70,102576,245529,97565,2382,81,1,0,0,0,0,0
80,102831,245080,97704,2430,89,0,0,0,0,0,0
90,103056,244680,97842,2457,96,3,0,0,0,0,0
100,103238,244331,97993,2474,95,3,0,0,0,0,0
110,103409,244007,98126,2496,94,1,1,0,0,0,0
120,103584,243673,98273,2505,96,2,1,0,0,0,0
130,103760,243335,98426,2510,99,3,1,0,0,0,0
140,103981,242918,98603,2524,103,4,1,0,0,0,0
150,104189,242522,98768,2549,102,3,1,0,0,0,0
160,104403,242104,98963,2559,99,5,1,0,0,0,0
170,104637,241662,99145,2585,99,5,1,0,0,0,0
180,104891,241181,99345,2611,101,4,1,0,0,0,0
190,105150,240684,99567,2622,106,4,1,0,0,0,0
200,105432,240156,99774,2665,101,5,1,0,0,0,0
210,105688,239657,100001,2683,100,4,1,0,0,0,0
220,105981,239117,100206,2721,104,4,1,0,0,0,0
230,106287,238517,100489,2731,105,4,1,0,0,0,0
240,106590,237941,100739,2747,112,4,1,0,0,0,0
250,106904,237355,100970,2789,109,6,1,0,0,0,0
260,107216,236765,101217,2817,112,6,1,0,0,0,0
270,107537,236161,101455,2867,109,4,1,0,0,0,0
280,107890,235495,101732,2900,111,5,1,0,0,0,0
290,108239,234853,101973,2947,117,4,1,0,0,0,0
300,108626,234102,102307,2985,108,5,1,0,0,0,0
310,108977,233442,102578,3021,108,7,1,0,0,0,0
320,109323,232757,102910,3027,110,6,1,0,0,0,0
330,109678,232120,103125,3087,118,5,1,0,0,0,0
340,110069,231375,103446,3117,121,4,2,0,0,0,0
350,110433,230687,103734,3150,122,7,1,0,0,0,0
360,110863,229878,104067,3191,127,7,1,0,0,0,0
370,111175,229305,104284,3228,133,9,0,0,0,0,0
380,111516,228641,104579,3264,128,5,1,0,0,0,0
390,111890,227939,104870,3295,131,8,1,0,0,0,0
400,112301,227164,105190,3335,136,7,1,0,0,0,0
410,112651,226507,105458,3369,142,6,1,0,0,0,0
420,113051,225742,105790,3403,138,9,1,0,0,0,0
430,113426,225025,106106,3422,145,9,1,0,0,0,0
440,113825,224270,106422,3459,148,9,1,0,0,0,0
450,114236,223505,106723,3507,154,8,1,0,0,0,0
460,114649,222736,107017,3576,146,8,2,0,0,0,0
470,115083,221962,107281,3634,163,10,1,0,0,0,0
480,115509,221137,107655,3657,166,8,2,0,0,0,0
490,115966,220293,107987,3701,173,12,2,0,0,0,0
500,116377,219525,108291,3750,179,11,1,0,0,0,0
510,116800,218764,108552,3824,178,14,2,0,0,0,0
520,117242,217954,108859,3871,192,15,1,0,0,0,0
530,117669,217136,109217,3899,200,11,2,0,0,0,0
540,118096,216330,109548,3952,190,16,2,0,0,0,0
550,118577,215430,109901,4019,193,12,1,1,0,0,0
560,119005,214634,110211,4076,193,12,3,0,0,0,0
570,119392,213886,110545,4104,191,14,2,0,0,0,0
580,119784,213163,110831,4136,201,17,2,0,0,0,0
590,120225,212341,111161,4177,212,16,2,0,0,0,0
600,120622,211578,111489,4227,197,17,4,0,0,0,0
610,121044,210809,111765,4290,208,15,3,0,0,0,0
620,121435,210084,112050,4332,214,16,3,0,0,0,0
630,121876,209245,112407,4367,224,13,1,1,0,0,0
640,122305,208460,112683,4454,216,14,2,0,0,0,0
650,122690,207706,113046,4455,216,19,2,0,0,0,0
660,123078,207026,113246,4542,223,16,3,0,0,0,0
670,123461,206321,113510,4599,221,20,2,0,0,0,0
680,123848,205616,113771,4646,232,16,5,0,0,0,0
690,124236,204892,114064,4679,243,15,5,0,0,0,0
700,124651,204142,114331,4739,247,19,5,0,0,0,0
710,125050,203393,114630,4792,245,19,5,0,0,0,0
720,125444,202653,114939,4817,258,19,3,1,0,0,0
730,125757,202110,115080,4913,247,25,2,0,0,0,0
740,126114,201448,115348,4937,258,27,2,0,0,0,0
750,126539,200684,115608,5014,257,28,4,0,0,0,0
760,126852,200060,115914,5019,258,29,2,0,0,0,0
770,127209,199435,116096,5097,272,22,3,0,0,0,0
780,127584,198727,116399,5118,281,20,4,1,0,0,0
790,127931,198127,116586,5161,297,28,4,0,0,0,0
800,128277,197444,116912,5169,303,27,2,0,0,0,0
810,128638,196794,117136,5230,304,30,2,0,0,0,0
820,129046,196071,117372,5297,315,30,3,0,0,0,0
830,129370,195479,117577,5365,312,28,3,0,0,0,0
840,129724,194833,117821,5401,325,24,6,0,0,0,0
850,130107,194159,118025,5483,328,28,4,0,0,0,0
860,130425,193576,118246,5517,339,27,4,0,0,0,0
870,130742,192974,118516,5515,355,29,3,0,0,0,0
880,131094,192367,118694,5572,376,27,4,0,0,0,0
890,131378,191858,118866,5626,369,32,5,0,0,0,0
900,131635,191358,119099,5635,367,35,5,0,0,0,0
910,131929,190836,119254,5717,356,37,5,0,0,0,0
920,132176,190395,119409,5736,384,27,7,0,0,0,0
930,132425,189928,119616,5734,392,31,7,1,0,0,0
940,132715,189443,119729,5798,415,25,9,0,0,0,0
950,133028,188861,119932,5891,385,28,7,2,0,0,0
960,133223,188482,120125,5862,401,34,7,0,0,0,0
970,133487,188015,120267,5918,408,35,4,0,0,0,0
980,133795,187457,120470,5956,414,39,3,0,0,0,0
990,134032,187007,120646,5997,419,30,3,0,0,0,0
1000,134298,186498,120852,6052,398,32,4,0,0,0,0
1010,134530,186105,120975,6064,422,29,9,0,0,0,0
1020,134789,185623,121140,6139,408,28,7,0,0,0,0
1030,135009,185166,121403,6109,406,35,6,0,0,0,0
1040,135264,184742,121500,6172,410,40,6,0,0,0,0
1050,135531,184270,121655,6212,419,40,7,0,0,0,0
1060,135777,183786,121875,6239,413,35,9,0,0,0,0
1070,136045,183347,121976,6285,436,36,7,2,0,0,0
1080,136254,182954,122130,6315,438,36,6,1,0,0,0
1090,136509,182471,122329,6337,450,34,4,0,0,0,0
1100,136690,182131,122463,6370,438,37,5,0,0,0,0
1110,136965,181652,122609,6415,452,35,6,0,0,0,0
1120,137199,181215,122786,6434,460,35,5,0,0,0,0
