iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1540688275724,448134,-1.540494216e+07,0,0,0,0,0,0,448134,0,0,0,0,0,0
10,1540688294879,443959,-1.567640233e+07,3704,3718,13193,3697,3713,3531,417370,29984,768,12,0,0,0
20,1540688314636,420900,-1.625033833e+07,3169,3566,78669,4335,4116,3943,353650,91223,3208,53,0,0,0
30,1540688332300,373019,-1.704541599e+07,1551,2299,191615,3804,3702,3559,247632,194554,5870,76,2,0,0
40,1540688348783,351477,-1.729180274e+07,1149,1565,231013,3316,3345,3169,210703,231359,6019,52,1,0,0
50,1540688365355,346910,-1.733830835e+07,1075,1590,237680,3152,3585,2982,204240,237799,6020,75,0,0,0
60,1540688381453,345903,-1.734498582e+07,1060,1544,238793,3164,3764,3288,203025,238693,6328,88,0,0,0
70,1540688397146,345558,-1.736169654e+07,1153,1581,240191,3181,3818,3735,201282,240110,6678,63,1,0,0
80,1540688413385,345303,-1.736429038e+07,1118,1705,239358,3276,4013,3960,201779,239358,6919,78,0,0,0
90,1540688429485,345078,-1.737217921e+07,1163,1617,239993,3298,4578,4137,200897,239780,7365,92,0,0,0
100,1540688447817,344896,-1.738065733e+07,1183,1548,240288,3645,4705,4322,200311,240054,7671,97,1,0,0
110,1540688463389,344725,-1.738303363e+07,1283,1612,240330,3698,5230,4418,199809,240196,8013,115,1,0,0
120,1540688480125,344550,-1.738362972e+07,1255,1510,239420,3768,5686,4739,200339,239348,8312,134,1,0,0
130,1540688496222,344374,-1.739014739e+07,1319,1659,239414,3854,5926,4894,200006,239287,8744,97,0,0,0
140,1540688512321,344153,-1.738939639e+07,1260,1589,238521,3758,6096,5445,200639,238467,8883,144,1,0,0
150,1540688528180,343945,-1.740676762e+07,1502,1644,239876,3883,6669,5556,198747,239810,9412,164,1,0,0
160,1540688544247,343731,-1.741096981e+07,1344,1555,239730,4032,6814,6027,198669,239593,9709,161,2,0,0
170,1540688560302,343497,-1.741771992e+07,1354,1679,240038,4310,7077,6304,197917,239829,10232,155,1,0,0
180,1540688576264,343243,-1.742245600e+07,1388,1585,239532,4234,7639,6556,198031,239462,10454,184,3,0,0
190,1540688592889,342984,-1.743107224e+07,1462,1568,239549,4290,8376,6896,197472,239400,11049,209,4,0,0
200,1540688609583,342702,-1.744102611e+07,1452,1633,239984,4440,9066,7197,196509,239727,11653,241,4,0,0
210,1540688625426,342446,-1.744466836e+07,1469,1613,239069,4240,9384,7889,196997,238863,12021,253,0,0,0
220,1540688641705,342153,-1.744910272e+07,1605,1548,238588,4428,10001,8176,196898,238378,12609,246,3,0,0
230,1540688657429,341847,-1.746136721e+07,1538,1495,239279,4434,10435,8598,195910,238940,13015,267,2,0,0
240,1540688673616,341544,-1.746866666e+07,1696,1643,239209,4573,10628,8966,195452,238945,13441,296,0,0,0
250,1540688689807,341230,-1.747990928e+07,1751,1411,239787,4423,11104,9161,194540,239850,13447,295,2,0,0
260,1540688705829,340918,-1.749258148e+07,1662,1684,240197,4487,12059,10029,193328,239836,14630,338,2,0,0
270,1540688722475,340597,-1.749458579e+07,1776,1536,239200,4629,12797,10421,193665,238929,15194,342,4,0,0
280,1540688739632,340244,-1.750619273e+07,1743,1507,239694,4531,13455,10798,192901,239127,15723,377,6,0,0
290,1540688756324,339895,-1.752025602e+07,1767,1649,240579,4881,13834,11186,191400,239975,16362,391,6,0,0
300,1540688773759,339508,-1.751613896e+07,1782,1589,239143,4480,14508,11628,192381,238824,16482,446,1,0,0
310,1540688790307,339157,-1.752505991e+07,1821,1544,238620,4867,15061,12196,192165,238283,17238,442,6,0,0
320,1540688806931,338811,-1.754020644e+07,1845,1613,239654,4867,15758,12548,190651,239177,17814,488,4,0,0
330,1540688823682,338456,-1.754719477e+07,1940,1602,239342,4697,16527,13130,190325,238891,18413,499,6,0,0
340,1540688840784,338065,-1.754732051e+07,1957,1580,238776,4965,17040,13035,190571,238288,18769,497,9,0,0
350,1540688857397,337701,-1.756596063e+07,1836,1517,239734,4887,17388,14546,188870,239198,19494,566,6,0,0
360,1540688874063,337271,-1.757362181e+07,1902,1556,238774,4783,18978,14782,188858,238360,20339,571,6,0,0
370,1540688890298,336959,-1.758445475e+07,2060,1527,239875,5050,19454,14549,187580,239227,20699,622,6,0,0
380,1540688906979,336618,-1.758980262e+07,1926,1595,239711,5249,19991,15135,187329,238681,21457,656,11,0,0
390,1540688923633,336244,-1.760213213e+07,1949,1650,239411,5384,20732,15717,186585,238910,21988,647,4,0,0
400,1540688941176,335833,-1.761270933e+07,1952,1612,239630,5518,21593,16537,185785,238661,22899,773,16,0,0
410,1540688957372,335483,-1.761989273e+07,1912,1507,239414,5443,22102,16835,185727,238320,23374,707,6,0,0
420,1540688973903,335083,-1.762880293e+07,1986,1555,239310,5583,22431,17389,185272,238286,23770,796,10,0,0
430,1540688990272,334708,-1.763374963e+07,1915,1427,239225,5378,23188,18034,184916,238099,24304,800,15,0,0
440,1540689007045,334309,-1.764129802e+07,1957,1514,239223,5596,24674,18010,183946,238325,24949,905,9,0,0
450,1540689023478,333898,-1.765767838e+07,2100,1438,239887,5611,25375,19151,182567,238571,26008,977,11,0,0
460,1540689040145,333485,-1.767370257e+07,2066,1382,240501,5752,26541,19643,181216,239017,26847,1042,12,0,0
470,1540689056308,333051,-1.768570663e+07,2061,1410,240590,5991,26838,20142,180729,238866,27465,1060,14,0,0
480,1540689072935,332625,-1.769029153e+07,2074,1532,240537,5833,27608,20639,180143,238856,28050,1073,12,0,0
490,1540689089710,332168,-1.770104755e+07,2166,1472,240290,5876,28327,20956,180021,238277,28714,1106,16,0,0
500,1540689106812,331757,-1.770774733e+07,2128,1372,239853,6223,29599,21244,179686,237662,29616,1155,15,0,0
510,1540689123044,331334,-1.772094426e+07,2297,1460,239896,6150,30574,21333,178713,238298,29978,1124,21,0,0
520,1540689139607,330892,-1.773460139e+07,2183,1443,239961,6094,31373,22524,178008,237962,30892,1256,16,0,0
