iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,57077,0,0,0,0,0,0,0,0,0,0,0
10,20689,21148,10061,4962,172,37,8,0,0,0,0,0,0
20,21212,20621,9651,5306,215,56,16,0,0,0,0,0,0
30,21300,20521,9650,5291,217,73,25,0,0,0,0,0,0
40,21386,20419,9635,5304,222,79,31,1,0,0,0,0,0
50,21426,20338,9697,5274,223,83,36,0,0,0,0,0,0
60,21501,20237,9683,5311,224,83,37,0,1,0,0,0,0
70,21553,20140,9731,5295,240,80,37,0,1,0,0,0,0
80,21649,19999,9746,5312,249,83,35,3,1,0,0,0,0
90,21678,19955,9744,5328,250,85,34,3,0,0,0,0,0
100,21753,19837,9770,5340,249,88,37,2,1,0,0,0,0
110,21816,19725,9814,5341,251,89,36,4,1,0,0,0,0
120,21915,19580,9826,5354,275,86,36,3,2,0,0,0,0
130,21953,19519,9844,5351,282,84,40,3,1,0,0,0,0
140,22053,19363,9869,5367,297,86,38,3,1,0,0,0,0
150,22112,19271,9882,5382,302,84,41,2,1,0,0,0,0
160,22191,19126,9946,5373,314,84,38,4,1,0,0,0,0
170,22271,19012,9942,5403,323,81,41,3,1,0,0,0,0
180,22378,18863,9935,5432,343,84,39,2,1,0,0,0,0
190,22460,18719,9982,5436,355,88,34,2,1,0,0,0,0
200,22551,18568,10019,5458,354,86,37,3,1,0,0,0,0
210,22656,18436,9999,5479,374,93,36,3,1,0,0,0,0
220,22764,18274,10023,5487,393,96,37,2,1,0,0,0,0
230,22897,18078,10027,5537,401,96,38,2,1,0,0,0,0
240,22940,18038,10013,5515,430,100,39,2,0,0,0,0,0
250,23040,17858,10070,5549,419,97,39,3,2,0,0,0,0
260,23161,17660,10123,5557,437,92,39,6,2,0,0,0,0
270,23253,17530,10135,5557,454,105,38,3,2,0,0,0,0
280,23375,17343,10153,5603,454,100,42,5,2,0,0,0,0
290,23517,17147,10158,5618,483,103,45,5,1,0,0,0,0
300,23648,16933,10222,5610,511,101,45,5,2,0,0,0,0
310,23746,16746,10279,5647,518,94,42,2,3,0,0,0,0
320,23837,16621,10284,5653,538,95,44,2,3,0,0,0,0
330,23902,16548,10260,5663,553,106,39,4,2,0,0,0,0
340,24062,16317,10253,5726,576,94,43,4,2,0,0,0,0
350,24135,16207,10283,5722,567,117,39,5,2,0,0,0,0
360,24238,16064,10273,5759,582,114,39,6,2,0,0,0,0
370,24339,15918,10282,5785,582,122,42,6,1,0,0,0,0
380,24457,15712,10351,5778,618,114,43,3,1,0,0,0,0
390,24570,15577,10350,5749,660,121,43,6,1,0,0,0,0
400,24670,15394,10424,5747,664,135,39,3,1,0,0,0,0
410,24775,15254,10393,5801,687,122,40,4,1,0,0,0,0
420,24846,15138,10463,5744,703,136,41,5,1,0,0,0,0
430,24954,14997,10433,5779,745,123,42,3,0,1,0,0,0
440,25016,14918,10416,5820,726,131,44,5,0,1,0,0,0
450,25103,14778,10447,5826,739,140,38,5,1,0,0,0,0
460,25221,14658,10387,5840,788,132,46,4,0,1,0,0,0
470,25294,14501,10487,5829,779,129,52,6,0,0,0,0,0
480,25408,14342,10481,5858,798,138,47,5,0,0,0,0,0
490,25495,14217,10492,5859,826,136,49,3,0,0,0,0,0
500,25536,14181,10456,5875,839,142,43,5,0,0,0,0,0
510,25606,14088,10467,5857,861,153,40,5,0,0,0,0,0
520,25704,13930,10502,5886,851,153,43,6,2,0,0,0,0
530,25804,13820,10453,5911,886,150,47,6,0,0,0,0,0
540,25848,13745,10469,5921,892,153,45,4,0,0,0,0,0
550,25937,13600,10495,5959,881,149,51,5,0,0,0,0,0
560,25979,13567,10483,5926,909,156,50,6,1,0,0,0,0
570,26113,13388,10469,5953,942,154,53,4,1,0,0,0,0
580,26128,13311,10546,5964,922,152,45,8,1,0,0,0,0
590,26224,13223,10492,5967,954,157,53,6,1,0,0,0,0
