iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1540789163976,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1540789170584,36388,-9.290100834e+05,209,50,23,20,44,19,56713,363,1,0,0,0,0
20,1540789176105,35865,-9.307960832e+05,288,93,34,35,69,37,56522,554,1,0,0,0,0
30,1540789179555,35777,-9.314695681e+05,338,115,54,50,71,45,56408,665,4,0,0,0,0
40,1540789183687,35691,-9.318146133e+05,358,130,61,62,68,62,56340,733,4,0,0,0,0
50,1540789187066,35651,-9.327895915e+05,388,143,84,68,83,72,56244,828,5,0,0,0,0
60,1540789191072,35576,-9.338096173e+05,438,184,101,80,98,67,56118,950,9,0,0,0,0
70,1540789194688,35524,-9.340872249e+05,492,207,116,80,104,64,56021,1049,7,0,0,0,0
80,1540789198365,35428,-9.351911609e+05,516,260,119,93,99,55,55945,1122,10,0,0,0,0
90,1540789201381,35399,-9.358130472e+05,544,291,143,97,103,64,55848,1216,13,0,0,0,0
100,1540789207397,35324,-9.365109700e+05,601,310,161,132,93,65,55726,1340,11,0,0,0,0
110,1540789210431,35261,-9.370954996e+05,607,343,185,141,98,73,55644,1419,14,0,0,0,0
120,1540789213879,35162,-9.376262484e+05,629,354,191,162,96,70,55589,1474,14,0,0,0,0
130,1540789216570,35124,-9.389168547e+05,724,407,214,178,110,86,55371,1693,13,0,0,0,0
140,1540789220028,35024,-9.396748447e+05,755,439,224,195,90,81,55316,1738,23,0,0,0,0
150,1540789222837,34965,-9.404052024e+05,805,509,256,197,84,69,55184,1866,27,0,0,0,0
160,1540789226301,34886,-9.412954369e+05,818,570,282,220,73,84,55057,1993,27,0,0,0,0
170,1540789228941,34806,-9.425041790e+05,847,637,303,251,83,81,54911,2130,36,0,0,0,0
180,1540789232361,34699,-9.440782103e+05,908,714,323,256,92,96,54732,2302,42,1,0,0,0
190,1540789235437,34617,-9.450064930e+05,1024,779,356,266,85,93,54522,2507,48,0,0,0,0
200,1540789239943,34526,-9.455382414e+05,983,807,383,280,93,93,54490,2536,50,1,0,0,0
210,1540789242987,34421,-9.454985280e+05,981,867,398,292,85,93,54428,2582,67,0,0,0,0
220,1540789246323,34313,-9.470662199e+05,1029,930,428,313,77,89,54285,2718,74,0,0,0,0
230,1540789249000,34180,-9.483588026e+05,1070,987,450,342,82,102,54113,2896,67,1,0,0,0
240,1540789252711,34137,-9.491596743e+05,1119,1086,465,359,83,98,53944,3056,77,0,0,0,0
250,1540789255495,34037,-9.503801018e+05,1138,1168,503,378,92,108,53777,3215,83,2,0,0,0
260,1540789259582,33916,-9.513668767e+05,1119,1251,530,396,93,117,53652,3344,81,0,0,0,0
270,1540789262241,33824,-9.527472616e+05,1127,1374,560,423,86,115,53483,3505,87,2,0,0,0
280,1540789265550,33702,-9.535803584e+05,1130,1471,582,447,94,117,53347,3619,111,0,0,0,0
290,1540789268271,33560,-9.552168607e+05,1188,1563,606,478,86,118,53161,3793,123,0,0,0,0
300,1540789272686,33429,-9.560715329e+05,1182,1640,648,502,97,105,53025,3932,118,2,0,0,0
310,1540789275418,33331,-9.570759873e+05,1199,1755,696,519,92,106,52846,4099,128,4,0,0,0
320,1540789278983,33240,-9.576602848e+05,1169,1833,734,536,99,103,52748,4189,135,5,0,0,0
330,1540789281506,33175,-9.585700952e+05,1150,1882,771,575,100,118,52649,4264,160,4,0,0,0
340,1540789284908,33015,-9.599062907e+05,1106,2025,808,585,94,115,52515,4393,167,2,0,0,0
350,1540789287584,32942,-9.606826015e+05,1150,2092,829,624,95,117,52372,4504,200,1,0,0,0
360,1540789290920,32839,-9.623327155e+05,1254,2166,851,669,73,124,52131,4757,187,2,0,0,0
370,1540789293496,32738,-9.628399764e+05,1177,2249,916,681,81,131,52057,4812,201,7,0,0,0
380,1540789296251,32620,-9.634761972e+05,1179,2287,950,695,91,125,51967,4895,213,2,0,0,0
390,1540789298921,32507,-9.654275983e+05,1200,2430,1021,746,88,118,51729,5098,245,5,0,0,0
400,1540789302886,32407,-9.666223961e+05,1207,2571,1041,766,79,117,51558,5263,251,4,1,0,0
410,1540789305599,32302,-9.673707424e+05,1205,2638,1094,769,106,119,51429,5368,277,3,0,0,0
420,1540789309050,32231,-9.681933371e+05,1277,2697,1100,795,89,115,51284,5518,270,5,0,0,0
430,1540789311740,32123,-9.690857990e+05,1261,2813,1131,823,98,118,51148,5624,295,10,0,0,0
440,1540789314863,32061,-9.688142782e+05,1194,2817,1179,833,71,112,51186,5584,299,8,0,0,0
450,1540789317446,31974,-9.702229610e+05,1202,2864,1251,878,75,122,51013,5743,314,7,0,0,0
460,1540789321023,31856,-9.710871646e+05,1278,2938,1271,883,79,107,50848,5910,312,6,1,0,0
470,1540789323789,31783,-9.712295717e+05,1211,2974,1330,901,68,105,50813,5944,315,5,0,0,0
480,1540789327692,31669,-9.722981921e+05,1214,3039,1374,935,61,105,50701,6028,344,4,0,0,0
490,1540789330437,31582,-9.734201275e+05,1240,3098,1429,953,63,101,50554,6171,343,9,0,0,0
500,1540789334149,31541,-9.734696937e+05,1148,3127,1463,975,71,107,50510,6245,320,2,0,0,0
510,1540789336751,31471,-9.749442463e+05,1258,3213,1522,990,86,100,50283,6426,361,7,0,0,0
520,1540789339727,31373,-9.763443998e+05,1280,3210,1613,1023,92,101,50169,6503,399,6,0,0,0
530,1540789342542,31273,-9.762790486e+05,1192,3225,1644,1038,77,112,50187,6496,390,4,0,0,0
540,1540789345411,31229,-9.769697823e+05,1264,3221,1702,1062,75,102,50053,6626,394,4,0,0,0
550,1540789347961,31140,-9.773491111e+05,1245,3239,1743,1116,89,95,49970,6698,398,11,0,0,0
560,1540789350986,31098,-9.787869610e+05,1214,3382,1820,1138,90,102,49790,6834,447,6,0,0,0
570,1540789353549,30964,-9.792891233e+05,1210,3444,1877,1148,81,95,49699,6910,459,9,0,0,0
580,1540789356787,30949,-9.800015242e+05,1207,3470,1890,1160,75,96,49664,6933,475,5,0,0,0
590,1540789359363,30853,-9.807183458e+05,1189,3515,1904,1211,69,98,49597,6985,484,11,0,0,0
600,1540789362946,30814,-9.811727651e+05,1235,3564,1963,1224,74,101,49417,7171,477,12,0,0,0
610,1540789365496,30728,-9.817572256e+05,1170,3580,2020,1276,70,97,49364,7225,476,12,0,0,0
620,1540789368385,30656,-9.828716542e+05,1256,3626,2066,1297,63,96,49198,7367,499,13,0,0,0
630,1540789371063,30575,-9.832080385e+05,1167,3673,2094,1352,78,107,49156,7380,532,9,0,0,0
640,1540789374287,30483,-9.842946698e+05,1102,3782,2156,1385,83,102,49021,7508,542,6,0,0,0
650,1540789376856,30387,-9.844068796e+05,1136,3807,2172,1363,67,95,48991,7543,532,11,0,0,0
660,1540789380519,30339,-9.845375692e+05,1084,3769,2225,1390,72,96,48998,7536,529,14,0,0,0
670,1540789383192,30317,-9.846722702e+05,1060,3755,2263,1397,82,93,48971,7570,528,8,0,0,0
680,1540789386781,30279,-9.854044489e+05,1097,3734,2336,1437,89,107,48825,7716,524,12,0,0,0
690,1540789389323,30224,-9.862885111e+05,1118,3779,2410,1464,83,99,48699,7815,551,12,0,0,0
700,1540789392951,30125,-9.867109984e+05,1178,3798,2412,1463,75,90,48658,7833,575,11,0,0,0
710,1540789395589,30122,-9.871000745e+05,1097,3770,2504,1507,71,97,48645,7829,592,11,0,0,0
720,1540789398854,30089,-9.880290054e+05,1159,3767,2574,1543,85,96,48486,7976,598,16,1,0,0
730,1540789401730,30020,-9.889662367e+05,1098,3820,2623,1571,76,106,48430,8009,629,9,0,0,0
740,1540789405036,29967,-9.893118535e+05,1129,3884,2673,1581,86,89,48308,8104,657,8,0,0,0
750,1540789407726,29866,-9.890424198e+05,1096,3832,2704,1602,73,90,48374,8027,658,18,0,0,0
760,1540789410812,29837,-9.906290257e+05,1124,3895,2780,1632,71,93,48176,8225,658,18,0,0,0
770,1540789413448,29746,-9.905182448e+05,1093,3876,2814,1637,63,92,48206,8177,684,10,0,0,0
780,1540789416948,29724,-9.907741474e+05,1116,3816,2872,1655,63,91,48156,8247,656,18,0,0,0
790,1540789419461,29743,-9.909706635e+05,1129,3826,2882,1677,76,88,48144,8212,698,22,1,0,0
800,1540789423633,29674,-9.918355373e+05,1148,3880,2916,1701,78,91,48034,8289,737,17,0,0,0
810,1540789426182,29612,-9.920888908e+05,1108,3853,2964,1734,94,83,48019,8296,746,16,0,0,0
820,1540789429526,29566,-9.928101806e+05,1124,3899,2981,1751,90,75,47951,8353,752,21,0,0,0
830,1540789432565,29536,-9.930207296e+05,1181,3885,3037,1769,92,75,47814,8511,728,24,0,0,0
840,1540789436405,29435,-9.934014659e+05,1163,3877,3084,1782,84,87,47761,8570,731,15,0,0,0
850,1540789438958,29397,-9.943429156e+05,1152,3883,3118,1811,85,97,47733,8572,742,30,0,0,0
860,1540789442281,29414,-9.940535919e+05,1126,3833,3179,1829,79,91,47736,8569,749,22,1,0,0
870,1540789444875,29363,-9.940651907e+05,1120,3862,3197,1839,83,76,47726,8546,784,21,0,0,0
880,1540789447745,29342,-9.954819276e+05,1193,3913,3242,1887,77,82,47517,8753,781,25,1,0,0
890,1540789450592,29239,-9.955661169e+05,1185,3895,3286,1914,69,84,47451,8838,769,19,0,0,0
900,1540789454210,29221,-9.957792549e+05,1150,3840,3318,1930,66,89,47495,8790,774,17,1,0,0
910,1540789456750,29185,-9.961049416e+05,1127,3889,3413,1943,61,80,47424,8822,804,25,2,0,0
920,1540789460118,29127,-9.967340970e+05,1206,3819,3459,1944,72,88,47339,8906,814,18,0,0,0
930,1540789462897,29106,-9.971760287e+05,1200,3854,3486,1989,60,84,47308,8892,850,27,0,0,0
940,1540789465706,29121,-9.973536677e+05,1267,3793,3533,1980,54,84,47235,9001,814,26,1,0,0
950,1540789468289,29046,-9.967333200e+05,1141,3775,3540,2008,61,74,47357,8869,824,26,1,0,0
960,1540789471710,29032,-9.972674158e+05,1077,3804,3582,2047,68,67,47319,8906,818,33,1,0,0
970,1540789474423,28986,-9.966596053e+05,1043,3787,3595,2034,63,72,47356,8872,825,24,0,0,0
980,1540789477769,28996,-9.977811742e+05,1140,3737,3654,2064,72,64,47229,8989,836,22,1,0,0
990,1540789480443,28921,-9.977304216e+05,1097,3742,3693,2066,69,60,47262,8935,848,32,0,0,0
1000,1540789483996,28917,-9.984925540e+05,1090,3799,3725,2132,64,59,47113,9089,845,30,0,0,0
1010,1540789486891,28853,-9.993641748e+05,1099,3858,3746,2161,70,56,47040,9114,893,30,0,0,0
1020,1540789490782,28831,-9.989448519e+05,1105,3828,3763,2146,66,58,47044,9142,849,42,0,0,0
1030,1540789493601,28826,-9.989004196e+05,1134,3710,3816,2118,57,63,47088,9104,861,24,0,0,0
1040,1540789496324,28837,-9.985596034e+05,1111,3751,3805,2131,52,61,47074,9119,860,24,0,0,0
1050,1540789498852,28845,-9.995571795e+05,1082,3765,3872,2179,55,59,47021,9133,890,33,0,0,0
1060,1540789502311,28854,-9.998341113e+05,1102,3753,3908,2175,63,71,46937,9243,862,35,0,0,0
1070,1540789504904,28782,-9.997345361e+05,1083,3724,3880,2198,76,69,46978,9200,868,30,1,0,0
1080,1540789508240,28758,-1.000148232e+06,1066,3715,3945,2208,65,74,46951,9205,896,24,1,0,0
1090,1540789510882,28756,-9.993597480e+05,1047,3602,3984,2210,62,73,47035,9134,880,28,0,0,0
1100,1540789515027,28716,-1.000514802e+06,1100,3666,4013,2237,72,63,46906,9225,912,34,0,0,0
1110,1540789517577,28676,-1.000943681e+06,1077,3645,4042,2266,63,62,46880,9257,922,18,0,0,0
1120,1540789520823,28668,-1.000468605e+06,1009,3636,4053,2311,63,63,46881,9274,905,17,0,0,0
1130,1540789523640,28712,-1.000608507e+06,985,3572,4069,2322,69,59,46947,9216,882,32,0,0,0
1140,1540789526719,28657,-1.000466075e+06,1044,3524,4044,2348,68,70,46971,9143,934,29,0,0,0
1150,1540789529167,28675,-1.000436675e+06,966,3547,4105,2347,67,67,46944,9191,918,24,0,0,0
1160,1540789532360,28670,-1.000360794e+06,924,3540,4106,2388,76,65,46924,9231,898,24,0,0,0
1170,1540789535039,28653,-1.001053567e+06,1022,3554,4129,2397,61,72,46803,9338,911,25,0,0,0
1180,1540789537800,28554,-1.000901042e+06,948,3568,4191,2391,69,62,46817,9313,925,22,0,0,0
1190,1540789540675,28536,-1.001502676e+06,980,3601,4183,2382,70,73,46790,9319,934,34,0,0,0
1200,1540789544829,28494,-1.001694266e+06,941,3580,4272,2397,62,67,46771,9322,955,29,0,0,0
1210,1540789547390,28491,-1.001136830e+06,932,3551,4234,2381,43,76,46844,9272,938,23,0,0,0
1220,1540789550829,28531,-1.000610643e+06,899,3502,4267,2372,54,77,46852,9298,908,19,0,0,0
1230,1540789553543,28534,-1.000736129e+06,863,3526,4224,2380,70,65,46870,9307,879,21,0,0,0
1240,1540789556695,28521,-1.001462612e+06,889,3576,4259,2411,71,71,46732,9445,869,30,1,0,0
1250,1540789559402,28563,-1.002248207e+06,927,3583,4320,2461,62,69,46631,9506,905,34,1,0,0
1260,1540789563152,28415,-1.002331906e+06,946,3514,4367,2467,62,61,46591,9590,861,35,0,0,0
1270,1540789565999,28440,-1.002008642e+06,915,3464,4351,2472,63,68,46682,9491,871,32,1,0,0
1280,1540789569341,28421,-1.002226628e+06,893,3461,4389,2483,69,69,46641,9541,862,33,0,0,0
1290,1540789572081,28402,-1.002781245e+06,965,3477,4399,2496,60,73,46568,9569,919,21,0,0,0
1300,1540789576193,28450,-1.003577833e+06,994,3455,4430,2531,64,72,46528,9580,941,28,0,0,0
1310,1540789578839,28432,-1.002914463e+06,986,3433,4442,2524,45,79,46551,9572,925,29,0,0,0
1320,1540789582298,28409,-1.002361096e+06,936,3380,4453,2538,43,77,46602,9550,900,23,2,0,0
1330,1540789584778,28320,-1.002359415e+06,865,3374,4444,2564,52,78,46623,9563,860,30,1,0,0
1340,1540789588104,28289,-1.003154002e+06,1016,3365,4450,2578,51,72,46507,9639,900,31,0,0,0
1350,1540789590625,28297,-1.003038557e+06,1008,3365,4431,2594,53,77,46561,9534,952,30,0,0,0
1360,1540789593889,28285,-1.004188223e+06,1089,3366,4465,2649,48,71,46400,9702,939,36,0,0,0
1370,1540789596545,28230,-1.003922569e+06,909,3426,4504,2671,50,65,46480,9598,970,29,0,0,0
1380,1540789599303,28216,-1.004017283e+06,959,3340,4549,2703,51,63,46451,9616,981,29,0,0,0
1390,1540789602059,28190,-1.004485360e+06,971,3355,4563,2718,47,64,46404,9660,982,30,1,0,0
1400,1540789605717,28220,-1.004490303e+06,956,3362,4527,2748,56,64,46417,9637,993,30,0,0,0
1410,1540789608528,28165,-1.004657586e+06,940,3400,4533,2766,49,64,46425,9579,1046,27,0,0,0
1420,1540789611741,28187,-1.004713970e+06,912,3338,4583,2766,63,66,46407,9646,991,32,1,0,0
1430,1540789614409,28159,-1.004830151e+06,858,3409,4597,2781,75,76,46307,9777,961,31,1,0,0
1440,1540789617568,28140,-1.005419878e+06,991,3395,4609,2762,63,81,46228,9829,988,32,0,0,0
1450,1540789620025,28156,-1.005445582e+06,933,3466,4618,2774,65,72,46256,9751,1034,35,1,0,0
1460,1540789622968,28173,-1.005468812e+06,931,3442,4618,2779,56,68,46274,9756,1004,42,1,0,0
1470,1540789625761,28193,-1.005467389e+06,987,3355,4636,2800,62,67,46214,9848,986,29,0,0,0
1480,1540789628855,28133,-1.004941337e+06,915,3307,4603,2856,45,67,46283,9827,935,32,0,0,0
1490,1540789631580,28095,-1.005416311e+06,901,3317,4626,2881,64,60,46212,9914,919,31,1,0,0
1500,1540789635366,28121,-1.005154304e+06,879,3318,4621,2892,59,68,46296,9757,992,32,0,0,0
1510,1540789638023,28069,-1.006265570e+06,978,3349,4665,2886,62,66,46104,9973,967,33,0,0,0
1520,1540789641300,28053,-1.006360297e+06,957,3330,4669,2924,57,75,46121,9931,994,31,0,0,0
1530,1540789644112,28030,-1.005886275e+06,942,3321,4683,2918,43,62,46156,9910,974,37,0,0,0
1540,1540789646967,28077,-1.006015159e+06,948,3301,4699,2924,40,61,46158,9897,990,32,0,0,0
1550,1540789649737,28001,-1.005849481e+06,949,3239,4682,2921,36,70,46171,9950,921,35,0,0,0
1560,1540789652986,27984,-1.006704895e+06,969,3359,4656,2963,43,76,46056,10010,977,34,0,0,0
1570,1540789655600,27967,-1.007399427e+06,946,3349,4723,2990,52,75,45967,10118,960,31,1,0,0
1580,1540789658755,27983,-1.006300641e+06,935,3273,4708,2988,56,79,46083,9980,985,27,2,0,0
1590,1540789661536,27977,-1.006560620e+06,923,3297,4687,3019,55,80,46128,9875,1037,36,1,0,0
