iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4236,3658,3611,4289,2982,3399,3440,2994,3421,3011,4215,3635,2998,4204,3583,3401
10,3878,3397,3384,3967,3258,3710,3762,3158,3757,3268,4003,3358,3265,3846,3346,3720
20,3878,3362,3300,3897,3228,3718,3708,3270,3776,3275,3990,3374,3274,3939,3317,3771
30,3812,3328,3298,3957,3183,3731,3732,3222,3801,3313,4049,3334,3294,3836,3435,3752
40,3779,3400,3383,3878,3219,3799,3730,3237,3824,3274,3979,3294,3337,3836,3332,3776
50,3850,3429,3344,3926,3261,3707,3727,3306,3749,3309,3962,3292,3308,3872,3309,3726
60,3875,3409,3375,3945,3168,3667,3734,3283,3861,3300,4008,3287,3205,3894,3336,3730
70,3851,3404,3265,3910,3218,3732,3760,3276,3806,3234,4010,3360,3303,3862,3327,3759
80,3811,3318,3330,3944,3256,3740,3727,3213,3785,3353,3958,3328,3359,3870,3383,3702
90,3887,3370,3306,3949,3175,3751,3777,3284,3711,3197,3995,3370,3303,3927,3300,3775
100,3853,3422,3383,3902,3149,3715,3699,3220,3747,3318,4014,3398,3303,3869,3347,3738
110,3813,3417,3356,3920,3224,3696,3680,3273,3871,3298,4007,3372,3261,3867,3340,3682
120,3824,3401,3342,3920,3222,3689,3669,3197,3794,3274,4040,3409,3316,3886,3346,3748
130,3812,3405,3343,3933,3239,3739,3710,3196,3791,3378,4046,3383,3269,3851,3276,3706
140,3907,3382,3330,3975,3228,3691,3629,3294,3765,3269,4035,3424,3232,3952,3261,3703
150,3838,3422,3356,3822,3215,3797,3700,3177,3802,3327,4032,3387,3265,3868,3291,3778
160,3865,3369,3379,3932,3194,3752,3774,3241,3753,3255,3975,3353,3231,3934,3348,3722
170,3895,3375,3373,3942,3163,3777,3686,3231,3700,3304,4025,3277,3259,3929,3409,3732
180,3903,3347,3385,3938,3187,3658,3725,3246,3781,3270,4040,3311,3283,3859,3338,3806
190,3817,3424,3391,3965,3172,3748,3791,3240,3765,3264,3982,3371,3247,3909,3292,3699
200,3917,3338,3344,3959,3240,3786,3713,3227,3752,3265,4017,3368,3268,3886,3349,3648
210,3807,3405,3319,3934,3149,3702,3760,3224,3793,3242,4024,3417,3269,4002,3355,3675
220,3812,3428,3396,3944,3182,3708,3718,3311,3757,3238,4045,3367,3273,3892,3292,3714
230,3844,3364,3410,3935,3173,3723,3719,3219,3726,3324,3994,3311,3279,4004,3342,3710
240,3932,3423,3350,3901,3209,3751,3707,3190,3761,3255,4100,3344,3265,3858,3373,3658
250,3894,3407,3410,3949,3145,3751,3691,3209,3739,3286,4068,3413,3266,3884,3281,3684
260,3922,3437,3408,3964,3169,3681,3676,3198,3831,3270,3979,3363,3195,3966,3305,3713
270,3890,3404,3390,3994,3117,3704,3733,3187,3839,3270,4028,3338,3248,3917,3343,3675
280,3945,3437,3362,3935,3167,3694,3777,3222,3723,3262,3966,3434,3273,3929,3278,3673
290,3889,3425,3433,3851,3154,3696,3786,3213,3757,3299,4021,3383,3246,3897,3306,3721
300,3843,3420,3395,3975,3224,3707,3686,3171,3733,3314,4017,3435,3285,3803,3349,3720
310,3918,3374,3370,3981,3110,3726,3702,3200,3729,3215,4103,3432,3258,3947,3343,3669
320,3916,3462,3423,3918,3113,3717,3688,3194,3784,3231,4042,3420,3210,3936,3360,3663
330,3869,3455,3352,3887,3163,3685,3741,3203,3728,3242,4016,3426,3287,3999,3322,3702
340,3917,3416,3501,3979,3136,3766,3690,3200,3705,3243,4097,3332,3207,3926,3294,3668
350,3859,3392,3413,3943,3198,3660,3707,3241,3740,3277,4091,3323,3244,3968,3361,3660
360,3908,3457,3394,3962,3189,3673,3716,3216,3736,3220,4021,3355,3223,3966,3351,3690
370,3926,3373,3389,3920,3156,3699,3787,3211,3697,3221,4052,3408,3262,3962,3364,3650
380,3861,3452,3443,3928,3176,3597,3732,3236,3756,3223,4088,3412,3296,3902,3321,3654
390,3870,3410,3417,3950,3108,3728,3721,3309,3683,3245,4045,3491,3167,3943,3339,3651
400,3869,3479,3480,3956,3152,3618,3699,3236,3665,3204,4078,3407,3296,3930,3330,3678
410,3877,3360,3399,3953,3150,3799,3661,3136,3736,3302,4049,3417,3253,3968,3358,3659
420,3837,3429,3475,4077,3150,3723,3719,3194,3754,3163,3997,3443,3223,4023,3321,3549
