iteration,0,1,2,3,4,5,6,7,8,9,10
0,0,57077,0,0,0,0,0,0,0,0,0
10,22050,18993,10417,5271,299,41,6,0,0,0,0
20,24522,15555,10445,5749,673,109,21,2,1,0,0
30,26631,12602,10533,6099,1004,158,45,4,1,0,0
40,27893,11035,10323,6249,1297,230,41,7,2,0,0
50,28632,10139,10135,6416,1437,249,58,9,2,0,0
60,29104,9626,9955,6468,1575,274,61,12,1,1,0
70,29271,9353,10025,6491,1578,283,60,15,0,1,0
80,29359,9248,9987,6538,1577,289,68,8,3,0,0
90,29462,9150,9925,6523,1659,285,65,7,1,0,0
100,29511,9092,9912,6572,1604,304,66,15,1,0,0
110,29576,9076,9764,6645,1643,292,68,7,5,1,0
120,29635,8984,9828,6567,1671,316,61,14,1,0,0
130,29660,9001,9715,6639,1675,309,64,12,2,0,0
140,29662,8889,9910,6591,1633,313,61,13,4,1,0
150,29645,8969,9817,6608,1646,305,72,12,2,1,0
160,29668,8958,9773,6617,1672,315,61,11,2,0,0
170,29643,8968,9738,6754,1596,301,62,10,5,0,0
180,29769,8837,9761,6626,1686,310,73,13,1,1,0
190,29773,8843,9745,6623,1693,318,64,15,3,0,0
200,29701,8909,9792,6609,1684,297,64,17,3,1,0
210,29727,8909,9718,6643,1693,310,60,15,2,0,0
220,29864,8771,9684,6624,1710,340,66,14,4,0,0
230,29815,8814,9695,6634,1732,298,74,12,2,1,0
240,29742,8828,9815,6638,1660,318,62,10,3,1,0
250,29796,8803,9747,6598,1770,289,60,11,3,0,0
260,29825,8753,9747,6673,1679,322,67,7,2,2,0
270,29765,8816,9850,6500,1767,304,59,11,4,0,1
280,29770,8856,9797,6497,1758,312,70,13,3,1,0
290,29737,8843,9846,6580,1670,306,78,14,1,2,0
300,29641,8965,9858,6534,1710,280,72,15,1,1,0
310,29700,8988,9683,6585,1725,325,56,14,0,1,0
320,29606,9012,9852,6571,1645,304,66,16,5,0,0
330,29652,8927,9860,6628,1614,310,67,14,5,0,0
340,29664,9008,9685,6707,1602,318,77,12,2,2,0
350,29660,8914,9823,6661,1658,286,57,14,4,0,0
360,29764,8899,9667,6636,1713,316,72,8,2,0,0
