iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1540790567338,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1540790875504,35027,-9.471826088e+05,440,526,679,750,92,105,54545,2472,60,0,0,0,0
20,1540791181629,32555,-9.677205028e+05,619,883,1734,2118,75,116,51728,5153,196,0,0,0,0
30,1540791443200,30446,-9.866753746e+05,770,1205,2692,3701,69,91,49056,7524,487,10,0,0,0
40,1540791702088,29184,-9.965667176e+05,832,1354,3195,4666,50,77,47615,8765,683,13,1,0,0
50,1540791950565,28445,-1.002001829e+06,794,1436,3544,5235,58,66,46813,9416,828,19,1,0,0
60,1540792196894,27973,-1.005855202e+06,799,1556,3765,5466,63,84,46278,9883,898,18,0,0,0
70,1540792444027,27806,-1.007804793e+06,741,1611,3928,5627,58,74,46004,10132,916,25,0,0,0
80,1540792694432,27718,-1.007793829e+06,730,1735,3956,5521,58,66,46069,9984,991,32,1,0,0
90,1540792945876,27615,-1.009203890e+06,661,1840,4030,5674,45,63,45784,10300,966,27,0,0,0
100,1540793199908,27566,-1.009627410e+06,713,1830,4089,5565,69,69,45745,10352,958,21,1,0,0
110,1540793445318,27501,-1.010488047e+06,711,1912,4087,5695,55,65,45624,10414,1007,31,1,0,0
120,1540793691801,27442,-1.010792551e+06,776,1871,4169,5679,61,60,45565,10443,1034,35,0,0,0
130,1540793933978,27417,-1.010844044e+06,776,1957,4042,5674,64,69,45573,10453,1024,27,0,0,0
140,1540794183905,27415,-1.008999831e+06,676,1893,3942,5640,47,75,45817,10274,959,27,0,0,0
150,1540794487424,27432,-1.009607104e+06,770,1880,4064,5655,58,42,45693,10328,1027,29,0,0,0
160,1540794790485,27409,-1.009818435e+06,773,1967,3936,5655,57,54,45683,10371,998,25,0,0,0
170,1540795096201,27434,-1.009954164e+06,726,2003,3988,5624,51,45,45671,10409,963,34,0,0,0
180,1540795395490,27308,-1.012464862e+06,770,2132,4119,5742,57,48,45382,10559,1099,37,0,0,0
