iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4236,3658,3611,4289,2982,3399,3440,2994,3421,3011,4215,3635,2998,4204,3583,3401
10,3879,3425,3333,3918,3182,3742,3673,3272,3713,3276,4001,3436,3268,3940,3318,3701
20,3867,3422,3376,3935,3198,3672,3660,3276,3682,3233,4078,3420,3294,3924,3395,3645
30,3920,3451,3433,3888,3152,3630,3706,3118,3723,3207,4069,3432,3254,4018,3429,3647
40,3916,3458,3485,4036,3077,3708,3676,3177,3659,3184,4156,3378,3172,3948,3346,3701
50,3975,3491,3381,3937,3100,3623,3672,3205,3666,3112,4136,3504,3215,3999,3420,3641
60,3938,3551,3392,4016,3070,3672,3599,3129,3620,3216,4182,3393,3242,3988,3387,3682
70,3961,3425,3456,4044,3098,3711,3585,3168,3583,3222,4017,3552,3209,3957,3416,3673
80,3952,3468,3509,4040,3094,3660,3618,3135,3586,3218,4190,3464,3184,4050,3333,3576
90,3961,3419,3547,3925,3105,3736,3635,3218,3655,3184,4196,3540,3091,3890,3403,3572
100,4042,3435,3474,4086,3090,3603,3641,3136,3683,3152,4125,3408,3239,4051,3372,3540
110,3975,3565,3392,3972,3134,3604,3654,3199,3599,3154,4098,3490,3229,3970,3375,3667
120,3958,3470,3465,4020,3146,3697,3632,3207,3608,3150,4054,3410,3222,4027,3434,3577
130,3824,3524,3463,4058,3185,3639,3598,3172,3657,3201,4149,3486,3182,3989,3377,3573
140,4021,3477,3429,4059,3156,3589,3578,3105,3745,3192,4073,3361,3240,3967,3421,3664
150,3985,3475,3456,4028,3104,3678,3668,3106,3670,3133,4121,3452,3162,3977,3436,3626
160,3915,3469,3391,4018,3088,3639,3633,3124,3669,3158,4187,3506,3149,4050,3492,3589
170,4012,3514,3388,4017,3176,3602,3658,3160,3712,3146,4054,3443,3174,3991,3401,3629
180,3881,3502,3426,4050,3146,3610,3571,3219,3767,3098,4090,3463,3202,4002,3412,3638
190,3937,3489,3449,4007,3190,3652,3537,3206,3620,3212,4131,3479,3144,4010,3426,3588
200,3966,3485,3499,4127,3070,3662,3686,3135,3626,3111,4096,3456,3152,3988,3441,3577
210,3988,3465,3471,4006,3186,3689,3585,3096,3577,3180,4160,3465,3193,3906,3459,3651
220,3959,3476,3500,3990,3081,3734,3609,3161,3717,3134,4162,3499,3130,4018,3366,3541
230,3956,3558,3500,4028,3221,3581,3624,3091,3682,3141,4123,3444,3174,3971,3444,3539
240,3881,3493,3446,4078,3114,3661,3598,3131,3667,3189,4109,3428,3180,3989,3479,3634
250,3995,3527,3430,3985,3169,3656,3584,3165,3728,3186,4078,3408,3184,4009,3407,3566
260,3970,3469,3446,4013,3132,3741,3588,3183,3665,3183,4084,3506,3137,3988,3363,3609
270,4041,3457,3421,4010,3110,3567,3608,3173,3683,3156,4159,3493,3178,4005,3408,3608
280,3980,3588,3384,4032,3106,3664,3637,3149,3654,3086,4169,3419,3196,4004,3414,3595
290,4010,3479,3388,4001,3126,3632,3676,3147,3620,3158,4189,3470,3215,3948,3445,3573
300,4004,3569,3410,4046,3136,3567,3657,3130,3691,3195,4103,3443,3091,4015,3397,3623
310,3973,3493,3480,3975,3033,3560,3615,3138,3606,3260,4239,3430,3176,4036,3422,3641
320,3936,3459,3531,3945,3152,3641,3648,3173,3599,3247,4081,3462,3236,3971,3378,3618
330,3946,3490,3486,3969,3158,3660,3669,3176,3683,3154,4215,3406,3170,3890,3422,3583
340,4016,3512,3438,4026,3073,3648,3649,3125,3606,3151,4158,3466,3194,3977,3413,3625
350,3984,3502,3513,4004,3108,3665,3652,3130,3596,3180,4086,3431,3105,4103,3441,3577
360,4019,3491,3462,4072,3121,3615,3603,3126,3596,3222,4066,3449,3108,4032,3465,3630
370,3979,3396,3504,4108,3053,3691,3684,3188,3553,3185,4227,3426,3180,3960,3346,3597
380,4064,3449,3442,4086,3089,3690,3525,3091,3741,3119,4129,3494,3102,4084,3414,3558
390,3922,3527,3428,4087,3177,3592,3638,3151,3676,3153,4183,3415,3143,3968,3434,3583
400,3952,3557,3431,3966,3200,3649,3615,3154,3588,3138,4165,3398,3222,4059,3406,3577
410,4049,3474,3484,4110,3131,3635,3589,3163,3580,3148,4064,3524,3189,3945,3398,3594
420,3955,3483,3454,3995,3150,3519,3564,3190,3674,3241,4156,3542,3184,3958,3409,3603
430,3946,3425,3490,4007,3214,3669,3595,3142,3642,3211,4138,3470,3218,4016,3334,3560
440,4090,3448,3451,3985,3062,3651,3567,3146,3740,3177,4179,3499,3142,3901,3408,3631
450,4007,3531,3494,3926,3141,3658,3640,3116,3561,3080,4124,3526,3209,3981,3432,3651
460,3978,3524,3473,4018,3061,3550,3672,3096,3595,3162,4152,3450,3205,4024,3520,3597
470,4000,3469,3484,4003,3105,3622,3646,3155,3687,3133,4135,3536,3167,4014,3385,3536
480,3950,3485,3508,4072,3143,3640,3675,3078,3689,3108,4192,3427,3187,4016,3383,3524
490,4006,3596,3423,4050,3113,3618,3625,3166,3664,3191,4106,3386,3158,4006,3447,3522
500,3988,3527,3413,3994,3209,3617,3639,3098,3658,3154,4129,3528,3155,4041,3381,3546
510,3924,3577,3437,4009,3152,3675,3609,3181,3638,3211,4177,3482,3101,4000,3286,3618
520,3942,3579,3363,3964,3101,3595,3657,3227,3666,3188,4058,3513,3165,3999,3437,3623
530,4047,3460,3405,3912,3081,3644,3687,3121,3663,3256,4172,3495,3060,4083,3438,3553
540,3986,3512,3456,4007,3070,3609,3619,3209,3683,3172,4106,3498,3159,3985,3343,3663
550,4006,3539,3406,4002,3065,3659,3635,3230,3679,3107,4095,3510,3118,3953,3435,3638
560,3962,3499,3448,4084,3105,3624,3637,3195,3645,3150,4099,3487,3160,4003,3381,3598
570,3907,3501,3386,4063,3165,3544,3483,3169,3662,3234,4176,3523,3191,4001,3457,3615
580,3971,3447,3466,4082,3122,3562,3598,3096,3683,3081,4133,3523,3211,4033,3419,3650
590,3973,3483,3454,4070,3144,3628,3606,3131,3637,3164,4128,3446,3174,3983,3472,3584
600,4019,3508,3494,4022,3057,3652,3635,3060,3703,3257,4118,3423,3066,3951,3476,3636
610,4004,3511,3579,3985,3116,3600,3589,3109,3617,3189,4183,3464,3128,3944,3437,3622
620,3964,3429,3460,4028,3055,3658,3613,3081,3720,3196,4247,3435,3283,3940,3376,3592
630,3939,3533,3373,4042,3088,3615,3554,3127,3682,3091,4226,3527,3188,4000,3427,3665
640,3993,3414,3423,4017,3142,3636,3651,3088,3702,3198,4117,3495,3105,3991,3456,3649
650,3952,3387,3407,4048,3118,3722,3623,3173,3647,3215,4115,3478,3161,4004,3426,3601
660,3932,3452,3440,4116,3119,3705,3582,3050,3639,3223,4101,3524,3162,3986,3441,3605
670,4052,3534,3449,4022,3170,3579,3562,3097,3667,3094,4074,3494,3158,3976,3472,3677
680,3975,3369,3464,4000,3090,3725,3702,3126,3585,3136,4135,3435,3226,4051,3423,3635
690,3916,3508,3495,4083,3160,3625,3664,3122,3663,3241,4128,3442,3108,4018,3345,3559
700,4002,3485,3408,4028,3116,3664,3611,3082,3620,3172,4181,3486,3169,3950,3499,3604
710,3961,3576,3476,4043,3183,3694,3516,3129,3628,3220,4132,3446,3105,4005,3386,3577
720,3956,3505,3547,4014,3127,3594,3575,3166,3631,3171,4107,3445,3182,4067,3413,3577
730,3972,3546,3372,4028,3030,3594,3545,3133,3632,3171,4181,3541,3140,4117,3410,3665
740,4097,3464,3515,3966,3155,3638,3616,3129,3621,3153,4111,3500,3120,3992,3417,3583
750,4056,3461,3464,4010,3111,3655,3612,3122,3704,3255,4141,3435,3110,4033,3309,3599
760,4035,3533,3459,4082,3075,3704,3673,3121,3620,3168,4109,3435,3238,3926,3336,3563
770,3981,3503,3544,4042,3012,3654,3684,3205,3623,3223,4061,3460,3087,3935,3449,3614
780,4056,3474,3411,3975,3132,3621,3609,3163,3684,3135,4169,3468,3227,3961,3363,3629
790,3933,3594,3450,3964,3109,3650,3645,3133,3700,3162,4093,3510,3102,4014,3410,3608
800,4023,3464,3473,3953,3090,3670,3534,3150,3702,3199,4193,3476,3129,4067,3370,3584
810,3916,3613,3490,4000,3062,3637,3575,3067,3672,3197,4176,3507,3096,4014,3445,3610
820,3994,3494,3431,4054,3127,3628,3651,3156,3621,3162,4057,3477,3216,3996,3431,3582
830,4038,3474,3508,4034,3183,3653,3614,3060,3635,3128,4119,3378,3133,4062,3441,3617
840,3963,3517,3406,4124,3148,3626,3537,3078,3638,3231,4167,3521,3130,4019,3459,3513
850,4061,3467,3460,4018,3081,3598,3579,3137,3721,3199,4025,3528,3263,3985,3407,3548
860,3994,3505,3457,4011,3159,3638,3626,3139,3685,3200,4075,3367,3191,4036,3399,3595
870,3994,3523,3458,3925,3178,3680,3584,3098,3700,3199,4122,3516,3145,3994,3479,3482
880,3977,3521,3434,4072,3132,3661,3639,3144,3645,3190,4082,3499,3217,3924,3412,3528
890,3903,3532,3463,4064,3185,3692,3588,3185,3576,3219,4104,3363,3152,3961,3448,3642
900,3894,3528,3437,4005,3114,3645,3670,3213,3638,3211,4053,3498,3173,3974,3340,3684
910,4062,3537,3413,4050,3093,3602,3607,3133,3644,3114,4183,3498,3152,4023,3393,3573
920,3929,3491,3486,4008,3104,3685,3595,3162,3680,3154,4056,3474,3122,4006,3487,3638
930,4012,3524,3467,4113,3132,3632,3691,3127,3592,3203,4065,3494,3066,3961,3421,3577
940,3967,3529,3455,4046,3107,3665,3554,3148,3632,3201,4110,3499,3245,4018,3369,3532
950,4048,3577,3474,3990,3002,3698,3532,3026,3597,3229,4137,3481,3149,4154,3408,3575
960,3917,3524,3442,4145,3110,3516,3567,3178,3661,3141,4172,3546,3140,4004,3410,3604
970,3979,3432,3397,3972,3108,3646,3644,3141,3735,3221,4172,3420,3141,4057,3377,3635
980,3950,3457,3509,4052,3157,3586,3593,3186,3602,3202,4167,3428,3161,4062,3400,3565
990,3977,3521,3475,4001,3127,3670,3582,3112,3671,3155,4109,3480,3194,3983,3431,3589
1000,3964,3541,3504,4035,3101,3655,3598,3129,3613,3159,4131,3398,3211,3947,3490,3601
1010,3992,3451,3465,4048,3109,3626,3570,3193,3643,3063,4180,3449,3212,3932,3463,3681
1020,3899,3509,3450,4031,3127,3605,3693,3200,3670,3211,4149,3441,3201,3923,3396,3572
1030,3954,3589,3481,3984,3131,3651,3530,3123,3633,3152,4108,3506,3180,4041,3337,3677
1040,4001,3573,3446,4117,3077,3561,3537,3137,3563,3266,4192,3529,3136,4036,3383,3523
1050,3946,3463,3468,4074,3052,3688,3637,3083,3777,3167,4073,3407,3177,4010,3401,3654
1060,3864,3601,3397,4022,3050,3630,3636,3156,3672,3170,4178,3413,3215,3981,3489,3603
1070,3936,3529,3429,3988,3177,3615,3631,3170,3658,3158,4079,3475,3158,4070,3382,3622
