iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,57077,0,0,0,0,0,0,0,0,0,0,0
10,21599,19698,10342,5118,268,43,9,0,0,0,0,0,0
20,23863,16518,10344,5682,551,98,16,5,0,0,0,0,0
30,26079,13430,10404,6052,932,136,36,5,3,0,0,0,0
40,27755,11230,10278,6291,1265,199,53,4,1,1,0,0,0
50,28585,10220,10141,6375,1421,261,59,14,0,1,0,0,0
60,28988,9698,10003,6579,1495,241,62,10,0,1,0,0,0
70,29228,9442,10004,6443,1614,257,70,15,4,0,0,0,0
80,29344,9294,9970,6500,1604,283,64,16,2,0,0,0,0
90,29419,9218,9951,6472,1647,283,72,14,1,0,0,0,0
100,29489,9111,9901,6594,1619,285,66,11,1,0,0,0,0
110,29444,9234,9835,6552,1640,290,69,12,0,1,0,0,0
120,29573,9035,9836,6599,1689,269,61,14,1,0,0,0,0
130,29557,9032,9879,6589,1672,275,56,15,2,0,0,0,0
140,29564,9078,9814,6600,1631,312,62,13,3,0,0,0,0
150,29509,9091,9892,6604,1617,281,65,17,1,0,0,0,0
160,29645,8928,9812,6718,1600,293,64,14,3,0,0,0,0
170,29600,9055,9784,6590,1656,310,67,12,3,0,0,0,0
180,29678,8892,9926,6473,1720,306,70,12,0,0,0,0,0
190,29674,8924,9753,6700,1672,282,58,12,1,1,0,0,0
200,29692,8914,9800,6596,1701,292,66,13,3,0,0,0,0
210,29642,8973,9800,6625,1657,299,65,12,4,0,0,0,0
220,29609,8938,9912,6641,1591,301,73,11,1,0,0,0,0
230,29683,8842,9915,6638,1614,296,72,13,4,0,0,0,0
240,29693,8913,9771,6654,1658,314,63,8,3,0,0,0,0
250,29765,8847,9730,6650,1704,301,66,9,5,0,0,0,0
260,29701,8922,9779,6584,1703,312,61,13,2,0,0,0,0
270,29742,8875,9740,6648,1676,321,59,13,3,0,0,0,0
280,29696,8887,9799,6656,1670,293,59,11,6,0,0,0,0
290,29716,8906,9744,6664,1647,310,79,9,2,0,0,0,0
300,29648,8949,9804,6649,1641,319,59,4,4,0,0,0,0
310,29672,8958,9710,6725,1633,297,69,11,2,0,0,0,0
320,29730,8811,9886,6604,1656,304,66,18,2,0,0,0,0
330,29704,8817,9908,6628,1620,329,62,9,0,0,0,0,0
340,29723,8842,9830,6639,1649,313,70,11,0,0,0,0,0
350,29712,8878,9837,6577,1676,304,84,6,3,0,0,0,0
360,29556,8992,9981,6532,1636,308,63,7,2,0,0,0,0
370,29678,8906,9794,6681,1658,272,72,13,2,1,0,0,0
380,29574,9000,9891,6605,1646,282,69,9,0,1,0,0,0
390,29581,9044,9845,6589,1608,331,64,15,0,0,0,0,0
400,29702,8844,9949,6486,1709,303,65,16,3,0,0,0,0
410,29659,8950,9806,6631,1634,311,72,13,1,0,0,0,0
420,29576,9026,9848,6616,1652,267,80,12,0,0,0,0,0
430,29718,8879,9795,6644,1652,289,79,19,2,0,0,0,0
440,29750,8894,9687,6693,1642,325,68,16,1,1,0,0,0
450,29739,8874,9812,6566,1668,321,78,16,3,0,0,0,0
460,29716,8870,9839,6604,1643,309,76,17,2,1,0,0,0
470,29635,8957,9824,6623,1675,290,60,11,2,0,0,0,0
480,29625,8916,9938,6558,1675,294,59,9,3,0,0,0,0
490,29661,8896,9905,6569,1658,313,61,11,3,0,0,0,0
500,29605,8983,9871,6566,1683,303,57,7,2,0,0,0,0
510,29671,8876,9910,6579,1647,321,62,9,2,0,0,0,0
520,29582,8994,9884,6611,1647,272,77,8,2,0,0,0,0
530,29632,8894,9890,6668,1668,245,62,14,4,0,0,0,0
540,29599,8986,9801,6714,1628,279,54,12,4,0,0,0,0
550,29627,8945,9835,6691,1604,300,58,12,4,1,0,0,0
560,29563,8995,9897,6673,1584,285,59,14,7,0,0,0,0
570,29636,9036,9720,6635,1665,295,75,10,4,1,0,0,0
580,29668,8946,9824,6571,1676,308,67,13,3,1,0,0,0
590,29625,8933,9867,6650,1641,289,56,13,3,0,0,0,0
600,29683,8924,9719,6748,1635,292,62,13,1,0,0,0,0
610,29641,8890,9889,6669,1631,281,62,11,3,0,0,0,0
620,29631,9016,9737,6640,1693,281,67,9,2,1,0,0,0
630,29584,9021,9827,6609,1687,288,44,13,4,0,0,0,0
640,29641,8951,9820,6625,1684,287,49,15,4,1,0,0,0
