iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1540810217879,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1540810263558,35478,-9.429862522e+05,273,327,509,704,78,90,55130,1913,34,0,0,0,0
20,1540810310950,33214,-9.617793036e+05,318,595,1369,2109,87,111,52637,4293,145,2,0,0,0
30,1540810356141,30998,-9.808982581e+05,330,859,2337,3818,61,111,49883,6875,316,3,0,0,0
40,1540810403212,29322,-9.938626837e+05,368,1130,3024,5010,51,98,47956,8574,534,13,0,0,0
50,1540810448582,28492,-1.000293037e+06,418,1230,3429,5582,55,81,46998,9385,672,22,0,0,0
60,1540810496220,28089,-1.004287575e+06,441,1365,3636,5873,46,76,46457,9823,777,20,0,0,0
70,1540810541686,27849,-1.005773554e+06,456,1422,3818,5955,40,75,46174,10057,829,17,0,0,0
80,1540810589164,27733,-1.007147882e+06,483,1507,3949,5900,44,64,46045,10134,881,17,0,0,0
90,1540810634718,27658,-1.007761212e+06,454,1481,3974,5983,51,76,46013,10122,929,13,0,0,0
100,1540810685879,27588,-1.008171679e+06,505,1558,3996,5988,47,62,45899,10224,930,24,0,0,0
110,1540810731190,27633,-1.008439260e+06,479,1643,4065,5881,53,75,45883,10220,947,26,1,0,0
120,1540810777629,27504,-1.009567743e+06,521,1635,4175,5887,43,70,45773,10304,974,25,1,0,0
130,1540810822902,27520,-1.009676105e+06,607,1558,4313,5841,50,60,45698,10351,1006,22,0,0,0
140,1540810870475,27513,-1.009032518e+06,615,1607,4205,5807,46,63,45766,10312,966,33,0,0,0
150,1540810916369,27568,-1.009430930e+06,668,1701,4162,5758,42,54,45771,10265,1004,36,1,0,0
160,1540810964631,27432,-1.009803089e+06,641,1736,4135,5748,53,75,45692,10410,947,28,0,0,0
170,1540811010861,27477,-1.009947788e+06,580,1791,4240,5696,54,70,45747,10258,1043,29,0,0,0
180,1540811058287,27399,-1.010701311e+06,646,1858,4210,5772,44,61,45584,10424,1040,29,0,0,0
190,1540811104134,27403,-1.009998790e+06,629,1937,4140,5673,48,60,45641,10411,1000,24,1,0,0
200,1540811153437,27385,-1.011220874e+06,627,2022,4212,5663,49,55,45561,10442,1036,38,0,0,0
210,1540811199104,27435,-1.010879559e+06,565,2082,4151,5680,53,65,45540,10508,999,30,0,0,0
220,1540811246644,27468,-1.010355332e+06,569,2131,4195,5548,54,55,45614,10412,1013,38,0,0,0
230,1540811291974,27394,-1.010910755e+06,650,2235,4025,5576,50,65,45531,10517,1003,26,0,0,0
240,1540811339305,27384,-1.011282007e+06,670,2216,4160,5505,61,61,45517,10484,1039,37,0,0,0
250,1540811384581,27312,-1.011591529e+06,733,2186,4150,5624,55,46,45404,10591,1043,39,0,0,0
260,1540811431930,27376,-1.011188496e+06,673,2183,4171,5553,55,59,45501,10489,1056,31,0,0,0
270,1540811476770,27335,-1.011673246e+06,710,2173,4186,5565,53,62,45424,10586,1039,27,1,0,0
280,1540811523958,27381,-1.010668632e+06,684,2141,4184,5466,48,54,45561,10483,1005,28,0,0,0
290,1540811569441,27361,-1.011323914e+06,705,2196,4159,5530,49,63,45470,10551,1017,39,0,0,0
300,1540811617587,27429,-1.010956059e+06,652,2301,4118,5491,38,48,45501,10537,1006,33,0,0,0
310,1540811662215,27405,-1.010887386e+06,635,2261,4173,5442,49,59,45596,10373,1078,30,0,0,0
320,1540811708734,27347,-1.011258572e+06,719,2281,4128,5493,48,54,45445,10568,1037,27,0,0,0
330,1540811753817,27373,-1.010806115e+06,722,2175,4061,5550,63,68,45497,10545,1012,22,1,0,0
340,1540811801199,27354,-1.011472155e+06,736,2299,4063,5486,45,60,45499,10513,1021,42,2,0,0
350,1540811847182,27365,-1.011212772e+06,713,2348,3981,5529,56,63,45472,10550,1025,30,0,0,0
360,1540811894938,27521,-1.010285019e+06,741,2258,3951,5507,49,55,45624,10380,1038,35,0,0,0
370,1540811941266,27399,-1.010729469e+06,677,2242,4107,5454,56,52,45547,10502,999,28,1,0,0
380,1540811989114,27503,-1.009807456e+06,707,2228,4026,5344,59,74,45644,10454,954,24,1,0,0
390,1540812034921,27496,-1.010568933e+06,690,2207,4073,5502,48,57,45590,10423,1038,26,0,0,0
400,1540812083131,27375,-1.010562739e+06,642,2299,4041,5488,44,78,45544,10496,1015,22,0,0,0
410,1540812128842,27418,-1.010925201e+06,748,2289,4080,5403,49,69,45586,10372,1091,28,0,0,0
420,1540812176754,27501,-1.010127728e+06,769,2367,4041,5315,38,53,45604,10402,1032,39,0,0,0
430,1540812222186,27359,-1.011286308e+06,720,2385,4012,5468,53,55,45503,10483,1063,28,0,0,0
440,1540812269389,27327,-1.012103928e+06,702,2384,4043,5600,56,40,45399,10562,1086,29,1,0,0
450,1540812314633,27338,-1.011355284e+06,668,2339,4137,5446,53,51,45491,10521,1022,43,0,0,0
460,1540812361995,27361,-1.011534509e+06,823,2238,4134,5423,41,56,45465,10538,1045,29,0,0,0
470,1540812407570,27442,-1.011177882e+06,674,2270,4239,5425,38,55,45474,10536,1036,31,0,0,0
480,1540812455116,27452,-1.009726512e+06,668,2148,4265,5243,53,68,45731,10284,1025,37,0,0,0
490,1540812500312,27416,-1.011130549e+06,732,2259,4194,5408,47,59,45472,10539,1039,26,1,0,0
500,1540812548015,27472,-1.010723899e+06,728,2159,4240,5376,53,62,45533,10505,1004,35,0,0,0
510,1540812592946,27406,-1.010439354e+06,795,2132,4248,5335,44,59,45583,10419,1031,44,0,0,0
520,1540812640283,27495,-1.009650312e+06,766,2058,4194,5340,66,52,45682,10342,1025,28,0,0,0
530,1540812686420,27445,-1.010472688e+06,749,2178,4263,5289,56,57,45597,10400,1049,30,1,0,0
540,1540812734276,27478,-1.010457657e+06,774,2063,4313,5222,60,63,45686,10326,1026,39,0,0,0
550,1540812779904,27450,-1.010068002e+06,745,2022,4356,5317,55,45,45589,10468,989,30,1,0,0
560,1540812829966,27514,-1.009224868e+06,731,1976,4295,5373,51,45,45666,10383,996,32,0,0,0
570,1540812876025,27441,-1.011299865e+06,675,2065,4318,5439,56,51,45566,10452,1026,32,1,0,0
580,1540812922984,27409,-1.010682666e+06,772,2031,4215,5481,47,72,45547,10473,1026,31,0,0,0
590,1540812968873,27452,-1.011134092e+06,787,2058,4245,5457,63,64,45515,10495,1022,45,0,0,0
600,1540813017826,27394,-1.011796186e+06,774,2082,4244,5547,65,61,45421,10563,1069,24,0,0,0
610,1540813063754,27436,-1.009875460e+06,723,2066,4161,5405,59,58,45699,10316,1030,32,0,0,0
620,1540813111453,27446,-1.011415543e+06,776,2074,4184,5483,64,64,45499,10539,1011,28,0,0,0
630,1540813157179,27493,-1.010431748e+06,799,2044,4192,5427,55,71,45573,10449,1026,29,0,0,0
640,1540813204408,27436,-1.010072808e+06,714,2025,4217,5398,60,75,45637,10422,987,31,0,0,0
650,1540813249452,27375,-1.010941084e+06,744,2073,4251,5444,56,60,45606,10347,1091,33,0,0,0
660,1540813296154,27464,-1.010435152e+06,752,2077,4168,5451,58,55,45631,10362,1053,31,0,0,0
670,1540813341122,27428,-1.010700920e+06,798,2127,4132,5461,51,57,45550,10462,1031,34,0,0,0
680,1540813387685,27464,-1.009965200e+06,799,2018,4172,5396,55,55,45679,10322,1056,19,1,0,0
690,1540813433109,27436,-1.010385281e+06,750,1974,4247,5459,64,67,45668,10294,1078,37,0,0,0
700,1540813481757,27489,-1.010075833e+06,712,1997,4232,5527,53,57,45622,10357,1074,23,1,0,0
710,1540813527357,27490,-1.010828394e+06,736,1972,4200,5556,60,65,45560,10471,1020,26,0,0,0
720,1540813575169,27406,-1.011233752e+06,768,1999,4158,5639,69,59,45468,10564,1007,38,0,0,0
730,1540813621306,27451,-1.010477957e+06,785,2034,4144,5506,46,80,45577,10447,1012,40,1,0,0
740,1540813668893,27428,-1.010311874e+06,758,2124,4018,5557,55,57,45607,10404,1033,33,0,0,0
750,1540813714786,27431,-1.011303973e+06,783,2132,4011,5632,60,54,45541,10434,1068,34,0,0,0
760,1540813762139,27344,-1.012027483e+06,808,2255,3974,5686,44,54,45412,10548,1078,39,0,0,0
770,1540813807879,27394,-1.011212974e+06,770,2299,3935,5567,47,57,45494,10520,1034,29,0,0,0
780,1540813854860,27335,-1.011723653e+06,801,2301,3960,5594,53,71,45464,10481,1097,35,0,0,0
790,1540813901009,27459,-1.010390638e+06,770,2292,3877,5513,53,66,45624,10374,1040,39,0,0,0
800,1540813950388,27425,-1.010932623e+06,781,2351,3873,5538,52,63,45529,10478,1030,40,0,0,0
810,1540813996281,27429,-1.010933277e+06,773,2321,3934,5433,54,57,45606,10408,1028,32,3,0,0
820,1540814043953,27367,-1.011074396e+06,819,2263,4023,5457,59,56,45447,10607,999,24,0,0,0
830,1540814089956,27380,-1.011480656e+06,791,2300,4024,5571,51,55,45428,10534,1087,28,0,0,0
840,1540814136731,27366,-1.010996177e+06,822,2229,3948,5571,44,48,45522,10478,1047,30,0,0,0
850,1540814182306,27349,-1.011355428e+06,782,2247,3974,5568,46,54,45455,10607,982,32,1,0,0
860,1540814229514,27333,-1.011141138e+06,730,2126,3998,5709,55,60,45463,10586,993,34,1,0,0
870,1540814274991,27355,-1.011091560e+06,723,2137,4103,5551,55,58,45537,10483,1027,30,0,0,0
880,1540814322219,27367,-1.011329364e+06,796,2110,4091,5587,52,47,45485,10532,1029,31,0,0,0
890,1540814368031,27352,-1.012136434e+06,820,2188,4143,5580,46,61,45385,10573,1093,25,1,0,0
900,1540814416311,27316,-1.011349004e+06,817,2201,3983,5656,53,54,45500,10431,1106,39,1,0,0
910,1540814462017,27346,-1.011648684e+06,828,2239,4062,5524,59,60,45429,10559,1054,35,0,0,0
920,1540814508919,27379,-1.012103650e+06,879,2247,4096,5526,60,56,45396,10538,1103,40,0,0,0
930,1540814555215,27406,-1.010773678e+06,796,2220,3927,5556,58,74,45540,10474,1032,31,0,0,0
940,1540814603382,27510,-1.010069548e+06,790,2215,3956,5402,62,65,45646,10403,997,31,0,0,0
950,1540814649379,27473,-1.011373373e+06,775,2262,3953,5556,56,70,45503,10510,1030,34,0,0,0
960,1540814697479,27469,-1.010646475e+06,721,2192,4079,5453,50,80,45572,10457,1026,22,0,0,0
970,1540814743417,27533,-1.009885397e+06,673,2235,4038,5372,56,79,45694,10340,1016,27,0,0,0
980,1540814791504,27502,-1.010375727e+06,776,2251,4024,5398,40,56,45628,10384,1034,31,0,0,0
990,1540814838093,27434,-1.009784187e+06,765,2152,4079,5304,48,72,45659,10446,942,30,0,0,0
1000,1540814888109,27382,-1.010771391e+06,746,2167,4117,5445,56,57,45564,10466,1019,28,0,0,0
1010,1540814934394,27486,-1.009595077e+06,752,2138,4031,5435,48,61,45676,10369,1000,32,0,0,0
1020,1540814980949,27490,-1.009995967e+06,740,2142,3842,5628,50,65,45632,10449,971,24,1,0,0
1030,1540815025974,27473,-1.010401682e+06,777,2084,3925,5574,74,63,45614,10457,979,26,1,0,0
1040,1540815072596,27315,-1.012125605e+06,811,2177,4023,5666,67,65,45382,10610,1056,29,0,0,0
1050,1540815117668,27382,-1.010574565e+06,784,2042,3945,5674,64,60,45528,10553,972,24,0,0,0
1060,1540815164153,27343,-1.012186477e+06,768,2048,4054,5824,47,66,45380,10616,1053,27,1,0,0
1070,1540815209333,27378,-1.011257656e+06,710,2097,3977,5816,52,57,45509,10463,1069,36,0,0,0
1080,1540815256280,27376,-1.009853810e+06,733,2058,3867,5736,70,61,45656,10359,1023,36,3,0,0
1090,1540815302224,27402,-1.011013572e+06,772,2127,3857,5798,63,60,45526,10461,1054,36,0,0,0
1100,1540815351254,27402,-1.011036174e+06,671,2114,3980,5771,58,45,45545,10456,1045,31,0,0,0
1110,1540815396586,27391,-1.011497524e+06,752,2177,3986,5753,63,46,45431,10543,1075,28,0,0,0
1120,1540815444136,27385,-1.010802134e+06,693,2148,4021,5674,70,32,45549,10442,1062,24,0,0,0
1130,1540815489850,27387,-1.010982048e+06,654,2175,4000,5616,55,46,45569,10503,972,33,0,0,0
1140,1540815537198,27378,-1.011799872e+06,781,2150,4037,5683,72,58,45464,10482,1094,37,0,0,0
1150,1540815582980,27366,-1.011208726e+06,684,2224,4036,5629,64,51,45520,10461,1061,35,0,0,0
1160,1540815631093,27434,-1.011176740e+06,779,2272,3962,5546,76,53,45498,10507,1036,35,1,0,0
1170,1540815677331,27433,-1.010679343e+06,733,2223,4008,5560,58,55,45565,10412,1075,25,0,0,0
1180,1540815724243,27465,-1.009602191e+06,690,2282,3938,5401,61,57,45764,10235,1040,38,0,0,0
1190,1540815770534,27422,-1.010652832e+06,732,2250,3944,5511,64,54,45593,10443,1011,30,0,0,0
1200,1540815818864,27540,-1.009660442e+06,707,2350,3946,5313,72,59,45671,10390,991,25,0,0,0
1210,1540815863927,27497,-1.010439371e+06,724,2325,3902,5461,71,55,45616,10410,1025,26,0,0,0
1220,1540815910446,27426,-1.009965855e+06,707,2290,3940,5422,60,64,45687,10332,1025,31,2,0,0
1230,1540815955167,27405,-1.010596222e+06,753,2341,3930,5411,58,70,45592,10431,1030,24,0,0,0
