iteration,0,1,2,3,4,5,6,7,8,9,10,11
0,0,57077,0,0,0,0,0,0,0,0,0,0
10,21517,19883,10228,5117,281,43,8,0,0,0,0,0
20,23608,16936,10248,5613,579,72,18,2,1,0,0,0
30,25607,14169,10328,5870,921,139,38,5,0,0,0,0
40,27378,11743,10328,6151,1227,197,44,6,1,2,0,0
50,28286,10654,10125,6291,1399,241,69,11,1,0,0,0
60,28682,10117,10036,6450,1502,222,58,8,2,0,0,0
70,29005,9772,9923,6477,1566,262,54,15,2,1,0,0
80,29163,9528,9985,6461,1601,263,58,15,3,0,0,0
90,29210,9572,9809,6529,1585,294,63,10,3,2,0,0
100,29330,9401,9821,6543,1612,290,60,14,5,1,0,0
110,29411,9340,9771,6506,1660,311,67,8,3,0,0,0
120,29442,9230,9821,6579,1648,282,61,12,2,0,0,0
130,29397,9303,9843,6521,1640,289,74,6,2,2,0,0
140,29516,9123,9881,6512,1665,301,66,9,4,0,0,0
150,29564,9137,9713,6608,1685,289,68,7,6,0,0,0
160,29480,9230,9782,6530,1688,286,61,15,5,0,0,0
170,29538,9124,9869,6485,1656,319,66,15,5,0,0,0
180,29513,9202,9753,6562,1659,309,57,17,4,1,0,0
190,29490,9209,9770,6563,1689,277,59,18,1,0,1,0
200,29566,9055,9867,6579,1613,309,70,12,4,2,0,0
210,29516,9165,9805,6527,1702,283,60,15,3,1,0,0
220,29525,9109,9858,6551,1655,317,45,13,3,1,0,0
230,29573,9067,9843,6518,1706,293,61,13,3,0,0,0
240,29661,8959,9792,6582,1716,295,58,12,1,1,0,0
250,29461,9247,9814,6491,1695,291,58,16,3,0,1,0
260,29533,9128,9823,6534,1678,315,50,15,0,1,0,0
270,29668,8967,9821,6495,1749,294,65,17,1,0,0,0
280,29747,8882,9704,6667,1705,291,61,18,1,0,0,1
290,29732,8898,9703,6672,1704,288,64,12,3,1,0,0
300,29725,8901,9760,6601,1701,306,67,13,1,2,0,0
310,29686,8906,9789,6654,1675,293,58,12,2,2,0,0
320,29782,8798,9751,6696,1671,292,68,16,2,1,0,0
330,29659,8969,9802,6565,1712,282,71,12,4,1,0,0
340,29689,8926,9821,6549,1689,330,58,13,1,1,0,0
350,29698,8886,9798,6660,1664,284,72,14,0,1,0,0
360,29719,8872,9743,6724,1643,300,59,15,2,0,0,0
370,29689,8916,9812,6587,1690,299,71,9,4,0,0,0
