iteration,0,1,2,3
0,15281,13221,13251,15324
10,15233,13139,13231,15474
20,15147,13211,13284,15435
30,15293,13149,13254,15381
40,15262,13230,13147,15438
50,15197,13148,13312,15420
60,15071,13271,13360,15375
70,15174,13286,13173,15444
80,15242,13055,13406,15374
90,15216,13044,13215,15602
100,15215,13301,13286,15275
110,15270,13195,13292,15320
120,15056,13367,13223,15431
130,15256,13347,12953,15521
140,15168,13243,13214,15452
150,15074,13343,13159,15501
160,15292,13110,13174,15501
170,15190,13228,13199,15460
180,15285,13090,13326,15376
190,15138,13191,13399,15349
200,15120,13229,13277,15451
210,15238,13095,13231,15513
220,15100,13350,13251,15376
230,15197,13189,13241,15450
240,15096,13244,13270,15467
250,15272,13107,13136,15562
260,15257,13260,13110,15450
270,15023,13311,13198,15545
280,15213,13219,13240,15405
290,15026,13318,13310,15423
300,15127,13132,13293,15525
310,15265,13244,13226,15342
320,15308,13108,13274,15387
330,15298,13270,13053,15456
340,15151,13255,13329,15342
350,15179,13212,13279,15407
360,15115,13231,13098,15633
370,15064,13215,13243,15555
380,15304,13319,13015,15439
390,15130,13242,13257,15448
400,15203,13208,13233,15433
410,15125,13180,13244,15528
420,15263,13143,13225,15446
430,15084,13239,13312,15442
440,15406,13130,13123,15418
450,15331,13342,13180,15224
460,15330,13054,13366,15327
470,15222,13241,13248,15366
480,15341,13188,13218,15330
490,15248,13073,13173,15583
500,15081,13135,13355,15506
510,15240,13119,13256,15462
520,15102,13245,13393,15337
530,15333,13231,13218,15295
540,15111,13196,13280,15490
550,15210,13187,13197,15483
560,15344,13109,13267,15357
570,15156,13304,13295,15322
580,15158,13196,13252,15471
590,15155,13184,13324,15414
600,15255,13193,13226,15403
610,15275,13093,13289,15420
620,15255,13232,13289,15301
630,15180,13199,13262,15436
640,15339,13248,13159,15331
650,15050,13264,13294,15469
660,15155,13191,13226,15505
670,14969,13224,13270,15614
680,15280,13185,13298,15314
690,15087,13322,13181,15487
700,15148,13156,13230,15543
710,15160,13209,13345,15363
720,15291,13270,13103,15413
730,15044,13307,13130,15596
740,15191,13148,13228,15510
750,15216,13297,13143,15421
760,15119,13161,13214,15583
770,15219,13156,13191,15511
780,15125,13191,13184,15577
790,15219,13207,13199,15452
800,15161,13242,13299,15375
810,15290,13046,13252,15489
820,15124,13276,13285,15392
830,15315,13145,13185,15432
840,15160,13247,13297,15373
850,15321,13219,13204,15333
860,15151,13213,13288,15425
870,15252,13185,13190,15450
880,15258,13039,13270,15510
890,15223,13096,13298,15460
900,15258,13163,13197,15459
910,15134,13210,13277,15456
920,15294,13066,13250,15467
930,15234,13217,13159,15467
940,15151,13327,13234,15365
950,15177,13230,13288,15382
960,15099,13167,13346,15465
970,15196,13141,13170,15570
980,15213,13271,13138,15455
990,15174,13270,13187,15446
1000,15383,13261,13188,15245
1010,15206,13271,13165,15435
1020,15190,13090,13315,15482
1030,15172,13211,13317,15377
1040,15298,13296,13167,15316
1050,15056,13300,13241,15480
1060,15159,13297,13194,15427
1070,15163,13198,13169,15547
1080,15127,13276,13267,15407
1090,15230,13320,13262,15265
1100,15293,13202,13144,15438
1110,15143,13185,13223,15526
1120,15205,13159,13284,15429
1130,15216,13393,13032,15436
1140,15275,13141,13222,15439
1150,15198,13322,13338,15219
1160,15329,13133,13248,15367
1170,15177,13272,13225,15403
1180,15107,13116,13281,15573
1190,15170,13251,13215,15441
1200,15124,13392,13096,15465
1210,15211,13222,13228,15416
1220,15298,13175,13127,15477
1230,15258,13178,13227,15414
1240,15180,13227,13215,15455
1250,15175,13174,13179,15549
1260,15153,13261,13359,15304
1270,15284,13145,13334,15314
1280,15160,13313,13340,15264
1290,15290,13213,13258,15316
1300,15232,13151,13307,15387
1310,15304,13133,13163,15477
