iteration,0,1,2,3,4,5,6,7
0,8440,7241,7246,8504,5980,6820,6841,6005
10,7845,6705,6799,7832,6518,7469,7449,6460
20,7800,6745,6754,8004,6439,7383,7513,6439
30,7837,6736,6775,7933,6450,7399,7449,6498
40,7805,6677,6759,7973,6522,7451,7418,6472
50,7808,6869,6906,8104,6386,7300,7300,6404
60,7887,6731,6786,8032,6386,7437,7396,6422
70,7899,6891,6838,8093,6403,7383,7283,6287
80,7815,6934,6833,8218,6339,7360,7219,6359
90,7914,6923,6920,8045,6336,7322,7304,6313
100,7843,6896,6957,8169,6319,7344,7311,6238
110,7939,6903,6925,8129,6224,7321,7243,6393
120,7950,6914,7017,8179,6281,7381,7120,6235
130,7982,6963,6959,8135,6290,7241,7181,6326
140,7903,6880,7031,8054,6340,7276,7183,6410
150,8047,6901,6981,8109,6308,7289,7176,6266
160,7856,7041,7046,8202,6281,7225,7107,6319
170,7931,6807,6973,8248,6404,7287,7204,6223
180,8043,6871,6855,8154,6382,7297,7238,6237
190,7993,6916,6982,8125,6323,7299,7142,6297
200,7976,6905,6936,8011,6325,7343,7204,6377
210,8010,6820,6946,8123,6484,7274,7143,6277
220,8059,6886,7032,8189,6271,7246,7100,6294
230,8010,6995,6790,8197,6279,7252,7156,6398
240,7900,6831,6931,8187,6312,7308,7196,6412
250,8072,6965,6912,8126,6313,7195,7189,6305
260,8047,6818,6994,8113,6163,7211,7346,6385
270,7958,6867,6921,8128,6249,7310,7275,6369
280,7965,6971,6910,8149,6291,7274,7194,6323
290,7943,6852,6917,8155,6270,7436,7174,6330
300,7986,6964,6894,8221,6308,7229,7187,6288
310,7943,6912,6910,8165,6316,7160,7274,6397
320,7992,6800,6938,8218,6396,7122,7317,6294
330,8004,6945,6975,8091,6311,7305,7156,6290
340,8081,6917,6939,8028,6239,7268,7293,6312
350,8077,6884,6883,8103,6251,7316,7206,6357
360,8021,6891,6887,8003,6310,7332,7304,6329
370,8019,6972,6879,8285,6277,7253,7175,6217
380,8006,6945,6879,8196,6257,7300,7222,6272
390,8019,6965,6821,8075,6234,7317,7217,6429
400,7929,6943,6976,8046,6276,7373,7195,6339
410,8047,6952,6961,8186,6296,7304,7051,6280
420,8006,6930,6962,8103,6245,7251,7265,6315
430,8020,6891,7077,8139,6329,7249,7138,6234
440,7957,6838,6882,8212,6299,7299,7238,6352
450,7951,6893,6969,8223,6196,7311,7242,6292
460,7955,6888,6805,8206,6272,7353,7334,6264
470,8052,6913,7011,8112,6146,7350,7121,6372
480,8008,6851,6953,8089,6335,7252,7220,6369
490,8025,6928,6879,8204,6269,7110,7288,6374
500,7943,6910,6895,8130,6320,7336,7154,6389
510,7947,6845,6920,8105,6251,7351,7300,6358
520,8002,6945,6817,8119,6323,7214,7252,6405
530,7943,6863,6960,8166,6319,7255,7205,6366
540,7910,7004,7021,8153,6292,7326,7106,6265
550,7939,7018,6814,8128,6312,7383,7204,6279
560,7921,6947,6843,8295,6301,7319,7192,6259
570,7895,6803,6886,8190,6471,7275,7246,6311
580,7956,6743,6984,8214,6344,7316,7270,6250
590,8040,6899,6900,8230,6273,7190,7223,6322
600,7926,7018,6881,8116,6306,7381,7171,6278
610,7934,6976,6852,8202,6323,7392,7166,6232
620,7930,6876,6796,8111,6405,7267,7294,6398
630,7961,6863,6924,8238,6227,7320,7257,6287
640,8000,6936,6973,8046,6321,7349,7181,6271
650,8017,6841,6962,8143,6281,7251,7262,6320
660,8025,6823,6838,8119,6233,7303,7344,6392
670,8022,6876,6863,8086,6339,7256,7216,6419
680,7993,6913,6841,8073,6363,7408,7169,6317
690,7918,6895,7002,8086,6252,7244,7291,6389
700,7971,6889,6988,8118,6179,7395,7208,6329
710,7987,6827,6884,8211,6281,7234,7316,6337
720,7870,6952,7004,8250,6231,7254,7168,6348
730,8039,6846,6942,8233,6242,7308,7243,6224
740,7957,6882,6942,8206,6286,7331,7225,6248
750,7995,6940,6930,8179,6192,7370,7194,6277
760,8017,6922,6901,8030,6287,7289,7286,6345
770,8067,7001,6899,8183,6136,7312,7198,6281
780,7919,6889,7034,8178,6300,7230,7242,6285
790,8012,6986,7035,8075,6336,7234,7141,6258
800,7954,6960,6866,8231,6321,7257,7219,6269
810,8018,7043,6835,8250,6289,7155,7175,6312
820,7869,6866,6906,8285,6284,7311,7218,6338
830,8070,6870,6991,8185,6215,7365,7159,6222
840,8100,6835,6873,8241,6201,7416,7181,6230
850,8041,6821,6911,8154,6394,7204,7237,6315
860,8003,6942,6854,8092,6363,7298,7205,6320
870,8090,6989,6915,8117,6262,7195,7276,6233
880,7936,6983,6828,8243,6289,7266,7298,6234
890,7847,6919,6949,8200,6271,7335,7313,6243
900,7824,6961,6828,8248,6359,7238,7244,6375
910,7913,6951,6970,8080,6286,7291,7240,6346
920,7975,6819,6888,8113,6394,7316,7210,6362
930,8051,6788,7021,8128,6175,7360,7219,6335
940,7988,6934,6964,8189,6215,7277,7208,6302
950,7991,6927,6984,8230,6217,7164,7247,6317
960,7917,6914,6944,8133,6277,7276,7288,6328
970,7948,6987,6932,8191,6272,7134,7252,6361
980,7948,6786,7049,8130,6305,7216,7243,6400
990,8065,6802,6852,8231,6284,7227,7270,6346
1000,8006,6960,6917,8226,6283,7247,7257,6181
1010,8007,6907,6898,8130,6256,7302,7284,6293
1020,7999,6922,6956,8194,6216,7159,7189,6442
1030,8014,6881,7052,8095,6301,7137,7255,6342
1040,7911,7014,6869,8218,6354,7223,7233,6255
1050,8053,6862,6904,8096,6238,7313,7302,6309
