iteration,0,1,2,3,4,5,6
0,0,10000,0,0,0,0,0
10,26,9948,26,0,0,0,0
20,84,9832,84,0,0,0,0
30,181,9638,181,0,0,0,0
40,336,9328,336,0,0,0,0
50,466,9070,462,2,0,0,0
60,622,8761,612,5,0,0,0
70,775,8460,755,10,0,0,0
80,900,8216,869,14,1,0,0
90,1037,7952,986,24,1,0,0
100,1150,7730,1093,24,3,0,0
110,1253,7537,1170,37,3,0,0
120,1348,7359,1242,47,4,0,0
130,1439,7189,1309,59,4,0,0
140,1533,7006,1395,60,6,0,0
150,1588,6901,1439,67,5,0,0
160,1666,6754,1500,74,6,0,0
170,1685,6722,1507,80,6,0,0
180,1727,6651,1522,95,5,0,0
190,1793,6535,1555,113,4,0,0
200,1852,6421,1606,117,4,0,0
210,1896,6352,1620,121,10,1,0
220,1890,6355,1627,121,7,0,0
230,1905,6318,1657,113,6,1,0
240,1945,6257,1661,127,10,0,0
250,1963,6225,1672,131,7,2,0
260,1987,6192,1669,139,12,1,0
270,1951,6253,1650,138,7,1,0
280,1955,6245,1657,131,12,0,0
290,1971,6210,1677,132,10,0,0
300,1918,6296,1659,122,5,0,0
310,1935,6270,1659,132,4,0,0
320,1941,6256,1669,130,4,0,0
330,1960,6222,1680,134,4,0,0
340,1933,6279,1655,122,10,1,0
350,1972,6205,1688,122,12,1,0
360,1960,6227,1673,133,7,0,0
370,1966,6222,1665,140,7,0,0
380,1983,6195,1668,147,7,0,0
390,1971,6224,1652,140,13,0,0
400,1958,6245,1645,143,9,0,0
410,1970,6220,1658,144,8,0,0
420,1996,6161,1698,137,8,0,0
430,1995,6193,1640,162,9,1,0
440,2020,6136,1676,160,8,0,0
450,2012,6157,1654,173,4,0,0
460,1993,6202,1623,177,4,1,0
470,1958,6244,1640,156,2,0,0
480,1963,6238,1636,162,1,0,0
490,2001,6185,1633,175,6,0,0
500,1999,6175,1657,165,4,0,0
510,1958,6251,1632,151,8,0,0
520,1965,6230,1650,150,5,0,0
530,1945,6270,1632,146,7,0,0
540,1934,6291,1622,147,6,0,0
550,1948,6265,1629,155,3,0,0
560,1974,6212,1657,154,3,0,0
570,1990,6192,1652,160,6,0,0
580,2001,6168,1669,154,8,0,0
590,2004,6161,1675,151,9,0,0
600,2008,6163,1660,160,8,1,0
610,2026,6132,1667,166,9,0,0
620,2023,6124,1696,144,13,0,0
630,2059,6059,1712,163,7,0,0
640,2020,6128,1692,153,6,1,0
650,2043,6080,1716,156,5,0,0
660,2015,6136,1691,150,8,0,0
670,2000,6158,1691,144,7,0,0
680,1990,6175,1688,139,8,0,0
690,1972,6211,1668,143,6,0,0
700,1982,6210,1643,157,7,1,0
710,1987,6205,1640,158,9,1,0
720,1990,6191,1658,151,10,0,0
730,1987,6196,1656,152,9,0,0
740,1967,6229,1649,147,8,0,0
750,1972,6233,1631,151,13,0,0
760,1981,6198,1669,144,8,0,0
770,1967,6247,1617,157,12,0,0
780,1987,6206,1635,164,8,0,0
790,1994,6170,1685,144,7,0,0
800,1987,6186,1679,136,12,0,0
810,1975,6203,1681,129,12,0,0
820,1994,6167,1695,134,9,1,0
830,1977,6209,1662,141,11,0,0
840,1982,6204,1659,142,13,0,0
850,1989,6170,1701,132,8,0,0
860,1995,6165,1695,136,8,1,0
870,1987,6173,1704,125,11,0,0
880,2006,6139,1712,135,8,0,0
890,2002,6165,1673,151,9,0,0
900,1989,6194,1659,145,12,1,0
910,1981,6210,1649,148,12,0,0
920,1964,6245,1634,141,16,0,0
930,1990,6197,1648,153,12,0,0
940,2003,6182,1642,158,15,0,0
950,1997,6185,1651,155,12,0,0
960,1988,6193,1659,151,9,0,0
970,1981,6203,1658,151,7,0,0
980,1982,6209,1646,153,10,0,0
990,1999,6173,1667,151,10,0,0
1000,2003,6161,1679,147,10,0,0
1010,1985,6202,1653,148,12,0,0
1020,1990,6197,1648,154,10,1,0
1030,2014,6151,1667,157,11,0,0
1040,1966,6223,1668,131,12,0,0
1050,1989,6181,1679,144,6,1,0
1060,1982,6184,1694,132,8,0,0
1070,2017,6115,1730,127,11,0,0
1080,1996,6176,1673,142,13,0,0
1090,1981,6193,1678,141,7,0,0
1100,1990,6194,1651,156,9,0,0
1110,1961,6249,1631,147,12,0,0
1120,1997,6173,1675,144,10,1,0
1130,1972,6227,1640,152,8,1,0
1140,1970,6228,1641,154,7,0,0
1150,2000,6175,1656,163,6,0,0
1160,2013,6136,1697,146,8,0,0
1170,2023,6121,1699,147,10,0,0
1180,2020,6121,1706,145,8,0,0
1190,1996,6178,1662,158,6,0,0
1200,1989,6181,1679,143,8,0,0
1210,1992,6179,1673,149,7,0,0
1220,2007,6153,1683,147,10,0,0
1230,1988,6177,1693,131,11,0,0
1240,2000,6160,1693,135,11,1,0
1250,2028,6107,1712,143,10,0,0
1260,2015,6138,1681,164,2,0,0
1270,2015,6137,1687,155,6,0,0
1280,1993,6167,1695,137,8,0,0
1290,2025,6113,1710,141,11,0,0
1300,1999,6147,1714,135,5,0,0
1310,2018,6120,1711,146,5,0,0
1320,2019,6133,1685,155,8,0,0
1330,2020,6116,1710,152,2,0,0
1340,2032,6103,1706,151,8,0,0
1350,2022,6122,1698,150,8,0,0
1360,2012,6150,1670,162,6,0,0
1370,2028,6124,1677,162,9,0,0
1380,1998,6181,1649,167,5,0,0
1390,1983,6201,1654,157,5,0,0
1400,1971,6214,1666,142,7,0,0
1410,1968,6229,1642,157,4,0,0
1420,1953,6270,1607,164,6,0,0
1430,1968,6244,1615,166,7,0,0
1440,1958,6252,1628,156,6,0,0
1450,1961,6246,1632,154,7,0,0
1460,1944,6293,1590,165,8,0,0
1470,1937,6288,1621,146,8,0,0
1480,1942,6279,1623,149,7,0,0
1490,1948,6260,1643,142,7,0,0
1500,1970,6226,1649,144,11,0,0
1510,1991,6201,1636,161,11,0,0
1520,1968,6244,1620,157,10,1,0
1530,1967,6232,1644,148,9,0,0
1540,2000,6178,1656,154,12,0,0
1550,1995,6187,1653,153,12,0,0
1560,1989,6198,1644,162,7,0,0
1570,1988,6199,1646,160,6,1,0
1580,2004,6165,1667,155,9,0,0
1590,1977,6218,1642,154,9,0,0
1600,1986,6201,1647,159,7,0,0
1610,1986,6209,1634,161,10,0,0
1620,1992,6199,1640,155,14,0,0
1630,1977,6232,1618,160,13,0,0
1640,1996,6193,1639,159,13,0,0
1650,1991,6198,1650,142,19,0,0
1660,2011,6140,1704,128,17,0,0
1670,2009,6153,1681,143,14,0,0
1680,2017,6147,1667,157,12,0,0
1690,2009,6154,1676,150,11,0,0
1700,1983,6199,1662,147,9,0,0
1710,2003,6175,1655,153,14,0,0
1720,1993,6183,1664,151,9,0,0
1730,1980,6209,1649,155,7,0,0
1740,1992,6195,1641,165,7,0,0
1750,1992,6204,1629,162,13,0,0
1760,1978,6227,1623,162,9,1,0
1770,1988,6207,1632,164,8,1,0
1780,2014,6152,1664,161,8,1,0
1790,2013,6176,1624,174,11,2,0
