iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-by,aggDist-bm,aggDist-bd,aggDist-fname_c1,aggDist-lname_c1,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5
0,1540807639780,10000,-1.994567976e+05,0,0,0,0,0,10000,0,0,0,0,0
10,1540807643045,9974,-2.017093114e+05,81,89,41,60,58,9676,319,5,0,0,0
20,1540807647235,9916,-2.044552815e+05,174,193,111,119,124,9297,685,18,0,0,0
30,1540807649557,9819,-2.101554201e+05,490,333,278,292,191,8499,1419,81,1,0,0
40,1540807653133,9664,-2.158459723e+05,761,547,478,431,327,7676,2118,192,14,0,0
50,1540807655513,9534,-2.207859538e+05,1025,709,674,646,413,6967,2638,358,35,2,0
60,1540807658756,9378,-2.247089205e+05,1257,772,907,697,537,6462,2967,512,57,2,0
70,1540807660981,9225,-2.294734688e+05,1446,831,1170,938,837,5729,3419,758,89,5,0
80,1540807664343,9100,-2.329843369e+05,1611,959,1351,1305,798,5258,3628,960,140,14,0
90,1540807666627,8963,-2.350979146e+05,1712,985,1414,1388,1048,4894,3865,1058,167,15,1
100,1540807672200,8850,-2.382108063e+05,1849,1007,1572,1756,1192,4449,3990,1318,223,19,1
110,1540807674571,8747,-2.413494699e+05,1957,1229,1660,2209,1317,4016,3991,1636,321,34,2
120,1540807677799,8652,-2.424330277e+05,1888,1263,1752,2284,1594,3735,4201,1660,357,46,1
130,1540807680035,8561,-2.458758578e+05,2144,1374,1909,2519,1695,3385,4184,1913,445,69,4
140,1540807683002,8467,-2.483818216e+05,2331,1535,1995,2421,1804,3229,4153,2006,530,79,3
150,1540807685206,8412,-2.498495029e+05,2318,1585,2187,2447,2004,3027,4182,2114,583,88,6
160,1540807688595,8334,-2.511819035e+05,2501,1707,2030,2585,2137,2879,4131,2249,640,94,7
170,1540807690750,8315,-2.517379684e+05,2472,1697,2168,2626,2148,2876,4049,2284,679,103,9
180,1540807693727,8273,-2.528847993e+05,2405,1833,2286,2876,2092,2676,4183,2277,713,139,12
190,1540807695938,8207,-2.543708992e+05,2563,1820,2353,2933,2187,2573,4085,2419,775,132,16
200,1540807700195,8148,-2.545595214e+05,2535,1947,2255,3027,2454,2457,4032,2520,831,147,13
210,1540807702678,8104,-2.572976574e+05,2755,2146,2400,3070,2250,2363,3949,2598,901,172,17
220,1540807706057,8110,-2.572254637e+05,2696,2167,2436,2856,2427,2406,3929,2540,939,174,12
230,1540807708283,8095,-2.574179621e+05,2732,2181,2484,2757,2281,2457,3952,2502,891,184,14
240,1540807711109,8055,-2.573441792e+05,2781,2146,2475,2735,2203,2502,3926,2529,834,191,18
250,1540807713409,8037,-2.572258966e+05,2780,2099,2493,2655,2369,2414,4010,2542,848,172,14
260,1540807716790,8013,-2.574695873e+05,2827,2113,2476,2644,2234,2481,3970,2498,888,151,12
270,1540807719262,8049,-2.572207028e+05,2820,2036,2394,2857,2460,2364,4023,2521,882,194,16
280,1540807722571,8045,-2.582350335e+05,2790,2094,2593,2824,2345,2379,3950,2527,947,184,13
290,1540807724946,8029,-2.563847427e+05,2589,2080,2407,2948,2251,2495,3957,2514,860,160,14
300,1540807729012,8082,-2.563366877e+05,2644,2047,2372,3183,2344,2362,3952,2618,882,174,12
310,1540807731407,8065,-2.566628486e+05,2606,2129,2426,2856,2444,2432,3942,2566,866,181,13
320,1540807734620,8059,-2.564981742e+05,2628,2063,2463,2746,2471,2492,3912,2515,904,168,9
330,1540807737102,8040,-2.570553472e+05,2782,2013,2429,2921,2225,2442,4020,2463,894,163,18
340,1540807740356,8067,-2.567273313e+05,2633,2030,2396,3115,2523,2341,3945,2608,898,198,10
350,1540807742615,8028,-2.583638500e+05,2775,2094,2488,3135,2521,2277,3865,2651,996,197,14
360,1540807745528,8040,-2.573652666e+05,2672,2029,2480,3012,2464,2338,3954,2631,878,188,11
370,1540807747868,8034,-2.570572013e+05,2691,2086,2382,3060,2521,2379,3870,2609,935,188,19
380,1540807750956,8017,-2.580261477e+05,2775,2116,2509,2887,2359,2299,4105,2469,924,184,19
390,1540807753294,8029,-2.565754888e+05,2676,2037,2391,2987,2349,2410,4010,2519,873,167,21
400,1540807756937,8042,-2.561938229e+05,2596,1895,2423,3222,2372,2401,3951,2592,866,175,15
410,1540807759273,8030,-2.571960437e+05,2704,2032,2387,3168,2454,2346,3905,2651,875,202,21
420,1540807762220,8004,-2.586417750e+05,2739,2213,2563,2961,2555,2233,3969,2590,967,224,17
430,1540807764574,8005,-2.583573609e+05,2773,2097,2453,3187,2508,2238,3917,2663,969,197,16
440,1540807768076,7980,-2.583173394e+05,2751,2140,2531,3143,2256,2332,3912,2575,984,178,19
450,1540807770382,7988,-2.580158472e+05,2806,2026,2493,3025,2345,2332,4025,2485,952,186,20
460,1540807773334,8007,-2.569793929e+05,2699,2071,2450,3070,2217,2339,4061,2533,895,165,7
470,1540807775668,8042,-2.571028359e+05,2699,1937,2402,3183,2630,2218,4044,2617,933,166,22
480,1540807779007,8037,-2.564826491e+05,2600,1957,2440,3090,2586,2357,3926,2617,903,181,16
490,1540807781259,7999,-2.577395492e+05,2729,2038,2406,3231,2555,2262,3942,2609,965,206,16
500,1540807785531,8001,-2.574640000e+05,2699,1980,2449,3114,2537,2310,3950,2615,915,196,14
510,1540807787819,8042,-2.564856492e+05,2609,2006,2331,3224,2503,2339,3976,2579,897,197,12
520,1540807790956,8035,-2.559194669e+05,2568,2052,2382,3054,2158,2476,4009,2515,838,149,13
530,1540807793232,8055,-2.561005207e+05,2550,1955,2367,3176,2421,2358,4053,2559,834,184,12
540,1540807796521,8066,-2.553991786e+05,2526,1973,2296,3067,2259,2515,4012,2482,827,156,8
550,1540807798946,8052,-2.562860134e+05,2586,1938,2384,3020,2695,2347,3946,2631,900,165,11
560,1540807802196,8026,-2.571686943e+05,2722,1945,2389,3105,2572,2300,3993,2575,952,166,14
570,1540807804512,8010,-2.568499531e+05,2707,1984,2322,3130,2450,2325,4062,2516,904,178,15
580,1540807807762,7999,-2.568119808e+05,2670,1987,2407,3083,2454,2370,3977,2549,903,188,13
590,1540807809992,7996,-2.575364357e+05,2687,2088,2386,3081,2579,2308,3949,2577,965,182,19
