iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,39743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18431,10328,6397,2668,1266,431,167,45,9,1,0,0,0,0,0,0,0,0,0
20,19397,9467,6071,2576,1310,570,223,82,24,21,0,1,1,0,0,0,0,0,0
30,19891,8903,6018,2625,1295,597,239,104,47,17,4,3,0,0,0,0,0,0,0
40,20357,8424,5898,2668,1273,626,308,105,57,16,8,2,1,0,0,0,0,0,0
50,20690,7997,5884,2701,1306,668,291,130,45,20,7,3,1,0,0,0,0,0,0
60,20930,7652,5862,2841,1298,650,296,129,55,22,5,1,2,0,0,0,0,0,0
70,21152,7401,5858,2820,1306,669,308,135,60,23,6,3,2,0,0,0,0,0,0
80,21282,7288,5711,2890,1401,641,296,141,61,22,6,3,1,0,0,0,0,0,0
90,21482,7092,5689,2824,1431,660,332,140,56,23,10,1,1,1,1,0,0,0,0
100,21507,7062,5680,2865,1370,722,294,147,49,28,12,5,2,0,0,0,0,0,0
110,21671,6899,5609,2863,1450,677,335,131,63,34,8,1,2,0,0,0,0,0,0
120,21566,6903,5730,2905,1406,714,294,139,58,15,10,1,2,0,0,0,0,0,0
130,21610,6947,5583,2924,1425,726,291,160,49,16,8,2,2,0,0,0,0,0,0
140,21726,6822,5533,2974,1455,678,307,149,65,26,5,2,1,0,0,0,0,0,0
150,21723,6926,5444,2921,1466,688,335,135,59,27,17,2,0,0,0,0,0,0,0
160,21630,6899,5633,2892,1475,668,313,134,65,24,4,4,1,0,1,0,0,0,0
170,21725,6822,5572,2935,1458,668,312,148,61,24,12,4,2,0,0,0,0,0,0
180,21748,6902,5411,2925,1508,699,304,143,61,28,7,3,3,1,0,0,0,0,0
190,21848,6776,5404,2976,1500,644,336,152,56,37,7,5,1,1,0,0,0,0,0
200,21923,6724,5408,2897,1481,725,324,152,67,23,7,6,3,2,1,0,0,0,0
210,21911,6737,5403,2949,1429,703,340,151,75,30,11,3,1,0,0,0,0,0,0
220,21840,6812,5436,2903,1461,700,333,133,69,38,15,3,0,0,0,0,0,0,0
230,21919,6694,5413,2910,1520,734,306,141,62,23,15,5,1,0,0,0,0,0,0
240,21849,6789,5357,3005,1454,714,332,158,47,24,8,3,3,0,0,0,0,0,0
250,21749,6916,5419,2898,1473,709,338,147,62,20,8,3,1,0,0,0,0,0,0
260,21807,6855,5389,2930,1466,717,337,148,52,30,7,3,2,0,0,0,0,0,0
270,21949,6669,5365,2964,1497,744,309,138,67,30,5,5,0,1,0,0,0,0,0
280,21816,6839,5439,2918,1451,674,320,177,69,22,13,2,2,1,0,0,0,0,0
290,21812,6811,5471,2880,1462,737,329,150,49,27,11,2,1,0,1,0,0,0,0
300,21811,6764,5483,2958,1511,648,301,158,67,25,9,5,2,1,0,0,0,0,0
310,21812,6799,5467,2933,1473,681,334,128,63,32,14,3,3,1,0,0,0,0,0
320,21806,6781,5507,2920,1456,678,356,132,67,27,8,5,0,0,0,0,0,0,0
330,21882,6683,5449,3000,1462,711,308,147,55,29,8,8,0,1,0,0,0,0,0
340,21937,6624,5420,2960,1558,689,319,140,50,35,8,3,0,0,0,0,0,0,0
350,21870,6754,5429,2902,1495,710,342,145,59,22,10,3,1,1,0,0,0,0,0
360,21889,6780,5356,2897,1547,698,325,140,68,26,13,4,0,0,0,0,0,0,0
370,21911,6786,5322,2944,1466,718,328,151,72,28,13,4,0,0,0,0,0,0,0
380,21846,6787,5440,2896,1489,727,307,138,61,31,15,1,4,1,0,0,0,0,0
390,21981,6645,5335,2996,1482,716,351,132,64,27,7,7,0,0,0,0,0,0,0
400,21868,6744,5442,2906,1510,698,323,141,78,19,9,4,0,1,0,0,0,0,0
410,21897,6759,5393,2899,1485,703,360,149,61,23,7,6,1,0,0,0,0,0,0
420,21861,6747,5388,3012,1450,707,340,144,57,28,6,3,0,0,0,0,0,0,0
430,21894,6723,5409,2875,1566,717,330,137,59,21,6,4,2,0,0,0,0,0,0
440,21915,6697,5462,2887,1493,698,325,157,59,28,16,6,0,0,0,0,0,0,0
450,21839,6846,5365,2896,1465,750,349,137,62,22,11,0,1,0,0,0,0,0,0
460,21872,6789,5308,2997,1498,728,305,139,64,32,9,2,0,0,0,0,0,0,0
470,21902,6742,5363,2946,1507,700,340,140,59,28,13,2,0,1,0,0,0,0,0
480,21893,6744,5382,2925,1516,689,358,149,49,21,11,4,1,1,0,0,0,0,0
490,21886,6709,5447,2940,1503,676,319,145,80,27,6,4,1,0,0,0,0,0,0
500,21874,6756,5397,2919,1509,698,345,160,61,14,6,2,2,0,0,0,0,0,0
510,21909,6663,5492,2914,1495,709,304,139,63,35,14,3,1,1,0,1,0,0,0
520,21889,6746,5456,2852,1498,705,348,141,60,31,12,4,0,0,1,0,0,0,0
530,21860,6796,5451,2850,1448,747,338,149,62,27,8,6,1,0,0,0,0,0,0
540,21869,6763,5424,2920,1466,725,330,137,64,28,11,4,1,0,1,0,0,0,0
550,21878,6784,5373,2936,1469,713,333,151,68,23,9,4,2,0,0,0,0,0,0
560,21896,6837,5309,2899,1513,666,349,156,67,35,7,7,1,1,0,0,0,0,0
570,21776,6897,5401,2885,1542,671,313,151,63,23,14,5,1,1,0,0,0,0,0
580,21816,6799,5430,2967,1457,712,319,137,62,22,17,2,3,0,0,0,0,0,0
590,21913,6712,5352,2989,1498,704,347,129,58,23,11,3,3,1,0,0,0,0,0
600,21840,6836,5365,2916,1470,748,312,157,67,22,6,4,0,0,0,0,0,0,0
610,21878,6706,5442,2991,1390,771,335,139,51,27,12,1,0,0,0,0,0,0,0
620,21912,6665,5446,2930,1531,687,333,135,63,24,14,2,1,0,0,0,0,0,0
