iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
0,1540807552769,39743,-5.263634225e+05,0,0,0,0,0,0,0,0,39743,0,0,0,0,0,0,0,0
10,1540807559956,21312,-5.367485761e+05,282,196,200,214,78,152,197,110,38330,1397,16,0,0,0,0,0,0
20,1540807567057,20346,-5.407638548e+05,658,211,297,332,64,171,216,87,37742,1966,35,0,0,0,0,0,0
30,1540807571893,19852,-5.460944281e+05,1155,244,436,372,84,175,248,78,37020,2655,67,1,0,0,0,0,0
40,1540807578135,19386,-5.515143217e+05,1904,314,440,459,70,195,315,79,36056,3601,83,3,0,0,0,0,0
50,1540807582913,19053,-5.557922080e+05,2562,323,460,527,50,177,365,74,35336,4278,127,2,0,0,0,0,0
60,1540807588893,18813,-5.593532880e+05,3196,344,435,544,52,163,355,88,34724,4865,150,4,0,0,0,0,0
70,1540807593701,18591,-5.629613594e+05,3817,358,421,585,65,169,427,87,34025,5514,198,5,1,0,0,0,0
80,1540807599046,18461,-5.645920238e+05,4364,356,375,589,57,167,342,71,33639,5891,209,4,0,0,0,0,0
90,1540807603908,18261,-5.666295509e+05,4867,424,338,533,50,130,395,86,33173,6325,237,8,0,0,0,0,0
100,1540807611943,18236,-5.682195111e+05,5317,410,307,548,57,142,374,70,32746,6773,220,4,0,0,0,0,0
110,1540807616393,18072,-5.695087891e+05,5695,459,273,469,73,147,363,89,32440,7040,261,2,0,0,0,0,0
120,1540807621677,18177,-5.692906194e+05,5848,397,219,419,72,127,394,88,32434,7063,237,9,0,0,0,0,0
130,1540807626298,18133,-5.706136608e+05,6100,418,244,376,64,137,378,91,32180,7321,239,3,0,0,0,0,0
140,1540807631141,18017,-5.715780346e+05,6399,398,188,422,58,144,347,86,31950,7548,241,4,0,0,0,0,0
150,1540807635540,18020,-5.710079851e+05,6534,433,172,324,47,150,298,73,31934,7589,218,2,0,0,0,0,0
160,1540807640903,18113,-5.717761448e+05,6493,490,183,346,55,146,358,69,31825,7699,216,3,0,0,0,0,0
170,1540807645532,18018,-5.723558772e+05,6717,445,142,398,40,172,342,52,31667,7844,232,0,0,0,0,0,0
180,1540807651066,17995,-5.725481388e+05,6713,512,141,387,56,117,362,66,31651,7837,248,7,0,0,0,0,0
190,1540807655492,17895,-5.732027753e+05,6993,513,140,414,61,125,289,82,31397,8081,260,4,1,0,0,0,0
200,1540807661911,17820,-5.745403526e+05,7171,520,136,347,55,137,342,92,31228,8231,283,1,0,0,0,0,0
210,1540807666428,17832,-5.742889536e+05,7219,454,115,386,51,118,336,76,31258,8220,260,5,0,0,0,0,0
220,1540807671292,17903,-5.737353116e+05,7168,438,130,343,83,104,360,86,31307,8165,267,3,1,0,0,0,0
230,1540807675346,17824,-5.742751717e+05,7120,469,147,354,70,114,409,75,31279,8180,274,10,0,0,0,0,0
240,1540807680846,17894,-5.740751728e+05,7126,484,158,336,60,124,337,77,31310,8169,259,5,0,0,0,0,0
250,1540807684899,17994,-5.733520900e+05,7000,455,150,350,64,137,329,95,31443,8025,270,5,0,0,0,0,0
260,1540807690295,17936,-5.732861246e+05,7055,432,131,371,51,153,276,71,31465,8020,254,4,0,0,0,0,0
270,1540807694297,17794,-5.744250685e+05,7146,434,142,410,66,123,342,92,31290,8157,290,6,0,0,0,0,0
280,1540807699851,17927,-5.743201097e+05,7157,466,137,400,56,136,295,73,31295,8178,268,2,0,0,0,0,0
290,1540807703852,17931,-5.738405776e+05,7127,485,153,309,82,145,292,59,31362,8112,267,2,0,0,0,0,0
300,1540807710173,17932,-5.744123475e+05,7205,457,167,386,56,138,262,73,31234,8276,231,2,0,0,0,0,0
310,1540807714343,17931,-5.744601070e+05,7331,414,148,364,56,160,258,70,31220,8246,276,1,0,0,0,0,0
320,1540807720068,17937,-5.745829379e+05,7433,449,114,360,49,129,273,69,31130,8352,259,2,0,0,0,0,0
330,1540807724137,17861,-5.750870728e+05,7519,495,124,292,59,116,276,82,31047,8433,259,4,0,0,0,0,0
340,1540807729157,17806,-5.753929306e+05,7669,472,112,312,65,108,292,86,30891,8596,248,8,0,0,0,0,0
350,1540807733590,17873,-5.754641031e+05,7486,519,135,347,64,137,247,81,31003,8467,270,3,0,0,0,0,0
360,1540807738419,17854,-5.762193343e+05,7578,572,133,400,56,117,248,73,30876,8561,302,4,0,0,0,0,0
370,1540807743018,17832,-5.745319978e+05,7346,542,109,333,39,121,301,68,31174,8284,280,5,0,0,0,0,0
380,1540807748276,17897,-5.762890573e+05,7497,565,117,343,69,118,356,123,30877,8549,312,5,0,0,0,0,0
390,1540807752572,17762,-5.761891752e+05,7718,537,127,299,37,128,313,96,30759,8717,263,4,0,0,0,0,0
400,1540807759135,17875,-5.763750819e+05,7689,635,140,298,63,115,300,70,30734,8713,292,3,1,0,0,0,0
410,1540807763266,17846,-5.759875085e+05,7662,570,132,251,67,136,277,91,30847,8610,282,4,0,0,0,0,0
420,1540807768381,17882,-5.753324099e+05,7622,541,162,267,54,115,265,74,30896,8597,247,3,0,0,0,0,0
430,1540807772405,17849,-5.764928993e+05,7603,653,137,306,49,124,279,74,30817,8631,291,4,0,0,0,0,0
440,1540807777681,17828,-5.753852805e+05,7461,590,109,319,50,126,301,82,30976,8498,267,2,0,0,0,0,0
450,1540807782112,17904,-5.744832702e+05,7295,591,132,297,59,152,253,94,31142,8333,264,4,0,0,0,0,0
460,1540807786833,17871,-5.752519285e+05,7499,578,160,276,59,116,254,78,31010,8446,287,0,0,0,0,0,0
470,1540807791126,17841,-5.758899328e+05,7574,554,154,296,53,167,262,57,30888,8594,260,1,0,0,0,0,0
480,1540807796606,17850,-5.751890044e+05,7371,521,150,272,60,166,288,92,31105,8359,276,3,0,0,0,0,0
490,1540807800992,17857,-5.757074610e+05,7426,529,152,335,67,139,285,72,31026,8433,280,4,0,0,0,0,0
