iteration,0,1,2,3,4,5,6,7
0,4800,4812,4763,5515,4739,5504,4760,4850
10,4930,5042,4478,5776,4633,5522,4868,4494
20,4975,4917,4472,5835,4626,5464,4910,4544
30,4947,4896,4457,5729,4698,5484,4967,4565
40,5013,4884,4531,5795,4586,5545,4897,4492
50,5161,4910,4487,5649,4736,5412,4858,4530
60,5094,4931,4570,5680,4591,5410,4948,4519
70,5149,4961,4512,5753,4582,5424,4920,4442
80,5097,4996,4473,5614,4680,5387,4930,4566
90,5048,4887,4455,5754,4751,5450,4954,4444
100,5124,5035,4510,5737,4640,5311,4865,4521
110,5040,4928,4518,5668,4586,5457,5096,4450
120,5124,4943,4516,5729,4549,5433,4928,4521
130,5172,4875,4638,5741,4574,5441,4837,4465
140,5069,4852,4519,5735,4707,5355,5005,4501
150,5151,4861,4478,5815,4642,5365,4989,4442
160,5008,4904,4554,5759,4659,5418,5005,4436
170,5020,4838,4636,5657,4681,5538,4914,4459
180,5044,4935,4620,5710,4650,5329,5020,4435
190,5058,4963,4472,5789,4552,5398,5011,4500
200,5067,4847,4623,5829,4602,5293,5041,4441
210,5133,4907,4500,5699,4631,5469,4983,4421
220,5001,4950,4560,5691,4616,5425,4986,4514
230,5106,5001,4605,5657,4537,5414,4959,4464
240,5129,4928,4484,5656,4649,5476,4946,4475
250,5129,4895,4522,5709,4607,5406,5075,4400
260,5044,4971,4454,5709,4667,5427,4998,4473
270,5113,4972,4431,5779,4654,5348,5001,4445
280,5041,4914,4544,5722,4641,5368,4934,4579
290,5061,4946,4540,5765,4608,5389,5028,4406
300,5055,4965,4438,5798,4677,5362,4990,4458
310,5079,4966,4530,5644,4616,5402,4952,4554
320,5014,4966,4569,5640,4703,5305,5105,4441
330,5067,4940,4491,5765,4678,5409,4975,4418
340,5141,4892,4463,5732,4629,5424,4969,4493
350,5058,4832,4481,5762,4693,5506,4926,4485
360,5087,4961,4549,5720,4621,5398,4958,4449
370,5117,4917,4484,5740,4589,5331,5063,4502
380,5028,4959,4539,5752,4608,5419,4984,4454
390,5139,4967,4505,5729,4603,5418,4904,4478
400,5106,4846,4482,5692,4665,5436,5005,4511
410,5141,4874,4487,5738,4662,5401,4940,4500
420,5139,4955,4511,5759,4522,5413,4943,4501
430,5148,4893,4599,5634,4525,5447,4991,4506
440,5220,4816,4489,5756,4654,5422,4929,4457
450,5095,4957,4407,5790,4618,5459,4922,4495
460,5205,4925,4542,5752,4625,5329,4879,4486
470,5160,4857,4608,5733,4616,5345,4916,4508
480,5181,4877,4459,5719,4646,5404,4871,4586
490,5185,4910,4516,5793,4627,5322,4894,4496
500,5046,4915,4537,5721,4627,5443,5000,4454
510,5073,4974,4584,5634,4630,5357,4995,4496
520,5006,5009,4578,5687,4655,5378,4979,4451
530,5022,4909,4513,5709,4685,5422,4990,4493
540,5064,4941,4556,5804,4615,5383,4966,4414
550,5046,4981,4423,5766,4669,5402,4974,4482
560,5129,4816,4498,5769,4654,5378,4974,4525
570,5172,4898,4480,5731,4619,5425,4902,4516
580,5040,4959,4472,5795,4616,5409,4998,4454
590,5090,4978,4493,5553,4665,5440,4976,4548
600,5083,4866,4534,5692,4616,5470,4951,4531
610,5127,4914,4550,5701,4711,5425,4977,4338
620,5108,4981,4569,5701,4559,5394,4982,4449
630,5143,4839,4577,5729,4622,5389,4952,4492
640,5172,4982,4579,5719,4639,5299,4882,4471
650,4998,4876,4588,5752,4708,5324,4949,4548
660,5016,4979,4578,5702,4639,5469,4889,4471
670,5066,4979,4408,5730,4612,5433,5028,4487
680,5037,4945,4439,5750,4635,5441,4971,4525
690,5053,4946,4524,5780,4574,5346,5043,4477
700,5053,4937,4529,5659,4683,5455,4889,4538
710,5028,4998,4650,5737,4699,5265,4992,4374
720,5159,4955,4458,5687,4692,5417,4944,4431
730,5056,5024,4570,5762,4659,5274,4929,4469
740,5099,5006,4459,5752,4671,5376,4897,4483
750,5034,4856,4605,5806,4671,5322,4923,4526
760,5065,4962,4541,5750,4553,5371,4958,4543
770,5122,4935,4606,5645,4676,5362,4977,4420
780,5051,4992,4543,5700,4637,5406,4962,4452
790,5190,4880,4526,5712,4593,5369,5008,4465
800,5057,4908,4521,5774,4664,5455,4925,4439
810,5004,4872,4554,5776,4712,5325,4998,4502
