iteration,0,1,2,3,4,5,6,7,8
0,0,660000,0,0,0,0,0,0,0
10,233485,234701,151227,39522,1046,19,0,0,0
20,240286,225650,149474,43002,1546,40,2,0,0
30,243178,221572,149320,43996,1871,62,1,0,0
40,245367,218170,149774,44553,2058,77,1,0,0
50,246606,216299,149879,45001,2138,74,3,0,0
60,247716,214686,150043,45082,2384,88,1,0,0
70,248485,213509,150124,45382,2408,87,5,0,0
80,248842,213114,149939,45512,2497,92,4,0,0
90,249268,212558,149857,45639,2584,90,3,1,0
100,249401,212375,149829,45712,2591,85,7,0,0
110,249734,211821,149914,45866,2575,87,3,0,0
120,249945,211508,149955,45877,2625,89,1,0,0
130,249905,211480,150059,45915,2550,89,2,0,0
140,250553,210580,150074,46009,2678,103,3,0,0
150,250737,210403,149945,46060,2753,97,5,0,0
160,250516,210755,149821,46141,2660,102,5,0,0
170,250827,210204,150076,46031,2763,95,4,0,0
180,250954,209906,150306,45960,2771,101,1,1,0
190,250965,210096,149858,46256,2708,114,3,0,0
200,250946,210005,150069,46184,2681,109,6,0,0
210,251033,209940,150017,46140,2750,114,6,0,0
220,251153,209682,150113,46242,2690,114,6,0,0
230,251031,210046,149790,46275,2746,107,5,0,0
240,251428,209357,150018,46303,2774,118,2,0,0
250,251074,209678,150303,46170,2674,96,5,0,0
260,251140,209657,150264,46062,2761,111,5,0,0
270,251260,209529,150160,46170,2772,102,6,1,0
280,251732,208846,150121,46413,2770,115,3,0,0
290,252016,208422,150184,46428,2831,112,7,0,0
300,251954,208620,149921,46608,2777,114,6,0,0
310,251841,208755,149991,46507,2793,108,5,0,0
320,251827,208753,150027,46501,2775,113,3,1,0
330,251867,208830,149824,46520,2840,112,7,0,0
340,251995,208478,150173,46389,2826,129,10,0,0
350,252137,208285,150049,46620,2795,107,7,0,0
360,252138,208292,150056,46585,2810,113,6,0,0
370,252139,208457,149788,46622,2877,109,8,0,0
380,252065,208456,149927,46632,2810,106,4,0,0
390,252062,208424,149991,46624,2783,106,10,0,0
400,252212,208235,149956,46643,2855,92,5,2,0
410,251992,208555,149991,46495,2863,98,6,0,0
420,252343,207956,150170,46557,2845,121,8,0,0
430,252139,208452,149836,46539,2916,113,5,0,0
440,252108,208452,149920,46500,2898,117,4,1,0
450,252506,207678,150229,46602,2874,104,7,0,0
460,252238,208176,150009,46653,2779,139,6,0,0
470,252671,207539,150036,46766,2852,133,3,0,0
480,252710,207566,149963,46662,2976,120,3,0,0
490,252795,207331,150148,46663,2935,124,4,0,0
500,252540,207643,150258,46516,2928,109,6,0,0
510,252699,207474,150117,46658,2946,102,4,0,0
520,252727,207517,149964,46736,2939,111,6,0,0
530,252672,207639,149883,46759,2921,122,4,0,0
540,252624,207679,149977,46644,2949,123,4,0,0
550,252749,207621,149692,46913,2878,138,9,0,0
560,252739,207550,149886,46757,2936,129,3,0,0
570,252782,207445,150002,46663,2985,116,7,0,0
580,253084,206974,150121,46651,3027,135,8,0,0
590,253032,207148,149905,46734,3070,106,5,0,0
600,252894,207378,149779,46857,2969,121,2,0,0
610,253026,207037,150050,46818,2937,131,1,0,0
620,252823,207479,149822,46762,2980,133,1,0,0
630,252967,207181,149998,46739,2975,134,6,0,0
640,252705,207672,149759,46769,2976,115,4,0,0
650,252897,207207,150114,46683,2982,114,3,0,0
660,253121,206984,149906,46882,2980,124,3,0,0
670,253316,206786,149734,47028,3022,110,4,0,0
680,253233,206753,150053,46838,2995,121,7,0,0
690,253314,206785,149802,46923,3045,124,7,0,0
700,253033,207212,149776,46802,3063,107,6,1,0
710,253275,206784,149919,46828,3083,105,5,1,0
720,253102,206941,150131,46646,3046,129,5,0,0
730,252941,207322,149814,46771,3031,113,8,0,0
740,252958,207301,149815,46757,3055,107,6,1,0
750,253045,207119,149988,46611,3118,114,5,0,0
760,253211,206778,150135,46675,3084,111,6,0,0
770,253177,207055,149740,46764,3155,102,6,1,0
780,253122,207053,149787,46894,3035,103,6,0,0
790,253174,206942,149788,47013,2975,105,3,0,0
800,253258,206836,149769,47030,3002,102,3,0,0
810,253230,206766,150005,46888,3001,104,6,0,0
820,253113,207122,149728,46847,3075,109,6,0,0
830,252948,207394,149698,46775,3048,129,8,0,0
840,253311,206858,149679,46951,3080,115,6,0,0
850,253337,206625,150024,46858,3033,117,6,0,0
860,253263,206876,149791,46881,3051,133,5,0,0
870,253026,207105,149945,46801,3016,104,3,0,0
880,253262,206706,150048,46859,3012,105,8,0,0
890,253227,206795,150015,46791,3063,104,5,0,0
900,253369,206825,149600,46992,3076,133,5,0,0
910,253452,206482,150011,46845,3091,117,2,0,0
920,253738,206107,149981,46909,3125,136,4,0,0
930,253511,206546,149758,46952,3088,140,5,0,0
940,253447,206584,149772,47056,3006,130,5,0,0
950,253309,206674,149979,46903,3020,111,4,0,0
960,253426,206555,149914,46927,3058,116,4,0,0
970,253412,206586,149894,46935,3052,113,8,0,0
980,253344,206797,149730,46916,3079,125,9,0,0
990,253280,206826,149825,46874,3078,112,5,0,0
1000,253342,206800,149797,46767,3170,119,5,0,0
1010,253380,206768,149736,46824,3176,112,4,0,0
1020,253097,207084,149905,46677,3115,117,5,0,0
1030,253401,206730,149733,46872,3136,124,4,0,0
1040,253522,206437,149949,46836,3130,119,7,0,0
1050,253028,207201,149856,46712,3069,130,3,1,0
1060,253151,206941,149964,46775,3046,117,5,1,0
1070,253391,206585,149971,46872,3053,123,5,0,0
1080,253192,206943,149779,46975,2985,122,4,0,0
1090,253021,207242,149705,46920,2979,127,5,1,0
1100,253096,207091,149825,46835,3018,128,7,0,0
1110,253189,206848,150003,46853,2951,153,3,0,0
1120,252994,207312,149736,46767,3044,143,4,0,0
1130,253294,206742,149880,46975,2980,122,6,1,0
1140,253025,207201,149855,46746,3020,147,6,0,0
1150,252981,207190,149941,46772,2971,142,3,0,0
1160,252934,207158,150128,46652,3014,110,4,0,0
1170,253085,207095,149827,46865,2991,131,5,1,0
1180,253187,206936,149816,46942,2994,120,5,0,0
1190,253071,207147,149766,46881,3000,132,3,0,0
1200,253042,207273,149577,46985,3000,120,3,0,0
1210,253061,207183,149695,46945,2994,116,6,0,0
1220,253231,206918,149703,47035,2996,115,2,0,0
1230,253156,206986,149876,46781,3087,113,1,0,0
1240,253182,206947,149836,46883,3032,116,4,0,0
1250,253146,206954,149954,46777,3043,121,5,0,0
1260,253416,206587,149910,46903,3042,136,6,0,0
1270,253415,206561,149913,46968,3010,129,4,0,0
1280,253494,206526,149784,47019,3043,127,7,0,0
1290,253412,206567,149943,46890,3070,111,7,0,0
1300,253208,206917,149787,46973,2991,118,6,0,0
1310,253576,206451,149707,47043,3111,110,2,0,0
1320,253160,206939,149895,46865,3032,106,3,0,0
1330,253256,206984,149615,46931,3080,131,3,0,0
1340,253612,206400,149791,46916,3138,140,3,0,0
1350,253665,206223,149871,47067,3038,134,2,0,0
1360,253631,206208,149904,47168,2969,116,4,0,0
1370,253780,206070,149796,47224,2986,142,2,0,0
1380,253371,206757,149658,47058,3030,123,3,0,0
1390,253299,206706,149937,46946,2979,132,1,0,0
1400,253114,207140,149658,46951,2995,141,1,0,0
1410,253010,207177,149851,46869,2956,132,5,0,0
1420,253471,206604,149732,46990,3059,138,6,0,0
1430,253100,207147,149692,46905,3030,122,4,0,0
1440,253331,206696,149902,46936,2991,136,8,0,0
1450,253465,206537,149817,47022,3041,110,7,1,0
1460,253075,207046,149967,46758,3028,122,4,0,0
1470,252967,207212,149892,46847,2950,129,3,0,0
1480,253035,207118,149918,46802,3003,116,8,0,0
1490,252914,207342,149819,46804,3004,110,7,0,0
1500,253219,206926,149815,46863,3038,131,8,0,0
1510,253414,206701,149699,46985,3064,132,5,0,0
1520,253474,206533,149866,46911,3083,128,5,0,0
1530,253291,206783,149806,47001,2997,118,4,0,0
1540,253130,207172,149553,46987,3034,120,3,1,0
1550,253435,206594,149818,46964,3074,108,7,0,0
1560,253254,206804,149888,46925,3004,121,4,0,0
1570,253815,206045,149813,47106,3100,115,6,0,0
1580,253674,206281,149769,47063,3079,128,6,0,0
1590,253602,206418,149673,47130,3042,132,3,0,0
1600,253394,206702,149693,47082,2985,139,4,1,0
1610,253471,206646,149593,47142,3005,136,7,0,0
1620,253330,206731,149884,46859,3059,134,3,0,0
1630,253560,206455,149735,47071,3035,142,2,0,0
1640,253754,206065,149963,47002,3082,129,5,0,0
1650,253571,206459,149734,47001,3115,110,10,0,0
1660,253388,206693,149720,47072,2988,135,4,0,0
1670,253381,206629,149925,46870,3070,119,6,0,0
1680,253412,206547,149964,46924,3020,126,6,1,0
1690,253285,206858,149695,47038,2992,122,10,0,0
1700,253274,206903,149702,46903,3108,108,2,0,0
1710,253452,206639,149796,46822,3156,131,4,0,0
1720,253276,206807,149896,46816,3076,125,4,0,0
1730,253268,206749,149927,46942,3002,109,3,0,0
1740,253368,206566,150019,46920,3003,120,4,0,0
1750,253454,206517,149924,46907,3078,118,2,0,0
1760,253098,207086,149790,46912,2975,136,3,0,0
1770,253186,206859,150001,46807,3020,125,1,1,0
1780,253551,206331,150017,46915,3044,138,4,0,0
1790,253668,206197,149922,47027,3056,126,4,0,0
1800,253433,206610,149773,47037,3005,139,3,0,0
1810,253493,206531,149848,46863,3146,114,5,0,0
1820,253121,207134,149734,46782,3099,125,4,1,0
1830,253042,207289,149610,46883,3043,128,5,0,0
1840,252987,207339,149766,46655,3107,140,6,0,0
1850,253202,207049,149603,46983,3026,130,7,0,0
1860,253144,207038,149816,46798,3089,110,5,0,0
