iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
0,1545618743828,660000,-1.268435314e+07,0,0,0,0,660000,0,0,0,0
10,1545618757619,426515,-1.277453587e+07,4658,1487,1023,2089,650812,9119,69,0,0
20,1545618772571,419714,-1.283321599e+07,8470,2397,1094,2100,646086,13768,145,1,0
30,1545618785721,416822,-1.288831667e+07,12139,3135,1294,2155,641499,18280,220,1,0
40,1545618798800,414633,-1.292889093e+07,14869,3774,1402,2240,637992,21732,275,1,0
50,1545618810950,413394,-1.295180524e+07,16160,4421,1543,2193,636048,23587,365,0,0
60,1545618823809,412284,-1.297299243e+07,17126,5215,1655,2347,634063,25533,402,2,0
70,1545618836189,411515,-1.298929114e+07,17735,5952,1818,2385,632613,26888,495,4,0
80,1545618848464,411158,-1.299496727e+07,17644,6609,1876,2302,632036,27501,459,4,0
90,1545618859957,410732,-1.300115296e+07,17359,7458,1948,2402,631406,28026,563,5,0
100,1545618876328,410599,-1.300567539e+07,17179,7907,2128,2511,630915,28447,636,2,0
110,1545618888547,410266,-1.300642474e+07,16651,8588,2310,2263,630782,28629,585,3,1
120,1545618900028,410055,-1.300648117e+07,16258,8921,2349,2489,630596,28794,607,3,0
130,1545618912062,410095,-1.300926247e+07,15789,9647,2478,2566,630143,29237,617,3,0
140,1545618923864,409447,-1.301960184e+07,16161,10178,2517,2630,629189,30141,665,5,0
150,1545618935105,409263,-1.302235903e+07,15858,10763,2628,2578,628851,30477,666,6,0
160,1545618947829,409484,-1.301852871e+07,15085,11184,2755,2614,629047,30275,671,7,0
170,1545618960526,409173,-1.302204011e+07,15059,11466,2817,2718,628633,30681,679,7,0
180,1545618972338,409046,-1.302050575e+07,14447,11902,3042,2687,628626,30675,694,5,0
190,1545618984350,409035,-1.301949915e+07,13686,12562,3203,2759,628523,30750,721,6,0
200,1545618997620,409054,-1.301656478e+07,13096,12898,3246,2859,628658,30592,743,7,0
210,1545619010246,408967,-1.301767945e+07,13028,13157,3259,2783,628527,30726,740,7,0
220,1545619022241,408847,-1.301733743e+07,12443,13513,3557,2904,628302,30986,705,7,0
230,1545619035133,408969,-1.301735927e+07,12138,13867,3688,2838,628178,31118,699,5,0
240,1545619047612,408572,-1.301836511e+07,11820,14237,3839,2786,628092,31144,754,10,0
250,1545619059081,408926,-1.301248861e+07,11109,14301,4040,2816,628413,30911,673,3,0
260,1545619070996,408860,-1.301708549e+07,10994,14577,4337,3039,627820,31418,757,5,0
270,1545619083068,408740,-1.301596266e+07,10927,14493,4395,3017,627958,31256,782,4,0
280,1545619095161,408268,-1.302414247e+07,11283,14942,4368,3039,627177,32023,791,9,0
290,1545619107326,407984,-1.302599761e+07,11360,14894,4431,3122,626995,32209,790,6,0
300,1545619121212,408046,-1.302479172e+07,11205,15101,4475,2897,627117,32094,783,6,0
310,1545619134046,408159,-1.302571328e+07,10987,15298,4567,3063,626931,32226,840,3,0
320,1545619146403,408173,-1.302290585e+07,10465,15336,4896,3165,626973,32203,813,11,0
330,1545619159013,408133,-1.302574852e+07,10551,15524,4907,3167,626665,32527,802,6,0
340,1545619171734,408005,-1.302558857e+07,10393,15669,4998,3102,626632,32579,784,5,0
350,1545619184160,407863,-1.302919364e+07,10514,15795,5201,3001,626357,32781,856,6,0
360,1545619196546,407862,-1.302630431e+07,10104,15959,5229,3096,626485,32649,859,7,0
370,1545619208607,407861,-1.302820522e+07,10049,15968,5364,3310,626125,33068,798,9,0
380,1545619221110,407935,-1.302434688e+07,9944,15718,5343,3227,626584,32605,806,5,0
390,1545619233223,407938,-1.302404208e+07,9734,15662,5668,3284,626551,32559,881,9,0
400,1545619261453,407788,-1.302720204e+07,10008,15647,5655,3178,626351,32814,831,4,0
410,1545619273897,408008,-1.302523188e+07,9600,15873,5776,3293,626326,32817,846,11,0
420,1545619286638,407657,-1.302661225e+07,9648,15787,6026,3165,626242,32895,858,5,0
430,1545619298614,407861,-1.302464194e+07,9381,15916,5995,3251,626339,32787,866,8,0
