iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,10732,11529,11411,10669,9971,9537,9971,9462,9966,9947,10732,11482,9936,11399,10795,9933,10421,9626,11013,9582,11005,9513,9711,9414,10419,9718,10452,9632,10423,9438,10418,11146,11117,10338,9941,9621,9587,10756,9436,9405,9719,10724,9942,11393,10497,11144,9471,9471,9922,9585,11494,11382,9985,11081,11048,11431,10011,11081,10727,10348,9720,9940,10841,9439
10,10733,11557,11485,10657,9839,9580,9980,9601,10100,9894,10532,11487,9820,11496,10833,9840,10456,9558,11048,9579,11130,9458,9795,9402,10262,9653,10558,9698,10390,9325,10397,11233,11139,10364,9835,9592,9535,10668,9419,9468,9775,10716,10037,11253,10478,11166,9642,9357,10038,9603,11427,11324,9944,11019,11219,11419,9995,11120,10670,10344,9782,9986,10776,9514
20,10675,11387,11572,10508,10021,9705,9977,9449,10117,9976,10519,11523,9885,11536,10773,9948,10387,9629,10974,9523,11124,9609,9817,9283,10363,9792,10524,9701,10435,9355,10406,11164,11049,10292,9792,9601,9492,10698,9432,9371,9790,10785,9986,11295,10571,11046,9589,9490,9942,9501,11465,11410,9790,11116,11122,11439,9936,11124,10601,10360,9622,10048,10912,9676
30,10703,11526,11479,10663,9917,9675,9851,9599,10047,9930,10696,11531,9973,11457,10844,9995,10409,9617,11095,9556,11110,9521,9719,9330,10376,9676,10341,9713,10497,9288,10349,11250,11094,10305,9854,9597,9548,10705,9394,9402,9682,10690,10118,11304,10491,11141,9489,9426,9900,9678,11477,11242,9919,11105,10954,11524,10122,11169,10611,10182,9734,10134,10742,9534
40,10654,11507,11521,10606,9955,9703,9930,9491,9976,9840,10772,11387,9960,11468,10780,9928,10448,9670,11041,9632,11065,9484,9788,9322,10393,9706,10310,9587,10485,9405,10322,11232,11047,10416,9758,9487,9462,10594,9481,9357,9742,10797,10094,11232,10424,11285,9623,9464,9932,9618,11385,11393,9921,11085,11120,11548,10135,11072,10741,10270,9775,9944,10934,9496
50,10596,11543,11431,10584,10060,9555,9851,9646,10018,9736,10661,11396,9971,11425,10865,9967,10416,9580,11140,9490,11140,9450,9652,9417,10493,9598,10448,9785,10508,9438,10354,11241,11039,10369,9933,9469,9434,10746,9386,9364,9778,10831,10006,11313,10542,11150,9644,9355,9906,9748,11568,11470,9975,11060,11167,11419,10022,11134,10656,10149,9613,10040,10818,9441
60,10677,11435,11459,10626,9939,9726,9954,9574,10064,9856,10660,11478,9805,11459,10886,9932,10426,9688,11030,9554,11045,9471,9671,9309,10385,9796,10519,9620,10507,9458,10514,11226,11174,10324,9745,9553,9549,10529,9336,9280,9857,10712,10083,11324,10508,11049,9571,9374,9951,9650,11444,11383,9962,11180,11149,11477,9900,11075,10773,10286,9619,9953,10888,9593
70,10718,11579,11313,10553,9898,9579,9941,9529,10058,10015,10682,11474,9856,11432,10844,9900,10333,9625,11146,9599,11015,9495,9648,9328,10475,9734,10372,9677,10487,9356,10319,11278,10996,10469,9783,9534,9409,10683,9489,9289,9867,10751,9907,11280,10520,11237,9679,9435,9958,9599,11422,11427,10062,11164,11204,11489,9968,11119,10627,10238,9732,10076,10822,9507
80,10641,11570,11468,10592,9919,9603,10010,9421,10058,9876,10658,11413,9920,11579,10713,9912,10404,9611,11084,9549,11047,9414,9715,9251,10471,9681,10395,9566,10476,9411,10456,11224,11102,10448,9744,9451,9552,10715,9448,9316,9803,10793,9979,11378,10622,11091,9545,9385,9961,9612,11380,11644,9947,11222,11077,11526,10040,11174,10657,10231,9693,10010,10798,9548
90,10616,11455,11391,10600,9933,9634,9942,9503,10075,9777,10630,11412,9984,11397,10755,9932,10261,9677,11074,9594,11234,9524,9793,9399,10519,9668,10543,9728,10367,9277,10440,11292,10994,10451,9702,9534,9409,10690,9496,9380,9906,10748,10092,11257,10566,11262,9638,9498,9999,9504,11389,11320,9941,11165,11046,11495,9831,11185,10630,10307,9743,10045,10817,9534
