iteration,0,1,2,3,4,5,6,7,8,9,10,11
210000,162329,136085,138262,10420,941,83,12,2,0,0,0,0
210010,162360,136012,138320,10395,949,88,9,1,0,0,0,0
210020,162380,135967,138349,10393,950,83,9,3,0,0,0,0
210030,162454,135877,138325,10424,951,89,12,2,0,0,0,0
210040,162463,135864,138314,10442,953,86,10,2,0,0,0,0
210050,162430,135916,138311,10424,956,85,9,3,0,0,0,0
210060,162405,135906,138417,10352,949,92,9,4,0,0,0,0
210070,162363,135988,138363,10375,946,87,8,4,0,0,0,0
210080,162324,136093,138281,10387,947,86,12,4,0,0,0,0
210090,162381,135991,138294,10427,948,80,9,4,0,0,0,0
210100,162388,135980,138331,10372,960,86,13,4,0,0,0,0
210110,162310,136126,138255,10393,947,89,12,2,0,0,0,0
210120,162310,136171,138163,10434,962,79,13,2,0,0,0,0
210130,162313,136129,138232,10417,945,80,16,2,0,0,0,0
210140,162334,136085,138274,10377,965,85,13,1,0,0,0,0
210150,162367,136022,138290,10401,959,78,16,1,0,0,0,0
210160,162349,136092,138206,10437,950,84,13,3,0,0,0,0
210170,162350,136067,138231,10448,944,81,11,2,0,0,0,0
210180,162362,136068,138210,10442,958,79,12,3,0,0,0,0
210190,162365,136041,138258,10410,969,78,11,1,1,0,0,0
210200,162343,136032,138332,10376,962,74,13,2,0,0,0,0
210210,162320,136083,138305,10371,965,75,12,3,0,0,0,0
210220,162414,135904,138368,10406,952,76,10,4,0,0,0,0
210230,162430,135867,138389,10412,942,81,11,2,0,0,0,0
210240,162419,135890,138379,10405,949,78,13,1,0,0,0,0
210250,162359,135996,138352,10395,929,86,16,1,0,0,0,0
210260,162364,135999,138343,10380,950,80,17,1,0,0,0,0
210270,162340,136072,138256,10428,938,88,10,2,0,0,0,0
210280,162320,136156,138162,10447,951,80,17,1,0,0,0,0
210290,162312,136143,138218,10401,960,88,12,0,0,0,0,0
210300,162337,136102,138210,10441,943,89,12,0,0,0,0,0
210310,162346,136086,138220,10439,936,96,10,1,0,0,0,0
210320,162335,136093,138234,10430,940,89,13,0,0,0,0,0
210330,162326,136153,138166,10411,988,77,12,1,0,0,0,0
210340,162291,136134,138286,10378,947,83,14,1,0,0,0,0
210350,162258,136231,138183,10419,950,80,11,2,0,0,0,0
210360,162250,136194,138273,10379,946,80,11,1,0,0,0,0
210370,162296,136108,138316,10385,919,98,11,1,0,0,0,0
210380,162302,136103,138300,10399,934,81,13,1,1,0,0,0
210390,162330,136025,138375,10371,932,88,13,0,0,0,0,0
210400,162386,135979,138293,10440,946,75,15,0,0,0,0,0
210410,162489,135836,138301,10451,957,85,15,0,0,0,0,0
210420,162442,135845,138443,10323,987,78,16,0,0,0,0,0
210430,162391,135937,138387,10372,947,83,15,2,0,0,0,0
210440,162374,135957,138388,10380,930,92,11,1,1,0,0,0
210450,162342,136043,138327,10371,948,87,15,1,0,0,0,0
210460,162345,136026,138335,10392,934,89,10,3,0,0,0,0
210470,162346,136033,138325,10380,953,83,14,0,0,0,0,0
210480,162317,136033,138391,10367,925,88,13,0,0,0,0,0
210490,162371,135974,138376,10360,952,87,13,1,0,0,0,0
