iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1545174813755,448134,-1.540523651e+07,0,0,0,0,0,0,448134,0,0,0,0,0,0
10,1545174835071,444172,-1.567518333e+07,3685,3750,12877,3909,3654,3605,417443,29910,773,8,0,0,0
20,1545174853941,421301,-1.623931618e+07,3168,3554,77273,4525,3895,4059,354935,89973,3177,49,0,0,0
30,1545174871097,373721,-1.703183779e+07,1509,2213,189899,3811,3652,3406,249516,192827,5710,81,0,0,0
40,1545174888377,351658,-1.729460207e+07,1132,1720,231103,3072,3337,3296,210609,231450,6016,58,1,0,0
50,1545174904868,346979,-1.733954701e+07,1046,1615,238045,3121,3397,3239,204042,237789,6235,68,0,0,0
60,1545174921248,345916,-1.735054946e+07,1058,1588,239073,3051,3740,3413,202719,238970,6383,61,1,0,0
70,1545174937302,345549,-1.736009878e+07,1139,1554,239748,3247,3794,3652,201787,239631,6645,71,0,0,0
80,1545174952846,345327,-1.736663464e+07,1184,1591,239950,3225,3985,3932,201326,239820,6917,71,0,0,0
90,1545174968384,345122,-1.737471237e+07,1202,1663,240243,3431,4366,4065,200683,240025,7333,93,0,0,0
100,1545174987260,344928,-1.737652131e+07,1213,1616,239904,3523,4843,4401,200608,239663,7752,111,0,0,0
110,1545175002750,344737,-1.738809836e+07,1267,1653,240560,3443,5128,4621,199660,240377,7997,99,1,0,0
120,1545175018518,344524,-1.738574536e+07,1281,1662,239066,3645,5713,4969,200455,239144,8415,118,2,0,0
130,1545175034034,344303,-1.739759171e+07,1319,1633,240043,3710,5969,5341,199378,239652,8950,153,1,0,0
140,1545175049696,344091,-1.739933694e+07,1302,1647,239576,3861,5992,5716,199435,239454,9096,148,1,0,0
150,1545175065044,343883,-1.740294695e+07,1382,1640,239194,3878,6610,6001,199415,238887,9679,152,1,0,0
160,1545175080732,343650,-1.740562819e+07,1386,1616,238716,3900,6930,6176,199688,238341,9937,163,5,0,0
170,1545175096017,343408,-1.741726267e+07,1446,1563,239605,3910,7343,6619,198207,239533,10230,163,1,0,0
180,1545175111682,343133,-1.742519006e+07,1506,1484,239569,4026,7443,7076,197951,239442,10564,174,3,0,0
190,1545175126775,342893,-1.743402330e+07,1540,1649,239707,4046,8032,7407,197271,239537,11135,190,1,0,0
200,1545175142746,342577,-1.744266540e+07,1545,1572,239777,4049,8980,7758,196605,239637,11636,252,4,0,0
210,1545175158565,342323,-1.744509005e+07,1543,1612,239071,4102,9214,8199,196871,239025,12002,232,4,0,0
220,1545175174870,342050,-1.745565495e+07,1641,1532,239304,4319,9800,8984,195950,239085,12806,289,4,0,0
230,1545175190930,341750,-1.746625840e+07,1658,1477,239101,4248,10375,9323,195817,238761,13250,303,3,0,0
240,1545175207315,341401,-1.747224948e+07,1731,1575,239309,4358,10826,9372,195266,238862,13711,293,2,0,0
250,1545175223389,341133,-1.747751810e+07,1696,1468,239425,4401,11533,9497,194806,238963,14042,319,4,0,0
260,1545175239932,340792,-1.749499672e+07,1646,1586,240401,4433,12183,10383,193054,239868,14877,330,5,0,0
270,1545175255792,340448,-1.750559590e+07,1738,1486,240203,4457,12932,11040,192687,239401,15688,353,5,0,0
280,1545175272150,340108,-1.751439265e+07,1738,1593,239982,4617,13609,11387,191954,239816,15989,368,7,0,0
290,1545175288389,339739,-1.752270188e+07,1663,1647,240300,4862,14134,11717,191397,239612,16670,449,6,0,0
300,1545175305197,339409,-1.752392359e+07,1750,1500,239461,4633,14602,12258,191862,238760,17095,414,3,0,0
310,1545175321306,339058,-1.753880577e+07,1762,1589,239339,5137,15086,12897,191030,238849,17809,441,5,0,0
320,1545175337573,338655,-1.754179722e+07,1803,1532,240002,5024,15779,12892,190295,239172,18148,512,7,0,0
330,1545175353426,338336,-1.755338841e+07,1875,1602,239617,5017,16789,13442,189899,238630,19108,492,5,0,0
340,1545175369609,338018,-1.755523640e+07,1853,1467,239233,4816,17118,13556,190086,238583,18938,524,3,0,0
350,1545175385803,337676,-1.756443324e+07,1833,1536,239695,4597,17290,14705,189076,239024,19474,556,4,0,0
360,1545175402966,337343,-1.757614323e+07,1935,1498,239374,4984,18610,14672,188714,238422,20353,635,10,0,0
370,1545175418871,337007,-1.758660987e+07,1992,1469,240475,4954,18968,14804,187319,239603,20583,623,6,0,0
380,1545175435009,336625,-1.759288257e+07,1985,1499,240176,5208,19918,15336,186846,239146,21460,672,10,0,0
390,1545175451014,336218,-1.760300363e+07,1973,1613,239763,5244,20601,16258,186421,238684,22327,694,8,0,0
400,1545175467776,335828,-1.761325106e+07,1970,1653,239597,5607,21364,16416,185999,238432,22943,751,9,0,0
410,1545175483935,335429,-1.762430373e+07,2026,1604,240308,5427,22172,16635,184696,239480,23194,752,12,0,0
420,1545175500137,335058,-1.763372828e+07,2110,1465,240031,5541,22875,17457,184484,238631,24217,794,8,0,0
430,1545175516208,334659,-1.764077841e+07,2017,1460,239677,5410,23984,18027,184023,238500,24772,825,14,0,0
440,1545175532452,334257,-1.765036487e+07,2023,1598,239477,5572,24858,18372,183636,238087,25435,961,15,0,0
450,1545175548492,333807,-1.766381625e+07,2145,1550,240121,5609,25769,19310,181929,238865,26396,929,15,0,0
460,1545175564650,333349,-1.767455261e+07,2126,1389,239922,5690,26900,19453,181815,238194,27101,1012,12,0,0
470,1545175580637,332960,-1.769130165e+07,2142,1399,240926,5881,27342,19796,180402,239000,27719,1004,9,0,0
480,1545175596825,332523,-1.769286195e+07,2199,1443,240124,6006,27730,20650,180417,238434,28149,1116,18,0,0
490,1545175612868,332130,-1.769623406e+07,2251,1389,239856,5872,28767,20949,180045,238253,28695,1123,18,0,0
500,1545175629660,331622,-1.770625542e+07,2222,1421,239948,5688,29772,21303,179608,237851,29538,1121,16,0,0
510,1545175645386,331229,-1.772254515e+07,2244,1547,240458,5766,30244,21973,178332,238639,29908,1243,12,0,0
520,1545175661652,330768,-1.773622530e+07,2336,1444,240328,5736,31791,22728,177518,238243,31028,1316,29,0,0
530,1545175677580,330365,-1.774350367e+07,2231,1494,240009,6175,32236,23003,177317,237897,31528,1373,19,0,0
540,1545175693809,329953,-1.775195056e+07,2355,1439,240001,6058,33338,23387,176559,237955,32260,1337,23,0,0
550,1545175709684,329514,-1.776042941e+07,2288,1470,240707,6012,33465,24231,175785,238041,32821,1458,29,0,0
560,1545175725755,329089,-1.776967460e+07,2318,1471,240088,6219,34411,24679,175459,237701,33463,1485,26,0,0
570,1545175741826,328647,-1.777976169e+07,2381,1294,240316,6307,35310,25168,174899,237333,34292,1581,29,0,0
580,1545175758350,328195,-1.779327495e+07,2366,1378,240635,6561,36292,25653,173749,237572,35156,1628,28,1,0
590,1545175774089,327796,-1.779431903e+07,2339,1368,240465,6664,36594,25937,173587,237526,35248,1747,26,0,0
600,1545175791016,327382,-1.781014027e+07,2381,1403,240981,6467,37339,26829,172336,237917,36192,1658,30,1,0
610,1545175806997,326971,-1.782029478e+07,2380,1430,241034,6482,37846,27587,172037,237352,36852,1869,24,0,0
620,1545175823207,326543,-1.784550270e+07,2391,1433,242055,6838,39621,28030,169879,238088,38254,1880,33,0,0
630,1545175838970,326079,-1.784203261e+07,2486,1394,241011,6625,39734,28652,170448,237433,38319,1905,29,0,0
640,1545175855077,325705,-1.785371878e+07,2461,1328,241286,6723,40288,29424,169623,237590,38870,2024,27,0,0
650,1545175871011,325291,-1.785786455e+07,2436,1446,240856,6804,41489,29481,169400,237047,39637,2009,41,0,0
660,1545175887081,324835,-1.787621717e+07,2563,1440,241545,6589,42890,29841,168070,237421,40524,2077,42,0,0
670,1545175903077,324454,-1.788097866e+07,2541,1411,240420,6967,43222,30867,168433,236337,41041,2283,40,0,0
