iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
210000,6880,7093,7176,7136,7543,7197,7127,7277,6896,6634,7061,6808,6543,7050,6853,6889,6656,7664,6919,7571,6828,7528,7584,6499,7385,6390,6839,6380,7429,6529,7215,7167,7215,6674,6867,7664,6498,6653,6818,7390,6301,7132,6435,7137,7172,6711,6956,7624,7184,6482,6758,6842,7176,7367,6514,7033,7213,7175,7180,6427,7349,7601,7174,6666
210010,6854,7085,7288,7115,7708,7150,7240,7279,6994,6708,7088,6708,6644,7133,6840,6698,6553,7853,6782,7596,6764,7513,7432,6514,7410,6577,6835,6438,7332,6469,7212,7376,7072,6740,6902,7738,6340,6691,6801,7510,6209,7149,6504,7137,7054,6852,6821,7593,7197,6408,6736,6826,7144,7326,6481,6951,7243,7139,7228,6434,7412,7637,7042,6629
210020,6879,7089,7160,7260,7665,7070,7098,7345,6864,6706,6960,6865,6560,7148,6759,6809,6532,7861,6939,7700,6826,7467,7414,6447,7282,6523,6851,6368,7337,6523,7304,7247,7263,6557,6953,7665,6428,6687,6781,7424,6420,7108,6490,7100,7155,6777,6756,7611,7363,6405,6796,6926,7028,7339,6523,7020,7123,7182,7159,6556,7417,7541,7094,6629
210030,6922,7147,7142,7121,7510,7082,7316,7283,6966,6716,7088,6827,6717,7138,6695,6730,6556,7860,6900,7535,6715,7395,7534,6447,7495,6563,6818,6471,7275,6589,7360,7430,7050,6704,6952,7712,6333,6666,6751,7556,6335,7055,6335,7009,7096,6900,6817,7539,7226,6331,6747,6890,7106,7320,6483,6924,7240,7158,7318,6367,7507,7514,7211,6639
210040,7002,7184,7197,7124,7585,7057,7108,7235,6948,6695,7069,6732,6544,7044,6847,6864,6422,7712,6902,7633,6788,7471,7501,6463,7281,6551,6756,6514,7329,6447,7399,7159,7293,6640,6948,7738,6374,6681,6835,7367,6353,7091,6473,7089,7216,6829,6960,7567,7168,6327,6698,6985,7140,7414,6492,7065,7165,7230,7295,6452,7345,7652,7031,6658
210050,6820,7085,7327,7094,7541,7143,7237,7202,6811,6562,7111,6786,6687,7076,6817,6814,6601,7712,6848,7574,6730,7563,7496,6416,7387,6522,6745,6387,7432,6659,7278,7221,7220,6629,7043,7680,6380,6643,6824,7471,6326,7018,6466,7164,7147,6759,6784,7584,7203,6363,6688,6922,7119,7374,6536,7072,7232,7322,7224,6456,7561,7516,7056,6668
210060,6847,7173,7134,7109,7631,7107,7262,7141,6912,6581,7204,6858,6606,7079,6735,6808,6461,7811,6809,7578,6766,7449,7260,6540,7359,6524,6859,6451,7305,6507,7400,7204,7221,6662,6902,7578,6360,6619,6801,7399,6429,7141,6459,7248,7137,6895,6827,7484,7318,6394,6817,6855,7083,7345,6532,7135,7168,7273,7325,6453,7418,7638,7108,6640
210070,6949,7096,7244,7125,7644,7176,7178,7095,6983,6689,7147,6815,6560,7088,6858,6757,6518,7726,6779,7453,6795,7471,7509,6526,7401,6475,6850,6456,7348,6580,7362,7130,7162,6609,6958,7741,6374,6604,6844,7404,6305,7083,6552,7122,7076,6918,6914,7525,7244,6349,6733,6836,7058,7307,6508,7125,7261,7335,7155,6472,7430,7624,7162,6561
210080,6971,7061,7248,6932,7506,7363,7062,7179,6839,6669,7111,6769,6578,7097,6847,6900,6648,7759,6819,7568,6706,7559,7490,6495,7329,6574,6681,6348,7334,6591,7400,7286,7177,6574,6873,7630,6349,6812,6720,7385,6284,7175,6474,7126,7119,6892,6834,7528,7321,6439,6878,6836,7123,7421,6500,7052,7310,7166,7199,6448,7463,7676,6997,6634
210090,6959,7131,7276,7112,7629,7196,7168,7278,6969,6664,7156,6882,6587,7153,6806,6795,6521,7689,6831,7525,6716,7553,7460,6493,7266,6461,6897,6465,7383,6648,7370,7254,7204,6524,6841,7672,6406,6659,6866,7445,6243,7064,6487,7016,7083,6796,6877,7629,7197,6380,6672,6912,7123,7504,6444,7047,7256,7310,7288,6368,7419,7492,7060,6557
210100,6824,7240,7243,7157,7578,7072,7133,7169,6824,6579,7205,6810,6652,7039,6841,6865,6604,7687,6931,7504,6749,7463,7444,6492,7374,6431,6746,6394,7373,6445,7365,7398,7253,6654,6744,7774,6380,6648,6832,7443,6420,7224,6496,7046,7201,6791,6810,7625,7132,6378,6604,6901,7205,7353,6455,7009,7298,7285,7244,6443,7484,7640,7101,6630
