iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,57077,0,0,0,0,0,0,0,0,0,0,0
10,20717,21126,10012,5002,188,23,9,0,0,0,0,0,0
20,21200,20637,9660,5292,214,57,16,1,0,0,0,0,0
30,21324,20505,9621,5311,216,69,29,2,0,0,0,0,0
40,21390,20409,9651,5288,230,75,31,3,0,0,0,0,0
50,21466,20303,9659,5302,230,79,32,5,1,0,0,0,0
60,21533,20215,9658,5311,235,81,41,2,1,0,0,0,0
70,21594,20116,9678,5327,236,80,43,2,1,0,0,0,0
80,21657,20021,9698,5320,254,82,42,2,1,0,0,0,0
90,21704,19928,9733,5334,255,81,39,2,1,0,0,0,0
100,21766,19840,9732,5353,264,79,39,3,1,0,0,0,0
110,21842,19705,9780,5362,264,78,43,2,1,0,0,0,0
120,21940,19576,9762,5394,277,85,40,2,1,0,0,0,0
130,22013,19454,9801,5385,298,85,38,3,0,0,0,0,0
140,22102,19304,9852,5383,304,93,35,3,1,0,0,0,0
150,22161,19203,9877,5399,305,94,34,3,1,0,0,0,0
160,22253,19063,9881,5440,312,87,39,1,1,0,0,0,0
170,22317,18939,9936,5447,309,89,37,2,1,0,0,0,0
180,22416,18810,9928,5456,336,92,35,3,1,0,0,0,0
190,22515,18627,10008,5448,349,90,37,2,1,0,0,0,0
200,22580,18535,10021,5443,366,93,32,6,1,0,0,0,0
210,22683,18401,9991,5494,377,88,38,4,1,0,0,0,0
220,22764,18241,10078,5473,393,85,38,4,1,0,0,0,0
230,22875,18091,10065,5513,401,90,34,5,3,0,0,0,0
240,22967,17933,10122,5509,410,92,37,5,2,0,0,0,0
250,23052,17813,10127,5522,426,92,37,6,2,0,0,0,0
260,23130,17689,10141,5550,433,88,40,4,2,0,0,0,0
270,23218,17573,10133,5565,453,88,41,3,3,0,0,0,0
280,23349,17384,10141,5600,458,99,40,4,2,0,0,0,0
290,23482,17150,10222,5601,483,92,42,4,1,0,0,0,0
300,23574,17025,10207,5642,486,94,46,2,1,0,0,0,0
310,23651,16902,10257,5603,521,95,44,3,1,0,0,0,0
320,23766,16740,10231,5686,503,106,41,3,1,0,0,0,0
330,23828,16624,10304,5644,525,106,41,3,2,0,0,0,0
340,23943,16462,10293,5675,564,96,41,2,1,0,0,0,0
350,24098,16250,10292,5708,578,103,45,2,1,0,0,0,0
360,24233,16044,10319,5735,590,111,41,3,1,0,0,0,0
370,24321,15890,10386,5731,584,114,45,2,4,0,0,0,0
380,24402,15793,10344,5767,615,108,43,3,2,0,0,0,0
390,24508,15633,10369,5779,630,106,47,3,2,0,0,0,0
400,24640,15461,10371,5779,650,124,49,1,2,0,0,0,0
410,24773,15241,10424,5800,669,116,48,4,2,0,0,0,0
420,24833,15169,10402,5814,690,118,47,2,2,0,0,0,0
430,24907,15016,10488,5802,697,119,43,2,3,0,0,0,0
440,25002,14890,10463,5844,711,122,42,1,2,0,0,0,0
450,25095,14760,10488,5822,744,115,50,0,3,0,0,0,0
460,25181,14669,10417,5895,744,119,48,2,2,0,0,0,0
470,25263,14562,10418,5891,764,131,43,3,2,0,0,0,0
480,25387,14398,10418,5896,794,130,50,3,1,0,0,0,0
490,25421,14328,10462,5885,790,142,45,2,2,0,0,0,0
500,25505,14237,10404,5941,801,136,48,3,2,0,0,0,0
510,25597,14074,10484,5903,834,129,49,5,2,0,0,0,0
520,25715,13917,10464,5943,843,146,43,5,1,0,0,0,0
530,25802,13831,10413,5974,853,149,45,9,1,0,0,0,0
540,25812,13757,10512,5945,853,148,42,7,1,0,0,0,0
550,25926,13607,10498,5971,874,150,44,5,2,0,0,0,0
560,26018,13485,10492,5988,894,145,45,7,3,0,0,0,0
570,26093,13372,10477,6061,870,149,44,9,2,0,0,0,0
580,26210,13255,10417,6072,905,167,43,5,3,0,0,0,0
590,26303,13092,10490,6038,939,165,43,4,3,0,0,0,0
600,26379,12975,10503,6052,960,155,48,3,2,0,0,0,0
610,26454,12875,10518,6021,1001,158,43,5,2,0,0,0,0
620,26514,12791,10489,6097,975,161,40,8,2,0,0,0,0
630,26570,12731,10481,6086,978,181,43,6,0,1,0,0,0
640,26620,12652,10480,6104,1010,162,42,5,2,0,0,0,0
650,26708,12552,10446,6117,1044,163,39,7,1,0,0,0,0
660,26778,12439,10463,6147,1045,153,42,7,2,1,0,0,0
670,26893,12318,10429,6151,1050,180,47,7,1,1,0,0,0
680,26938,12259,10424,6144,1091,163,48,9,1,0,0,0,0
690,27034,12132,10417,6170,1091,176,46,7,4,0,0,0,0
700,27070,12085,10406,6196,1081,177,53,7,2,0,0,0,0
710,27127,11994,10445,6151,1123,182,49,4,2,0,0,0,0
720,27261,11829,10388,6233,1124,185,51,4,1,0,1,0,0
730,27312,11744,10411,6238,1131,183,49,8,1,0,0,0,0
740,27389,11660,10431,6167,1167,202,53,7,0,1,0,0,0
750,27440,11595,10382,6248,1156,200,44,10,2,0,0,0,0
760,27525,11499,10334,6291,1176,195,43,12,2,0,0,0,0
770,27566,11427,10319,6365,1149,196,46,7,2,0,0,0,0
780,27671,11294,10330,6321,1210,199,41,9,2,0,0,0,0
790,27691,11265,10336,6335,1189,203,46,8,4,0,0,0,0
800,27788,11134,10287,6428,1195,183,46,14,2,0,0,0,0
810,27832,11103,10302,6344,1224,210,46,13,2,1,0,0,0
820,27840,11085,10296,6396,1183,203,57,14,2,1,0,0,0
830,27915,11035,10238,6360,1261,193,53,17,5,0,0,0,0
840,27960,10923,10323,6338,1268,190,57,15,2,1,0,0,0
850,28004,10873,10280,6393,1264,187,61,12,3,0,0,0,0
860,28016,10822,10402,6293,1245,224,56,16,3,0,0,0,0
870,28094,10785,10247,6400,1256,218,59,15,2,1,0,0,0
880,28126,10747,10246,6385,1274,227,55,14,3,0,0,0,0
890,28155,10696,10244,6402,1301,211,50,16,2,0,0,0,0
900,28216,10601,10229,6458,1306,202,48,14,3,0,0,0,0
910,28314,10473,10267,6423,1299,225,57,16,1,2,0,0,0
920,28331,10473,10230,6408,1351,203,68,11,2,0,0,0,0
930,28392,10391,10240,6418,1333,213,78,9,3,0,0,0,0
940,28433,10299,10292,6424,1313,238,67,10,1,0,0,0,0
950,28469,10252,10307,6406,1328,230,69,12,3,1,0,0,0
