iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1545051218232,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1545051220441,36360,-9.291289521e+05,254,47,21,19,34,19,56683,394,0,0,0,0,0
20,1545051222198,35877,-9.301559104e+05,301,92,38,39,54,27,56527,549,1,0,0,0,0
30,1545051223692,35753,-9.312285362e+05,316,101,63,56,73,47,56425,648,4,0,0,0,0
40,1545051225783,35687,-9.323350588e+05,358,124,83,67,79,48,56324,747,6,0,0,0,0
50,1545051227788,35611,-9.326967876e+05,379,136,91,74,72,57,56274,797,6,0,0,0,0
60,1545051229507,35544,-9.334374810e+05,424,161,109,92,71,71,56153,920,4,0,0,0,0
70,1545051230950,35483,-9.342206479e+05,447,184,127,117,73,68,56072,994,11,0,0,0,0
80,1545051232528,35420,-9.349877821e+05,507,221,135,134,74,67,55952,1112,13,0,0,0,0
90,1545051234000,35373,-9.360927620e+05,642,252,144,140,92,67,55762,1293,22,0,0,0,0
100,1545051236871,35311,-9.368463549e+05,653,271,157,171,115,61,55669,1388,20,0,0,0,0
110,1545051238772,35235,-9.378484168e+05,711,308,179,175,99,68,55561,1492,24,0,0,0,0
120,1545051240430,35137,-9.384789817e+05,699,363,197,196,111,77,55460,1591,26,0,0,0,0
130,1545051242594,35064,-9.396540633e+05,788,404,229,208,104,74,55303,1741,33,0,0,0,0
140,1545051244129,34975,-9.405699165e+05,812,438,261,240,103,82,55174,1871,31,1,0,0,0
150,1545051245675,34916,-9.410543967e+05,766,456,285,246,101,99,55157,1887,33,0,0,0,0
160,1545051247325,34824,-9.421672567e+05,868,495,310,273,97,93,54975,2068,34,0,0,0,0
170,1545051248763,34760,-9.429768164e+05,852,561,335,286,92,82,54911,2124,42,0,0,0,0
180,1545051250508,34661,-9.442571387e+05,924,609,357,316,96,83,54729,2311,37,0,0,0,0
190,1545051251894,34562,-9.445242684e+05,945,625,386,345,78,73,54669,2364,44,0,0,0,0
200,1545051254136,34497,-9.451728747e+05,949,687,420,365,75,61,54565,2467,45,0,0,0,0
210,1545051255573,34394,-9.457122164e+05,984,737,422,386,64,67,54466,2562,49,0,0,0,0
220,1545051257268,34313,-9.471900564e+05,1067,821,446,401,83,73,54252,2759,66,0,0,0,0
230,1545051258694,34202,-9.479362474e+05,1107,868,468,422,65,79,54144,2857,76,0,0,0,0
240,1545051260226,34110,-9.487104893e+05,1077,934,482,433,71,91,54070,2927,79,1,0,0,0
250,1545051261644,34025,-9.494565999e+05,1035,1015,508,463,71,88,53974,3027,75,1,0,0,0
260,1545051263316,33947,-9.506690359e+05,1120,1084,547,500,73,79,53753,3246,77,1,0,0,0
270,1545051264598,33859,-9.519348929e+05,1178,1163,588,519,82,88,53564,3410,101,2,0,0,0
280,1545051266169,33728,-9.539495887e+05,1179,1273,635,549,75,110,53367,3599,111,0,0,0,0
290,1545051267447,33595,-9.546725602e+05,1151,1338,667,573,93,111,53258,3706,112,1,0,0,0
300,1545051269314,33503,-9.558760667e+05,1270,1405,696,588,88,93,53058,3899,119,1,0,0,0
310,1545051270740,33426,-9.561674725e+05,1154,1510,731,608,87,95,53018,3933,126,0,0,0,0
320,1545051272235,33311,-9.572803846e+05,1176,1595,753,644,92,98,52855,4088,132,2,0,0,0
330,1545051273839,33249,-9.579045435e+05,1116,1670,821,657,90,101,52770,4162,142,3,0,0,0
340,1545051275427,33134,-9.592056161e+05,1115,1776,852,683,107,90,52621,4294,157,5,0,0,0
350,1545051276993,32979,-9.605669368e+05,1146,1854,896,712,95,90,52453,4457,165,2,0,0,0
360,1545051278405,32844,-9.613596132e+05,1127,1947,945,743,85,86,52323,4578,173,3,0,0,0
370,1545051279838,32756,-9.617342554e+05,1112,2002,999,758,79,90,52236,4644,195,2,0,0,0
380,1545051281302,32675,-9.631415582e+05,1112,2054,1039,779,95,107,52099,4770,208,0,0,0,0
390,1545051282697,32569,-9.648241234e+05,1270,2139,1085,815,73,105,51833,5007,231,6,0,0,0
400,1545051284648,32437,-9.652516176e+05,1147,2178,1132,843,92,110,51809,5036,230,2,0,0,0
410,1545051285953,32304,-9.663428654e+05,1106,2318,1169,861,96,119,51632,5223,220,2,0,0,0
420,1545051287492,32244,-9.674652932e+05,1207,2405,1220,902,91,110,51394,5435,244,4,0,0,0
430,1545051288957,32170,-9.682820932e+05,1189,2419,1279,924,90,120,51329,5478,267,3,0,0,0
440,1545051290383,32075,-9.683097699e+05,1122,2441,1323,946,73,106,51353,5442,277,5,0,0,0
450,1545051291946,31982,-9.693295275e+05,1147,2506,1351,985,78,109,51186,5613,272,5,1,0,0
460,1545051293465,31896,-9.706068319e+05,1218,2554,1397,996,77,107,51038,5733,302,4,0,0,0
470,1545051294856,31814,-9.711208883e+05,1128,2689,1447,1012,74,103,50943,5820,309,5,0,0,0
480,1545051296370,31690,-9.722161264e+05,1216,2703,1482,1034,90,99,50794,5950,325,8,0,0,0
490,1545051297838,31656,-9.720750471e+05,1124,2797,1494,1042,79,103,50763,5991,321,2,0,0,0
500,1545051299449,31572,-9.730463368e+05,1083,2848,1562,1082,86,103,50645,6104,324,4,0,0,0
510,1545051301044,31480,-9.743732996e+05,1156,2930,1619,1111,80,99,50454,6254,366,3,0,0,0
520,1545051302646,31362,-9.754567122e+05,1169,3045,1675,1125,68,91,50283,6423,363,8,0,0,0
530,1545051304034,31275,-9.757041095e+05,1045,3098,1717,1163,71,94,50281,6412,376,8,0,0,0
540,1545051305574,31265,-9.766852710e+05,1074,3137,1732,1182,73,101,50192,6474,408,3,0,0,0
550,1545051306975,31151,-9.777067891e+05,1093,3241,1785,1204,79,104,50054,6550,464,8,1,0,0
560,1545051308434,31059,-9.778518119e+05,1081,3223,1863,1217,71,87,49962,6698,407,10,0,0,0
570,1545051309838,30984,-9.785144017e+05,1100,3233,1933,1252,63,97,49851,6781,438,7,0,0,0
580,1545051311449,30867,-9.795763973e+05,1092,3285,1974,1279,75,99,49742,6877,447,11,0,0,0
590,1545051313044,30774,-9.806355490e+05,1088,3318,2020,1307,81,96,49627,7005,430,15,0,0,0
600,1545051314648,30698,-9.810806822e+05,1115,3380,2100,1335,73,96,49479,7107,481,10,0,0,0
610,1545051316118,30623,-9.820458316e+05,1069,3438,2150,1374,84,92,49386,7182,502,7,0,0,0
620,1545051317596,30563,-9.820573978e+05,1065,3413,2207,1373,74,86,49391,7171,498,17,0,0,0
630,1545051318931,30507,-9.833286821e+05,1140,3474,2225,1410,76,78,49218,7330,514,15,0,0,0
640,1545051320511,30457,-9.834269126e+05,1069,3491,2302,1415,79,81,49148,7432,486,11,0,0,0
650,1545051321805,30369,-9.851821408e+05,1088,3563,2335,1467,88,86,49014,7514,534,15,0,0,0
660,1545051323358,30299,-9.849792006e+05,1028,3567,2396,1516,75,102,48988,7509,565,15,0,0,0
670,1545051324666,30184,-9.861631287e+05,1098,3560,2447,1556,72,92,48870,7606,584,17,0,0,0
680,1545051326257,30139,-9.867746338e+05,1103,3590,2496,1590,80,84,48780,7674,600,23,0,0,0
690,1545051327560,30043,-9.877682394e+05,1127,3609,2562,1621,84,95,48652,7773,631,21,0,0,0
700,1545051329174,30007,-9.884972810e+05,1119,3618,2625,1651,64,98,48573,7847,643,14,0,0,0
710,1545051330564,29950,-9.891259670e+05,1067,3658,2698,1721,66,94,48461,7953,639,23,1,0,0
720,1545051331998,29816,-9.905508953e+05,1100,3733,2778,1775,88,80,48277,8058,730,12,0,0,0
730,1545051333547,29765,-9.912989892e+05,1163,3697,2809,1818,82,93,48194,8129,729,25,0,0,0
740,1545051335026,29688,-9.913770885e+05,1114,3705,2863,1852,74,86,48169,8139,752,17,0,0,0
750,1545051336460,29637,-9.923249002e+05,1060,3819,2914,1860,72,89,48066,8228,763,20,0,0,0
760,1545051338041,29552,-9.933471008e+05,1090,3849,2977,1885,80,82,47935,8343,778,20,1,0,0
770,1545051339365,29511,-9.935811170e+05,1144,3860,3012,1915,78,85,47819,8442,796,20,0,0,0
780,1545051340924,29406,-9.942446324e+05,1093,3846,3057,1971,75,88,47800,8452,797,28,0,0,0
790,1545051342342,29386,-9.942688902e+05,1049,3867,3071,1971,69,82,47803,8458,798,17,1,0,0
800,1545051344340,29289,-9.946562280e+05,1079,3916,3093,2003,63,83,47711,8523,815,28,0,0,0
810,1545051345740,29245,-9.955297732e+05,1146,3897,3155,2029,78,80,47573,8646,835,23,0,0,0
820,1545051347506,29237,-9.960637600e+05,1096,3909,3204,2075,76,74,47533,8678,843,22,1,0,0
830,1545051349023,29162,-9.962329548e+05,1179,3852,3203,2077,79,76,47471,8776,800,30,0,0,0
840,1545051350485,29117,-9.958590735e+05,1096,3803,3226,2125,67,78,47495,8788,775,19,0,0,0
850,1545051351960,29073,-9.967949280e+05,1141,3800,3263,2159,79,70,47420,8834,791,32,0,0,0
860,1545051353498,29061,-9.969558593e+05,1142,3824,3302,2178,64,67,47366,8862,832,17,0,0,0
870,1545051354987,28983,-9.977701848e+05,1214,3846,3329,2231,63,68,47214,9000,839,23,1,0,0
880,1545051356469,28951,-9.979508639e+05,1157,3813,3364,2265,64,72,47241,8963,847,26,0,0,0
890,1545051357825,28922,-9.977266972e+05,1026,3888,3382,2289,67,61,47251,8966,833,27,0,0,0
900,1545051359660,28861,-9.988097336e+05,1116,3961,3401,2312,70,56,47074,9121,851,31,0,0,0
910,1545051361029,28763,-9.988695905e+05,1118,3869,3451,2319,69,69,47072,9139,842,24,0,0,0
920,1545051362550,28746,-9.996329199e+05,1093,3920,3482,2340,70,68,47003,9192,865,17,0,0,0
930,1545051363898,28685,-1.000637393e+06,1165,3885,3553,2370,67,71,46917,9242,885,33,0,0,0
940,1545051365600,28644,-1.000563215e+06,1109,3893,3592,2398,67,60,46903,9255,894,24,1,0,0
950,1545051367096,28608,-1.000810167e+06,1149,3893,3638,2400,72,63,46837,9301,905,32,2,0,0
960,1545051368511,28591,-1.001282698e+06,1165,3918,3643,2451,56,65,46813,9256,982,26,0,0,0
970,1545051369934,28585,-1.001578490e+06,1166,3867,3670,2508,69,56,46756,9333,961,27,0,0,0
980,1545051371729,28537,-1.001922309e+06,1157,3902,3668,2507,80,70,46722,9356,970,28,1,0,0
990,1545051373135,28506,-1.002381718e+06,1159,3933,3688,2536,71,73,46674,9376,997,30,0,0,0
1000,1545051374762,28462,-1.002872292e+06,1134,3943,3734,2581,85,63,46583,9488,966,40,0,0,0
1010,1545051376515,28481,-1.002534365e+06,1166,3871,3746,2591,84,59,46589,9493,961,34,0,0,0
1020,1545051378054,28429,-1.002418144e+06,1135,3857,3755,2638,71,58,46577,9519,950,29,2,0,0
1030,1545051379404,28404,-1.002634961e+06,1119,3853,3804,2628,71,54,46593,9462,999,23,0,0,0
1040,1545051380929,28394,-1.003620770e+06,1134,3857,3813,2672,90,67,46485,9581,981,30,0,0,0
1050,1545051382453,28371,-1.003284585e+06,1057,3856,3860,2654,87,65,46534,9542,966,35,0,0,0
1060,1545051383868,28347,-1.004131401e+06,1086,3914,3907,2667,87,79,46405,9633,1011,27,1,0,0
1070,1545051385199,28288,-1.004412811e+06,1082,3897,3955,2689,77,65,46379,9666,998,33,1,0,0
1080,1545051387069,28292,-1.004071270e+06,1083,3899,3993,2692,73,63,46341,9705,995,36,0,0,0
1090,1545051388607,28290,-1.004046013e+06,1100,3879,3961,2703,74,62,46373,9666,1001,37,0,0,0
1100,1545051390311,28254,-1.004231081e+06,1011,3856,4029,2736,80,56,46354,9714,973,36,0,0,0
1110,1545051391681,28198,-1.004175580e+06,1045,3825,4023,2746,67,65,46346,9722,978,31,0,0,0
1120,1545051393462,28207,-1.005141186e+06,1101,3892,4001,2779,78,65,46255,9761,1029,31,1,0,0
1130,1545051394912,28208,-1.004996834e+06,1044,3887,3990,2806,74,70,46295,9729,1017,36,0,0,0
1140,1545051396418,28202,-1.004969453e+06,1064,3810,4014,2841,83,66,46274,9756,1019,28,0,0,0
1150,1545051397960,28149,-1.005278507e+06,1104,3807,4063,2834,65,63,46218,9811,1019,29,0,0,0
1160,1545051399454,28112,-1.005663655e+06,1110,3825,4079,2865,75,65,46173,9824,1045,35,0,0,0
1170,1545051400840,28097,-1.005881368e+06,1099,3757,4095,2915,75,81,46139,9898,996,44,0,0,0
1180,1545051402299,28083,-1.005670526e+06,1089,3728,4131,2906,62,83,46179,9836,1023,39,0,0,0
1190,1545051403998,28119,-1.006040546e+06,1108,3731,4162,2917,72,85,46134,9842,1070,31,0,0,0
1200,1545051405592,28083,-1.006504398e+06,1107,3714,4183,2964,71,86,46124,9811,1112,30,0,0,0
1210,1545051406980,28109,-1.006048287e+06,999,3755,4197,2963,61,77,46178,9789,1067,43,0,0,0
1220,1545051408933,28112,-1.005865884e+06,1005,3721,4185,2955,57,74,46200,9801,1033,42,1,0,0
1230,1545051410335,28003,-1.006878761e+06,1030,3751,4245,2993,64,79,46097,9832,1114,34,0,0,0
1240,1545051411813,27986,-1.006319309e+06,1022,3707,4219,3010,61,83,46097,9894,1050,36,0,0,0
1250,1545051413150,28017,-1.007145749e+06,1031,3678,4240,3042,66,84,46074,9898,1072,33,0,0,0
1260,1545051415046,28005,-1.006727609e+06,1039,3687,4230,3061,65,77,46028,9973,1042,34,0,0,0
1270,1545051416420,27931,-1.007056503e+06,1026,3654,4259,3050,71,73,46087,9891,1055,44,0,0,0
1280,1545051417986,27957,-1.007083034e+06,1042,3660,4291,3099,64,75,46017,9927,1097,34,2,0,0
1290,1545051419911,27965,-1.007571362e+06,1062,3663,4308,3092,67,80,46005,9918,1109,44,1,0,0
1300,1545051421577,27965,-1.008428449e+06,1165,3664,4340,3102,64,80,45872,10037,1128,38,2,0,0
1310,1545051422966,27877,-1.008192205e+06,1158,3676,4346,3148,70,68,45786,10154,1099,38,0,0,0
1320,1545051424422,27852,-1.009016679e+06,1144,3667,4381,3165,82,75,45749,10179,1113,35,1,0,0
1330,1545051425956,27857,-1.008120825e+06,1089,3625,4360,3209,73,81,45835,10083,1124,34,1,0,0
1340,1545051427390,27834,-1.008506547e+06,1125,3574,4413,3183,79,92,45754,10213,1077,33,0,0,0
1350,1545051428775,27851,-1.008276392e+06,1015,3552,4422,3210,79,88,45841,10131,1081,23,1,0,0
1360,1545051430469,27843,-1.007632337e+06,1028,3530,4426,3171,64,92,45927,10023,1093,34,0,0,0
1370,1545051431807,27859,-1.008030338e+06,979,3564,4440,3194,69,88,45884,10087,1071,35,0,0,0
1380,1545051433253,27827,-1.008318375e+06,1015,3550,4456,3236,69,73,45847,10099,1093,38,0,0,0
1390,1545051434569,27816,-1.008372452e+06,1045,3528,4398,3269,67,74,45879,10066,1081,51,0,0,0
1400,1545051436381,27782,-1.008020431e+06,998,3516,4431,3286,67,66,45856,10109,1081,31,0,0,0
1410,1545051437794,27787,-1.008892885e+06,958,3532,4438,3301,73,80,45820,10155,1079,23,0,0,0
1420,1545051439252,27700,-1.009218801e+06,985,3572,4472,3338,68,73,45765,10163,1104,43,2,0,0
1430,1545051440722,27748,-1.008841078e+06,976,3549,4515,3336,67,67,45726,10233,1078,39,1,0,0
1440,1545051442128,27631,-1.009369008e+06,963,3593,4487,3350,65,61,45728,10217,1095,36,1,0,0
