iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4236,3658,3611,4289,2982,3399,3440,2994,3421,3011,4215,3635,2998,4204,3583,3401
10,3975,3394,3299,3901,3240,3715,3746,3199,3773,3304,3960,3339,3313,3928,3277,3714
20,3877,3328,3356,3922,3210,3738,3702,3209,3835,3282,3977,3373,3310,3939,3257,3762
30,3842,3350,3338,3950,3188,3734,3809,3246,3793,3305,3928,3347,3291,3920,3305,3731
40,3853,3354,3319,3857,3221,3714,3744,3210,3803,3325,3961,3361,3307,3858,3409,3781
50,3780,3281,3354,3831,3233,3762,3792,3265,3810,3246,4005,3331,3274,3962,3337,3814
60,3783,3397,3314,3950,3227,3772,3720,3186,3800,3299,3997,3390,3302,3865,3314,3761
70,3921,3350,3322,3870,3194,3698,3745,3237,3808,3259,3997,3386,3225,3903,3385,3777
80,3876,3409,3307,3854,3264,3760,3712,3245,3822,3271,3970,3412,3299,3883,3287,3706
90,3814,3365,3333,3935,3260,3774,3705,3184,3757,3275,4034,3332,3310,3917,3353,3729
100,3863,3432,3311,3914,3243,3763,3683,3175,3799,3334,3998,3389,3296,3851,3316,3710
110,3829,3400,3416,3852,3248,3758,3685,3244,3814,3281,4069,3314,3246,3821,3318,3782
120,3858,3415,3327,3936,3225,3767,3692,3204,3816,3257,3949,3405,3268,3907,3344,3707
130,3871,3425,3369,3892,3217,3729,3700,3192,3811,3286,4026,3332,3235,3855,3374,3763
140,3790,3341,3417,3910,3216,3790,3711,3233,3780,3247,4066,3374,3270,3888,3326,3718
150,3854,3392,3440,3835,3184,3722,3709,3214,3821,3337,3950,3418,3319,3913,3277,3692
160,3866,3326,3360,3938,3186,3698,3710,3264,3798,3264,3970,3396,3315,3909,3318,3759
170,3854,3432,3339,3909,3126,3750,3724,3241,3796,3277,4021,3381,3312,3915,3316,3684
180,3865,3346,3323,3948,3260,3745,3695,3144,3786,3296,4093,3407,3221,3881,3342,3725
190,3890,3375,3386,3902,3259,3761,3712,3190,3749,3233,4013,3346,3295,3948,3284,3734
200,3832,3424,3349,3976,3225,3678,3734,3216,3704,3268,4031,3385,3281,3869,3327,3778
210,3933,3428,3392,3925,3209,3697,3720,3223,3820,3307,4003,3292,3286,3889,3233,3720
220,3915,3397,3293,3904,3220,3772,3699,3241,3740,3286,3996,3364,3284,3934,3356,3676
230,3875,3347,3424,3962,3214,3719,3703,3210,3818,3285,4015,3333,3248,3954,3323,3647
240,3936,3352,3419,3941,3237,3714,3696,3284,3666,3214,4015,3374,3256,3935,3332,3706
250,3791,3474,3379,3874,3250,3693,3662,3219,3811,3251,4065,3381,3236,3944,3291,3756
260,3873,3409,3331,3984,3150,3727,3677,3198,3756,3217,4032,3463,3279,3940,3356,3685
270,3873,3468,3361,3908,3202,3716,3714,3283,3717,3279,4032,3377,3275,3943,3249,3680
280,3852,3405,3428,3931,3194,3713,3722,3270,3744,3278,4049,3376,3287,3928,3293,3607
290,3873,3391,3419,3942,3206,3725,3741,3246,3776,3230,3954,3447,3245,3830,3384,3668
300,3905,3428,3370,3901,3145,3697,3656,3253,3743,3222,4111,3405,3236,3930,3325,3750
310,3873,3430,3416,4018,3162,3747,3674,3200,3782,3177,3996,3427,3190,3976,3268,3741
320,3831,3457,3454,4032,3191,3670,3719,3264,3805,3208,4021,3357,3222,3921,3288,3637
330,3890,3472,3400,3918,3164,3740,3634,3257,3769,3265,4015,3383,3202,3984,3315,3669
340,3868,3429,3411,3989,3115,3714,3636,3288,3732,3203,4116,3363,3242,3919,3365,3687
350,3854,3429,3451,3971,3203,3719,3640,3240,3758,3197,4012,3437,3195,3980,3321,3670
360,3848,3474,3473,3912,3247,3719,3667,3213,3630,3195,4075,3408,3205,3921,3439,3651
370,3860,3501,3494,3963,3104,3656,3700,3155,3724,3193,4042,3395,3242,3963,3400,3685
380,3907,3418,3403,3961,3066,3729,3600,3279,3739,3274,4021,3420,3289,3934,3357,3680
390,3909,3490,3366,3954,3202,3659,3663,3196,3721,3274,4087,3393,3199,3903,3347,3714
400,3899,3455,3449,3999,3189,3639,3739,3245,3727,3239,4019,3349,3191,3922,3382,3634
410,3963,3435,3382,3966,3184,3644,3703,3190,3708,3208,3987,3433,3186,3999,3406,3683
420,3928,3476,3346,3961,3126,3695,3677,3228,3795,3182,4102,3339,3242,3912,3429,3639
430,3908,3458,3425,3910,3154,3748,3608,3226,3692,3199,4105,3423,3269,3924,3386,3642
440,3929,3468,3378,3888,3140,3738,3611,3247,3642,3236,4105,3481,3293,3824,3483,3614
450,3940,3512,3381,3941,3156,3670,3615,3198,3752,3185,4008,3425,3293,3897,3363,3741
460,3975,3381,3357,4026,3133,3704,3645,3242,3695,3235,4051,3380,3193,3955,3445,3660
470,3987,3496,3420,3906,3180,3686,3697,3168,3697,3239,4041,3476,3205,3955,3330,3594
480,3916,3530,3402,3894,3132,3686,3690,3197,3648,3197,4078,3449,3247,3936,3401,3674
490,3910,3500,3463,3936,3168,3737,3606,3195,3748,3214,4077,3418,3144,3978,3393,3590
500,3991,3444,3421,3904,3148,3608,3647,3238,3776,3238,4065,3435,3186,3904,3426,3646
510,3841,3402,3432,3949,3175,3647,3634,3169,3762,3245,4034,3496,3198,4003,3395,3695
520,3832,3432,3376,3939,3168,3648,3654,3278,3723,3233,4030,3474,3253,3931,3460,3646
530,3933,3440,3413,3928,3179,3639,3615,3275,3740,3211,4121,3491,3163,3908,3365,3656
540,3939,3490,3363,3964,3194,3655,3640,3197,3716,3191,4046,3445,3246,3983,3367,3641
550,3952,3441,3408,3926,3175,3649,3693,3199,3712,3226,4023,3459,3214,3899,3376,3725
560,3933,3569,3370,3933,3217,3657,3653,3193,3628,3142,4106,3464,3143,3943,3420,3706
570,3896,3486,3427,3989,3145,3699,3664,3185,3659,3204,4104,3465,3158,3937,3399,3660
580,3846,3488,3441,3912,3133,3681,3645,3223,3691,3220,4070,3466,3233,3963,3404,3661
590,3933,3523,3417,3886,3208,3654,3664,3186,3730,3171,4044,3399,3274,4028,3313,3647
600,3926,3495,3414,3954,3135,3679,3581,3238,3706,3225,4058,3452,3246,3985,3373,3610
610,3947,3454,3441,3959,3160,3667,3647,3189,3701,3232,4062,3408,3155,3985,3386,3684
620,3927,3507,3355,3990,3090,3665,3635,3155,3640,3160,4206,3494,3226,3966,3418,3643
630,3967,3511,3403,4023,3243,3703,3600,3184,3675,3158,4042,3441,3197,3923,3400,3607
640,3936,3530,3380,3920,3177,3616,3694,3170,3750,3242,4015,3489,3093,4039,3389,3637
650,3977,3478,3444,3916,3199,3602,3678,3188,3680,3121,4129,3393,3240,3970,3416,3646
660,3935,3517,3415,4037,3129,3610,3582,3237,3629,3167,4121,3467,3191,3998,3354,3688
670,3912,3470,3424,3958,3155,3684,3603,3126,3720,3203,4059,3458,3183,4036,3436,3650
680,3883,3549,3456,3948,3124,3628,3598,3294,3687,3291,4099,3456,3115,3939,3396,3614
690,3897,3529,3347,3971,3141,3670,3628,3240,3656,3227,4106,3499,3136,4024,3370,3636
700,3907,3410,3411,3989,3219,3731,3617,3191,3622,3204,4109,3472,3243,3927,3404,3621
710,3942,3555,3341,4008,3150,3635,3622,3186,3687,3218,4075,3454,3218,3965,3408,3613
720,3925,3444,3450,4020,3159,3710,3640,3129,3631,3206,4117,3443,3228,3974,3384,3617
730,3892,3400,3469,3941,3170,3688,3704,3267,3732,3184,4047,3382,3228,3979,3372,3622
740,3987,3442,3467,4001,3168,3648,3598,3155,3642,3312,4063,3455,3204,3901,3390,3644
750,4011,3461,3500,3973,3113,3654,3634,3194,3664,3213,4033,3463,3231,3871,3433,3629
760,3885,3522,3437,4046,3191,3591,3676,3203,3647,3149,4056,3491,3191,3887,3426,3679
770,3975,3500,3450,4044,3162,3639,3640,3189,3690,3160,4042,3404,3204,3945,3374,3659
780,3966,3479,3468,4013,3221,3626,3718,3219,3680,3188,4078,3398,3183,3899,3383,3558
790,3948,3524,3458,3967,3064,3693,3723,3224,3637,3137,4114,3494,3182,3938,3393,3581
800,4014,3497,3372,4018,3093,3676,3630,3167,3640,3207,4142,3457,3170,3976,3389,3629
810,3927,3501,3402,4052,3145,3640,3642,3242,3642,3140,4127,3409,3196,3927,3466,3619
820,3905,3603,3371,4001,3147,3720,3680,3180,3674,3149,4146,3403,3209,3947,3368,3574
830,3948,3519,3491,3969,3123,3660,3672,3171,3597,3156,4135,3442,3202,3931,3433,3628
840,3976,3468,3408,3931,3148,3630,3654,3084,3696,3161,4142,3559,3235,3907,3464,3614
850,3964,3503,3456,4066,3152,3648,3566,3173,3675,3208,4083,3439,3169,4089,3302,3584
860,3986,3444,3458,4087,3185,3551,3645,3205,3651,3181,4078,3511,3128,3949,3433,3585
870,3961,3450,3471,4007,3131,3628,3588,3174,3672,3217,4093,3477,3143,3999,3388,3678
880,3934,3488,3402,3989,3125,3658,3619,3243,3738,3173,4151,3421,3102,3975,3407,3652
890,3990,3399,3411,3931,3219,3603,3574,3214,3719,3194,4135,3484,3199,3964,3356,3685
900,3940,3420,3411,4038,3064,3621,3588,3282,3731,3170,4117,3453,3214,3987,3354,3687
910,4017,3448,3376,4064,3111,3642,3599,3157,3609,3257,4056,3497,3215,3968,3423,3638
920,3975,3518,3420,3992,3131,3654,3645,3182,3652,3159,4115,3509,3189,3907,3370,3659
930,3977,3488,3432,4104,3143,3592,3574,3245,3671,3178,4098,3482,3106,3896,3422,3669
940,3969,3438,3472,4030,3126,3666,3647,3200,3658,3116,4099,3526,3177,3927,3379,3647
950,3969,3488,3458,3968,3112,3646,3658,3212,3742,3219,3985,3456,3125,3958,3465,3616
960,4021,3487,3347,3996,3138,3681,3610,3177,3621,3138,4085,3482,3170,3989,3516,3619
970,3933,3458,3392,4056,3132,3590,3594,3143,3723,3173,4075,3503,3207,3969,3438,3691
980,3990,3547,3514,3974,3136,3572,3597,3130,3628,3203,4082,3501,3222,3954,3441,3586
990,3965,3565,3489,4013,3183,3609,3571,3128,3669,3038,4116,3481,3229,4047,3380,3594
1000,3998,3487,3404,4031,3193,3550,3664,3140,3666,3145,4116,3534,3223,3941,3356,3629
1010,3991,3454,3508,3955,3100,3588,3628,3184,3616,3191,4074,3460,3253,3957,3483,3635
1020,3987,3445,3476,4020,3104,3579,3679,3155,3616,3113,4067,3499,3286,4004,3405,3642
1030,3908,3499,3404,4091,3178,3575,3591,3232,3559,3152,4144,3455,3147,3982,3447,3713
1040,3980,3477,3467,3949,3186,3723,3637,3169,3624,3108,4038,3498,3186,3999,3381,3655
1050,4006,3572,3379,4011,3105,3602,3620,3207,3668,3181,4047,3477,3214,3950,3450,3588
1060,3938,3538,3481,3978,3139,3614,3665,3215,3584,3183,4113,3482,3246,3931,3336,3634
1070,3916,3513,3467,3996,3152,3663,3645,3132,3666,3119,4136,3499,3159,3948,3396,3670
1080,3985,3561,3358,4038,3107,3539,3624,3184,3655,3213,4120,3522,3121,4021,3396,3633
1090,3913,3586,3426,4014,3096,3608,3612,3220,3678,3198,4050,3402,3197,3967,3424,3686
1100,3984,3491,3380,4048,3146,3700,3627,3155,3599,3233,4048,3486,3197,3964,3388,3631
1110,3931,3450,3453,4091,3160,3672,3534,3163,3609,3212,4087,3481,3138,3958,3451,3687
1120,3906,3504,3450,4019,3113,3621,3633,3207,3682,3240,4113,3505,3220,3945,3351,3568
1130,3940,3496,3448,4030,3175,3610,3656,3118,3624,3168,4087,3441,3151,4088,3411,3634
1140,3993,3544,3463,4068,3103,3595,3693,3181,3668,3193,4029,3424,3164,3984,3418,3557
1150,4022,3455,3443,4009,3226,3621,3653,3162,3646,3166,4062,3428,3262,4032,3329,3561
1160,3978,3441,3494,3958,3143,3647,3587,3174,3632,3178,4122,3493,3195,4036,3402,3597
1170,3917,3461,3461,4075,3148,3579,3598,3201,3636,3200,4047,3467,3166,4031,3429,3661
1180,3943,3513,3424,3980,3167,3540,3573,3195,3672,3183,4033,3469,3220,4064,3481,3620
1190,4018,3483,3539,4063,3151,3576,3629,3182,3610,3140,4058,3446,3146,3950,3418,3668
1200,3948,3498,3481,3934,3113,3626,3714,3218,3655,3199,4098,3429,3161,3978,3428,3597
1210,3976,3509,3439,3983,3114,3676,3565,3186,3649,3265,4128,3453,3135,3934,3448,3617
1220,3955,3407,3558,3989,3052,3571,3620,3149,3635,3185,4111,3532,3200,4028,3473,3612
1230,4002,3511,3461,3962,3101,3621,3720,3146,3652,3225,4104,3430,3156,3932,3453,3601
1240,3906,3453,3494,4004,3169,3656,3522,3136,3699,3188,4028,3508,3274,3995,3439,3606
1250,4027,3636,3431,3929,3115,3606,3626,3210,3559,3205,4064,3448,3095,4023,3497,3606
1260,3977,3504,3490,4043,3150,3653,3686,3171,3581,3200,4128,3445,3131,3952,3397,3569
1270,3987,3474,3451,4034,3144,3709,3666,3082,3596,3193,4201,3351,3146,4021,3406,3616
1280,3971,3386,3439,3997,3172,3620,3614,3153,3654,3161,4161,3465,3178,4075,3458,3573
1290,3990,3469,3384,3987,3163,3680,3627,3153,3635,3168,4013,3488,3162,4077,3442,3639
1300,3996,3536,3487,4086,3041,3673,3586,3079,3610,3181,4066,3549,3155,3988,3388,3656
1310,3948,3478,3492,4070,3059,3627,3639,3105,3641,3190,4164,3409,3200,3990,3391,3674
1320,3966,3531,3407,4004,3098,3630,3656,3149,3553,3220,4179,3496,3243,3976,3369,3600
1330,3940,3620,3378,4004,3136,3647,3609,3078,3708,3158,4036,3466,3203,4087,3369,3638
1340,3991,3562,3477,3987,3114,3563,3635,3137,3645,3123,4127,3402,3245,4029,3414,3626
1350,3997,3459,3528,3947,3203,3600,3662,3103,3630,3098,4118,3434,3202,4046,3441,3609
1360,4007,3523,3403,4022,3145,3606,3569,3083,3692,3197,4136,3567,3155,3963,3402,3607
1370,3978,3518,3437,4055,3129,3621,3609,3155,3662,3182,4139,3524,3212,3909,3397,3550
1380,3868,3557,3442,4112,3119,3565,3637,3196,3641,3165,4122,3434,3189,3949,3421,3660
1390,3970,3479,3471,4051,3112,3661,3647,3118,3600,3149,4083,3451,3189,4028,3379,3689
1400,4008,3498,3431,4071,3117,3619,3496,3145,3652,3156,4200,3516,3167,3971,3406,3624
1410,3980,3471,3528,4027,3169,3573,3525,3107,3679,3173,4148,3437,3169,4097,3348,3646
1420,3976,3576,3502,4017,3142,3535,3658,3143,3715,3167,4082,3467,3184,3988,3340,3585
1430,4017,3507,3474,4021,3080,3545,3619,3148,3723,3260,4067,3462,3173,3958,3463,3560
1440,3988,3425,3409,3991,3141,3645,3640,3173,3731,3132,4164,3429,3159,4022,3446,3582
1450,3963,3532,3460,4006,3075,3588,3605,3118,3659,3206,4135,3440,3241,3968,3445,3636
1460,3943,3521,3437,3988,3110,3605,3604,3163,3663,3146,4141,3425,3245,4036,3400,3650
1470,3946,3465,3467,3977,3187,3666,3601,3147,3773,3199,4109,3497,3092,4006,3420,3525
1480,3918,3504,3415,3942,3168,3670,3619,3153,3681,3164,4093,3514,3139,4055,3496,3546
1490,4013,3458,3452,3949,3066,3701,3578,3092,3727,3155,4182,3512,3136,3982,3423,3651
1500,4010,3466,3506,3950,3095,3613,3584,3154,3672,3140,4136,3530,3252,3996,3330,3643
1510,4012,3476,3495,4020,3111,3564,3606,3110,3673,3230,4228,3440,3066,3962,3487,3597
1520,4005,3478,3543,3891,3171,3579,3627,3178,3732,3154,4083,3434,3227,3964,3399,3612
1530,3967,3405,3548,3980,3153,3655,3639,3181,3707,3254,4045,3418,3130,3996,3423,3576
1540,4073,3494,3474,4023,3169,3676,3603,3090,3654,3128,4078,3397,3209,3999,3425,3585
1550,4041,3477,3479,4018,3045,3620,3585,3200,3675,3140,4225,3447,3196,3974,3364,3591
