iteration,0,1,2,3,4,5,6,7,8,9,10,11
0,0,57077,0,0,0,0,0,0,0,0,0,0
10,21155,20414,10196,5036,226,42,7,1,0,0,0,0
20,22585,18445,10114,5446,390,77,19,1,0,0,0,0
30,24061,16322,10276,5653,620,109,33,3,0,0,0,0
40,25642,14082,10396,5858,923,127,41,8,0,0,0,0
50,26903,12357,10399,6055,1124,188,38,11,2,0,0,0
60,27816,11120,10361,6249,1245,227,44,11,4,0,0,0
70,28403,10472,10158,6308,1411,246,66,10,2,1,0,0
80,28780,10024,10035,6421,1463,271,69,13,1,0,0,0
90,29068,9631,10079,6363,1588,258,75,13,2,0,0,0
100,29317,9384,9937,6413,1658,279,73,13,3,0,0,0
110,29361,9276,9965,6493,1620,279,68,12,2,1,0,0
120,29416,9218,9951,6507,1595,306,63,20,1,0,0,0
130,29695,8946,9800,6534,1697,317,64,20,4,0,0,0
140,29611,9058,9774,6555,1707,276,79,13,3,1,0,0
150,29666,8975,9739,6651,1678,280,65,17,4,2,0,0
160,29657,8975,9803,6554,1704,305,64,12,2,1,0,0
170,29645,8956,9848,6584,1658,294,75,15,2,0,0,0
180,29760,8813,9791,6662,1669,297,68,11,4,2,0,0
190,29820,8730,9805,6662,1652,323,70,13,1,1,0,0
200,29743,8897,9768,6584,1648,345,75,12,4,1,0,0
210,29671,8963,9739,6674,1635,311,71,11,2,0,0,0
220,29728,8880,9807,6576,1683,311,79,10,3,0,0,0
230,29735,8936,9731,6527,1745,315,76,10,1,1,0,0
240,29663,9028,9699,6609,1661,334,71,12,0,0,0,0
250,29759,8863,9753,6605,1688,329,66,12,2,0,0,0
260,29667,9050,9623,6644,1712,305,58,16,2,0,0,0
270,29786,8796,9824,6566,1691,327,74,12,1,0,0,0
280,29779,8843,9781,6530,1745,312,69,16,2,0,0,0
290,29839,8782,9750,6549,1742,328,71,14,2,0,0,0
300,29784,8836,9797,6542,1689,330,78,21,0,0,0,0
310,29769,8896,9646,6675,1685,324,71,10,1,0,0,0
320,29818,8809,9702,6643,1687,337,66,14,1,0,0,0
330,29766,8851,9742,6626,1703,299,76,11,3,0,0,0
340,29684,8962,9771,6548,1732,295,70,14,1,0,0,0
350,29770,8850,9723,6637,1710,312,57,16,2,0,0,0
360,29800,8834,9686,6664,1697,304,75,15,2,0,0,0
370,29765,8862,9743,6610,1694,313,74,14,2,0,0,0
380,29728,8900,9745,6645,1659,310,68,19,2,1,0,0
390,29833,8786,9691,6687,1655,346,59,17,2,1,0,0
400,29812,8797,9711,6676,1679,319,68,10,4,1,0,0
410,29784,8793,9739,6714,1674,293,62,13,5,0,0,0
420,29830,8745,9774,6644,1697,285,80,18,3,1,0,0
430,29841,8773,9710,6649,1696,314,78,14,1,1,0,0
440,29860,8759,9745,6561,1739,315,76,20,0,2,0,0
450,29888,8658,9797,6609,1732,312,62,15,3,1,0,0
460,29893,8687,9757,6597,1748,303,71,16,5,0,0,0
470,29942,8682,9627,6695,1719,314,79,16,3,0,0,0
480,29919,8691,9638,6706,1728,314,60,18,3,0,0,0
490,29896,8728,9715,6571,1743,333,71,17,3,0,0,0
500,29893,8729,9691,6597,1768,314,64,19,2,0,0,0
510,29889,8740,9665,6615,1776,311,66,13,2,0,0,0
520,29795,8853,9657,6673,1709,301,76,10,3,0,0,0
530,29873,8732,9718,6633,1693,344,72,10,2,0,0,0
540,29875,8660,9805,6650,1687,310,74,13,3,0,0,0
550,29844,8763,9749,6606,1700,319,75,16,4,1,0,0
560,29794,8834,9677,6678,1715,301,63,10,3,2,0,0
570,29869,8703,9721,6692,1700,311,68,11,2,0,0,0
580,29833,8769,9733,6621,1728,307,71,14,1,0,0,0
590,29791,8855,9693,6629,1699,325,69,14,2,0,0,0
600,29863,8775,9629,6699,1712,313,71,12,3,0,0,0
610,29924,8662,9681,6711,1688,322,72,11,5,1,0,0
620,29912,8726,9658,6626,1728,335,77,12,3,0,0,0
630,29897,8688,9725,6657,1692,327,76,12,2,1,0,0
640,29843,8770,9692,6714,1622,344,74,15,3,0,0,0
650,29927,8746,9586,6647,1753,328,69,16,5,0,0,0
660,29935,8665,9743,6570,1724,346,75,13,5,1,0,0
670,29931,8707,9676,6585,1740,343,80,12,3,0,0,0
680,29914,8709,9711,6563,1747,345,74,12,2,0,0,0
690,29809,8773,9810,6574,1709,309,73,17,3,0,0,0
700,29867,8758,9690,6614,1744,320,69,13,2,0,0,0
710,29882,8688,9748,6650,1700,326,71,9,3,0,0,0
720,29796,8801,9801,6540,1740,312,76,10,1,0,0,0
730,29859,8737,9751,6571,1775,299,68,14,3,0,0,0
740,29868,8744,9707,6645,1699,321,72,17,4,0,0,0
750,29953,8654,9672,6637,1752,318,71,16,4,0,0,0
760,29887,8783,9644,6550,1824,299,67,21,2,0,0,0
770,29928,8762,9544,6654,1781,331,57,16,4,0,0,0
780,29811,8831,9671,6636,1743,300,73,10,2,0,0,0
790,29866,8802,9605,6654,1752,307,77,14,0,0,0,0
800,29948,8707,9593,6637,1796,300,87,6,2,1,0,0
810,29843,8782,9673,6685,1675,332,77,8,2,0,0,0
820,29890,8735,9673,6648,1720,311,87,9,4,0,0,0
830,29863,8765,9694,6601,1749,324,66,11,4,0,0,0
840,29802,8815,9730,6618,1713,315,67,17,0,0,0,0
850,29783,8808,9773,6626,1684,324,65,13,1,0,0,0
860,29927,8651,9741,6631,1693,338,83,13,0,0,0,0
870,29802,8844,9706,6598,1703,343,67,14,0,0,0,0
880,29757,8860,9762,6618,1671,315,79,14,1,0,0,0
890,29877,8687,9781,6605,1729,312,69,13,4,0,0,0
900,29917,8678,9689,6673,1702,334,69,10,5,0,0,0
910,29927,8672,9677,6650,1749,328,58,12,3,1,0,0
920,29867,8760,9631,6738,1657,344,68,11,1,0,0,0
930,29904,8698,9691,6673,1687,332,75,16,1,0,0,0
940,29776,8864,9695,6645,1688,330,68,10,1,0,0,0
950,29817,8813,9694,6627,1735,305,76,8,1,0,1,0
960,29839,8770,9690,6692,1690,302,79,13,2,0,0,0
970,29834,8757,9751,6608,1733,318,64,9,2,1,0,0
980,29819,8795,9698,6683,1675,320,73,13,1,0,0,0
990,29809,8790,9751,6641,1667,338,67,11,2,1,0,0
1000,29838,8761,9720,6665,1689,313,78,12,1,0,0,0
1010,29784,8815,9722,6712,1634,325,76,7,2,0,0,0
1020,29828,8733,9776,6654,1697,309,67,9,4,0,0,0
1030,29910,8650,9721,6712,1686,304,74,19,1,0,0,0
1040,29867,8770,9723,6525,1786,318,68,16,4,0,0,0
1050,29812,8827,9682,6640,1715,319,64,17,1,0,0,0
1060,29872,8715,9740,6615,1732,324,65,13,1,0,0,0
1070,29812,8757,9793,6601,1737,304,53,15,5,0,0,0
1080,29875,8747,9705,6595,1749,319,68,17,1,1,0,0
1090,29854,8748,9729,6596,1762,309,65,12,2,0,0,0
1100,29796,8827,9731,6605,1717,321,64,13,2,1,0,0
1110,29786,8808,9821,6527,1716,344,66,6,3,0,0,0
1120,29844,8744,9758,6610,1713,331,63,11,2,1,0,0
1130,29842,8787,9695,6612,1741,315,73,9,3,0,0,0
1140,29830,8760,9715,6695,1691,303,63,16,3,1,0,0
1150,29892,8658,9719,6754,1649,326,63,13,3,0,0,0
1160,29960,8558,9782,6647,1736,312,66,14,2,0,0,0
1170,30049,8514,9713,6608,1751,361,67,10,4,0,0,0
1180,29898,8759,9614,6653,1742,326,67,15,2,0,1,0
1190,29911,8612,9805,6659,1675,329,72,11,3,0,0,0
1200,29949,8594,9744,6654,1747,310,62,13,4,0,0,0
1210,29864,8726,9707,6689,1694,310,69,16,1,0,1,0
1220,29881,8692,9707,6712,1703,297,61,21,2,1,0,0
1230,29931,8640,9691,6716,1693,319,72,12,3,0,0,0
1240,29804,8730,9841,6642,1662,313,70,14,1,0,0,0
1250,29753,8881,9710,6649,1694,306,69,12,2,1,0,0
1260,29766,8839,9775,6593,1711,309,71,10,3,0,0,0
1270,29844,8742,9706,6725,1660,313,68,17,2,0,0,0
1280,29878,8727,9725,6642,1663,355,66,17,4,0,0,0
1290,29946,8672,9608,6747,1693,317,74,13,7,0,0,0
1300,29974,8640,9619,6704,1723,331,69,12,4,0,1,0
1310,30035,8566,9608,6690,1774,317,71,11,4,1,0,0
1320,29957,8623,9685,6675,1731,321,67,17,0,1,0,0
1330,29920,8705,9680,6603,1749,333,68,18,1,0,0,0
1340,29923,8639,9725,6694,1681,329,68,15,3,0,0,0
1350,29970,8634,9664,6648,1759,303,77,18,4,0,0,0
1360,29938,8666,9670,6672,1721,310,81,17,2,0,0,0
1370,29923,8662,9760,6563,1735,352,70,10,2,0,0,0
1380,29916,8645,9766,6611,1738,315,66,17,2,1,0,0
1390,30026,8545,9707,6626,1737,342,77,16,1,0,0,0
1400,29988,8577,9706,6638,1775,301,78,11,3,0,0,0
1410,29851,8767,9709,6640,1694,324,74,13,4,1,0,0
1420,29841,8747,9767,6588,1738,314,66,14,2,0,0,0
1430,29890,8701,9746,6633,1660,360,65,21,1,0,0,0
1440,29910,8718,9678,6586,1774,333,65,11,1,1,0,0
1450,29832,8863,9604,6624,1730,348,60,14,2,0,0,0
1460,29846,8779,9726,6562,1754,328,72,8,2,0,0,0
1470,29739,8890,9806,6501,1726,335,68,11,1,0,0,0
1480,29779,8865,9730,6580,1705,337,60,21,0,0,0,0
1490,29822,8757,9785,6637,1647,341,74,10,4,0,0,0
1500,29834,8758,9707,6688,1701,310,67,11,1,0,0,0
1510,29837,8765,9711,6649,1719,318,70,7,1,0,0,0
1520,29832,8779,9729,6597,1749,306,74,9,2,0,0,0
1530,29828,8744,9765,6649,1691,321,68,10,0,1,0,0
1540,29870,8732,9695,6659,1713,336,59,12,1,0,0,0
1550,29948,8694,9582,6702,1736,338,63,11,3,0,0,0
1560,29937,8639,9721,6620,1740,357,52,9,2,0,0,0
1570,29908,8673,9760,6554,1778,333,57,10,3,1,0,0
1580,29796,8823,9762,6541,1769,302,71,10,2,1,0,0
1590,29775,8870,9656,6685,1712,299,66,11,3,0,0,0
1600,29846,8857,9587,6602,1780,325,68,10,1,1,0,0
1610,29895,8658,9752,6657,1717,328,55,14,1,0,0,0
1620,29767,8918,9615,6690,1680,327,59,19,1,1,0,0
1630,29841,8810,9694,6574,1754,316,62,20,5,1,0,0
1640,29902,8678,9703,6714,1664,327,68,17,3,1,0,0
1650,29923,8667,9699,6655,1723,324,71,11,4,0,0,0
1660,29932,8639,9699,6706,1700,307,76,15,1,2,0,0
1670,29864,8690,9806,6603,1708,323,68,10,4,1,0,0
1680,29829,8770,9747,6640,1677,323,74,12,3,2,0,0
1690,29808,8793,9780,6587,1686,333,79,8,3,0,0,0
1700,29741,8908,9738,6596,1676,319,89,8,2,0,0,0
1710,29810,8877,9613,6655,1719,308,74,19,2,0,0,0
1720,29842,8782,9694,6650,1705,309,76,16,3,0,0,0
1730,29797,8763,9862,6583,1642,332,77,18,2,1,0,0
1740,29853,8791,9706,6579,1738,305,82,17,5,1,0,0
1750,29830,8797,9714,6601,1737,315,61,17,4,1,0,0
1760,29946,8677,9601,6710,1748,315,63,13,4,0,0,0
1770,29809,8839,9662,6681,1675,322,68,17,3,0,1,0
1780,29811,8814,9711,6641,1707,291,82,17,3,0,0,0
1790,29837,8733,9782,6632,1715,275,82,14,4,3,0,0
1800,29825,8778,9760,6587,1732,311,62,13,9,0,0,0
1810,29856,8754,9705,6641,1725,311,65,16,3,1,0,0
1820,29839,8833,9644,6628,1705,342,65,16,5,0,0,0
1830,29809,8823,9700,6637,1709,307,76,13,2,1,0,0
1840,29908,8724,9660,6637,1736,320,72,14,6,0,0,0
1850,29818,8783,9739,6656,1669,320,77,11,3,1,0,0
1860,29751,8899,9653,6713,1677,298,69,15,2,0,0,0
1870,29739,8908,9717,6610,1708,314,65,15,1,0,0,0
1880,29764,8856,9720,6662,1680,315,63,14,3,0,0,0
1890,29767,8887,9676,6655,1686,324,68,12,1,1,0,0
1900,29796,8800,9733,6670,1681,320,64,12,0,1,0,0
1910,29889,8626,9829,6636,1708,301,72,13,2,1,0,0
1920,29871,8685,9745,6705,1678,307,67,15,3,1,0,0
1930,29909,8610,9768,6711,1708,278,79,11,2,1,0,0
1940,29842,8703,9741,6730,1686,303,64,5,3,0,0,0
1950,29870,8686,9750,6685,1681,333,59,11,2,0,0,0
1960,29799,8798,9753,6604,1736,324,48,11,4,0,0,0
1970,29807,8753,9764,6676,1699,313,52,9,4,0,0,0
1980,29695,8893,9803,6618,1701,299,54,11,3,0,0,0
1990,29705,8950,9700,6627,1729,283,71,7,5,0,0,0
2000,29725,8874,9757,6647,1714,287,59,11,1,2,0,0
2010,29695,8945,9771,6568,1712,299,69,15,3,0,0,0
2020,29697,8928,9753,6617,1719,281,65,15,2,0,0,0
2030,29785,8810,9750,6616,1754,287,59,14,2,0,0,0
2040,29763,8839,9785,6573,1735,297,72,12,1,0,0,0
2050,29767,8876,9713,6599,1734,298,80,8,2,0,0,0
2060,29833,8806,9666,6652,1728,302,73,13,4,0,0,0
2070,29881,8683,9714,6718,1698,301,62,18,1,1,0,0
2080,29964,8600,9745,6592,1786,291,86,10,1,2,0,0
2090,29840,8790,9702,6587,1764,316,63,13,1,1,0,0
2100,29890,8679,9779,6586,1747,307,67,20,1,1,0,0
2110,29805,8795,9737,6649,1691,319,68,11,1,1,0,0
2120,29859,8775,9662,6658,1726,305,72,18,1,1,0,0
2130,29801,8803,9723,6673,1674,319,72,11,0,1,0,0
2140,29883,8730,9665,6693,1698,322,71,12,2,0,1,0
2150,29941,8701,9637,6626,1735,359,59,17,2,0,0,0
2160,29879,8748,9697,6584,1775,302,75,13,4,0,0,0
2170,29817,8747,9793,6635,1693,306,70,12,3,1,0,0
2180,29787,8775,9829,6616,1657,328,69,14,2,0,0,0
2190,29859,8735,9709,6671,1715,300,68,17,3,0,0,0
2200,29828,8755,9782,6611,1697,309,73,22,0,0,0,0
2210,29738,8898,9713,6653,1668,325,77,5,0,0,0,0
2220,29718,8896,9764,6631,1676,309,71,11,1,0,0,0
2230,29778,8855,9759,6545,1731,325,70,12,2,0,0,0
2240,29890,8781,9645,6564,1769,344,72,10,2,0,0,0
2250,29909,8672,9761,6562,1757,339,67,8,2,0,0,0
2260,29878,8781,9665,6561,1769,345,67,8,3,0,0,0
2270,29873,8744,9725,6573,1745,334,70,10,3,0,0,0
2280,29848,8804,9630,6684,1700,326,68,13,4,0,0,0
2290,29805,8746,9810,6631,1700,306,68,8,3,0,0,0
2300,29890,8712,9755,6558,1743,324,78,16,0,1,0,0
2310,29980,8660,9622,6622,1788,304,74,25,2,0,0,0
2320,29916,8664,9710,6671,1710,314,76,14,2,0,0,0
2330,29888,8700,9742,6607,1729,335,55,18,2,1,0,0
2340,29869,8767,9674,6606,1764,315,65,14,2,1,0,0
2350,29784,8866,9654,6684,1691,319,63,14,2,0,0,0
2360,29849,8782,9678,6642,1721,320,70,12,2,1,0,0
2370,29870,8758,9681,6648,1699,330,75,13,2,0,1,0
2380,29855,8735,9736,6654,1665,358,65,4,5,0,0,0
2390,29809,8834,9664,6692,1654,340,68,13,3,0,0,0
2400,29936,8699,9616,6705,1693,333,77,15,1,1,1,0
2410,30014,8606,9616,6657,1771,316,80,13,3,1,0,0
2420,29983,8644,9668,6587,1766,322,90,14,3,0,0,0
2430,29935,8660,9771,6529,1741,346,77,13,4,1,0,0
2440,29838,8761,9716,6658,1700,324,70,10,0,0,0,0
2450,29850,8792,9683,6620,1707,331,83,10,1,0,0,0
2460,29785,8834,9791,6546,1688,344,74,13,2,0,0,0
2470,29774,8862,9680,6674,1698,305,74,8,2,0,0,0
2480,29816,8767,9759,6623,1730,304,64,13,1,0,0,0
2490,29833,8804,9662,6652,1736,304,74,11,1,0,0,0
2500,29810,8777,9713,6713,1690,287,74,10,1,2,0,0
2510,29867,8774,9636,6679,1721,311,71,15,3,0,0,0
2520,29922,8639,9779,6579,1766,296,77,15,4,0,0,0
2530,29868,8713,9771,6584,1742,309,75,13,2,0,0,0
2540,29949,8659,9678,6633,1749,308,81,19,1,0,0,0
2550,29846,8808,9629,6660,1743,306,69,13,3,0,0,0
2560,29739,8924,9677,6651,1693,303,72,17,1,0,0,0
2570,29798,8773,9777,6635,1719,297,63,14,1,0,0,0
2580,29734,8843,9799,6626,1717,275,67,15,1,0,0,0
2590,29741,8856,9803,6583,1694,327,58,13,2,0,0,0
2600,29768,8800,9853,6528,1735,316,72,5,0,0,0,0
2610,29790,8778,9784,6640,1698,313,65,8,1,0,0,0
2620,29816,8771,9765,6603,1729,322,57,13,1,0,0,0
2630,29810,8784,9728,6693,1654,320,76,10,2,0,0,0
2640,29785,8879,9678,6633,1662,359,67,14,0,0,0,0
2650,29756,8856,9725,6671,1681,307,71,8,1,1,0,0
2660,29758,8779,9870,6603,1674,317,66,8,2,0,0,0
2670,29848,8645,9887,6619,1685,312,67,13,1,0,0,0
2680,29721,8884,9789,6589,1718,297,65,12,1,1,0,0
2690,29811,8794,9723,6634,1738,294,70,11,2,0,0,0
2700,29792,8811,9742,6634,1710,302,73,12,1,0,0,0
2710,29939,8627,9723,6661,1718,321,72,16,0,0,0,0
2720,29958,8666,9705,6526,1799,329,80,12,1,0,1,0
2730,29860,8729,9731,6636,1738,294,71,14,4,0,0,0
2740,29938,8658,9679,6652,1754,309,72,10,4,0,1,0
2750,29932,8656,9699,6685,1662,360,67,12,3,0,1,0
2760,29872,8760,9604,6758,1691,295,85,10,2,0,0,0
2770,29917,8638,9751,6662,1694,335,62,16,2,0,0,0
2780,29877,8724,9684,6698,1674,339,70,8,3,0,0,0
2790,29820,8804,9649,6717,1699,310,68,10,0,0,0,0
2800,29849,8773,9720,6580,1745,331,66,11,2,0,0,0
2810,29788,8805,9775,6604,1716,306,66,16,1,0,0,0
2820,29891,8669,9751,6636,1735,329,53,10,2,1,0,0
2830,29858,8700,9778,6632,1706,329,62,12,0,0,0,0
2840,29885,8692,9728,6650,1729,315,60,16,2,0,0,0
2850,29863,8739,9730,6621,1707,332,70,13,2,0,0,0
2860,29917,8633,9755,6657,1717,315,63,18,2,0,0,0
2870,29884,8734,9675,6650,1731,321,61,20,1,0,0,0
2880,29843,8727,9735,6692,1703,292,68,13,3,1,0,0
2890,29867,8726,9709,6653,1745,289,69,17,2,0,0,0
2900,29880,8725,9727,6620,1706,324,73,20,2,0,0,0
2910,29871,8782,9611,6703,1693,326,77,12,2,0,0,0
2920,29796,8776,9748,6687,1693,303,62,11,1,0,0,0
2930,29854,8729,9681,6729,1705,303,69,6,1,0,0,0
2940,29702,8900,9738,6723,1642,287,69,14,1,1,0,0
2950,29738,8834,9753,6740,1645,281,73,11,1,1,0,0
2960,29766,8824,9790,6627,1664,313,82,9,2,0,0,0
2970,29853,8705,9758,6653,1721,318,61,7,1,0,0,0
2980,29802,8842,9670,6652,1719,303,76,12,1,0,0,0
2990,29795,8775,9782,6662,1673,300,70,20,0,0,0,0
3000,29880,8685,9768,6645,1685,332,58,19,5,0,0,0
3010,29849,8688,9781,6694,1670,320,61,13,1,0,0,0
3020,29802,8747,9860,6565,1694,333,59,16,1,0,0,0
3030,29798,8809,9679,6718,1697,296,73,6,1,0,0,0
3040,29770,8895,9654,6640,1741,288,75,12,2,0,0,0
3050,29880,8693,9733,6673,1701,310,68,15,4,0,0,0
3060,29884,8738,9657,6658,1748,307,72,12,1,0,0,0
3070,29828,8750,9760,6660,1681,304,77,16,0,1,0,0
3080,29837,8795,9657,6692,1691,316,76,12,1,0,0,0
3090,29838,8769,9683,6695,1712,288,78,11,3,0,0,0
3100,29799,8849,9665,6642,1724,323,66,7,2,0,0,0
3110,29896,8743,9671,6588,1783,297,85,11,3,0,0,0
3120,29885,8735,9689,6609,1765,304,75,13,2,0,0,0
3130,29820,8793,9676,6706,1699,294,76,12,1,0,0,0
3140,29901,8738,9607,6698,1739,309,70,11,3,1,0,0
3150,29888,8670,9798,6582,1737,321,60,17,3,1,0,0
3160,29942,8581,9823,6567,1780,294,74,14,1,1,0,0
3170,29919,8670,9710,6639,1726,328,73,9,2,1,0,0
3180,29914,8679,9735,6589,1744,328,73,13,2,0,0,0
3190,29920,8677,9726,6584,1757,327,71,13,2,0,0,0
3200,29964,8625,9731,6597,1720,345,76,15,3,1,0,0
3210,29821,8801,9697,6660,1685,335,63,11,4,0,0,0
3220,29903,8673,9701,6735,1640,337,68,16,4,0,0,0
3230,29915,8740,9630,6650,1704,337,85,13,2,1,0,0
3240,29870,8766,9719,6540,1754,348,65,13,2,0,0,0
3250,29733,8894,9768,6594,1673,337,60,16,2,0,0,0
3260,29685,8941,9779,6609,1667,314,63,17,2,0,0,0
3270,29707,8903,9799,6575,1719,292,63,15,4,0,0,0
3280,29795,8818,9715,6668,1682,313,71,14,1,0,0,0
3290,29868,8662,9840,6603,1691,330,71,10,2,0,0,0
3300,29782,8844,9741,6599,1701,327,70,9,4,0,0,0
3310,29850,8752,9763,6571,1723,328,77,12,1,0,0,0
