iteration,0,1,2,3,4,5,6,7,8,9,10
0,0,57077,0,0,0,0,0,0,0,0,0
10,22027,19080,10386,5180,342,55,7,0,0,0,0
20,24788,15187,10449,5809,691,122,26,5,0,0,0
30,26902,12311,10405,6156,1079,177,42,5,0,0,0
40,28071,10863,10176,6369,1305,229,58,6,0,0,0
50,28784,9963,10076,6460,1471,250,63,10,0,0,0
60,29203,9509,9942,6487,1561,287,73,14,1,0,0
70,29371,9313,9916,6468,1613,313,71,11,1,0,0
80,29575,9036,9881,6541,1666,293,69,15,1,0,0
90,29614,9048,9757,6589,1694,300,59,10,6,0,0
100,29601,8966,9857,6685,1597,290,66,12,3,0,0
110,29763,8865,9672,6729,1663,298,72,13,2,0,0
120,29813,8782,9758,6619,1704,319,64,17,1,0,0
130,29745,8820,9853,6582,1706,274,72,21,4,0,0
140,29697,8960,9682,6693,1649,309,76,11,0,0,0
150,29748,8878,9745,6596,1728,295,75,12,0,0,0
160,29760,8860,9712,6689,1661,306,73,14,2,0,0
170,29768,8815,9727,6742,1650,290,66,16,3,0,0
180,29833,8737,9748,6688,1684,299,70,15,3,0,0
190,29767,8809,9810,6601,1693,324,61,9,3,0,0
200,29715,8952,9667,6672,1689,296,67,16,2,1,0
210,29683,8992,9711,6605,1690,309,69,16,1,1,0
220,29674,9015,9716,6567,1693,333,65,12,1,0,1
230,29730,8919,9710,6657,1648,325,70,14,4,0,0
240,29801,8730,9806,6691,1678,294,62,12,3,0,0
250,29808,8842,9661,6680,1678,314,69,23,2,0,0
260,29821,8789,9702,6642,1752,294,61,14,2,0,0
270,29820,8762,9749,6657,1694,315,65,15,0,0,0
280,29761,8848,9778,6598,1700,294,79,17,2,0,0
290,29823,8763,9792,6571,1725,323,61,16,3,0,0
300,29800,8805,9765,6591,1724,299,76,14,3,0,0
310,29863,8704,9756,6651,1713,308,62,16,4,0,0
320,29909,8569,9813,6747,1657,299,69,8,6,0,0
330,29887,8606,9868,6620,1698,320,65,11,2,0,0
340,29891,8690,9741,6611,1747,314,71,8,4,0,0
350,29891,8690,9729,6657,1709,303,83,11,4,0,0
360,29821,8750,9799,6592,1720,316,64,12,2,1,0
370,29828,8773,9752,6600,1725,311,75,11,1,0,1
380,29825,8725,9725,6769,1664,293,64,7,4,1,0
390,29809,8799,9652,6747,1709,281,70,8,2,0,0
400,29894,8662,9699,6769,1652,329,50,20,1,1,0
410,29862,8739,9702,6630,1770,300,57,14,3,0,0
