iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1545087772643,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1545087874774,35050,-9.471270317e+05,480,451,671,828,73,107,54515,2514,48,0,0,0,0
20,1545087967913,32289,-9.710721226e+05,634,933,1766,2461,76,109,51371,5440,259,7,0,0,0
30,1545088061612,30175,-9.889429786e+05,784,1261,2689,3910,68,107,48825,7693,551,8,0,0,0
40,1545088156351,29006,-9.977750162e+05,740,1378,3273,4793,61,79,47480,8890,687,20,0,0,0
50,1545088252438,28293,-1.003157896e+06,784,1568,3619,5214,64,48,46674,9534,844,25,0,0,0
60,1545088348826,27874,-1.006540607e+06,816,1554,3789,5556,56,78,46186,9962,900,29,0,0,0
70,1545088443555,27706,-1.007919642e+06,776,1645,3750,5793,75,66,46013,10056,975,33,0,0,0
80,1545088539648,27502,-1.010553618e+06,855,1734,4063,5787,55,71,45653,10313,1081,30,0,0,0
90,1545088635455,27463,-1.009550366e+06,776,1697,3981,5780,69,66,45757,10303,985,32,0,0,0
100,1545088732982,27476,-1.009716637e+06,714,1738,4077,5813,70,59,45647,10423,973,34,0,0,0
110,1545088826508,27314,-1.011537674e+06,734,1824,4162,5843,56,60,45503,10500,1043,31,0,0,0
120,1545088920445,27264,-1.012051629e+06,840,1762,4139,5974,46,54,45414,10544,1086,33,0,0,0
130,1545089014854,27332,-1.010116825e+06,684,1790,4059,5855,68,48,45633,10410,1008,26,0,0,0
140,1545089109455,27380,-1.010733281e+06,746,1754,4058,5868,67,50,45628,10388,1030,29,2,0,0
150,1545089201696,27329,-1.011027662e+06,633,1852,4145,5833,63,66,45539,10502,1018,18,0,0,0
160,1545089293790,27317,-1.011211621e+06,681,1879,4160,5819,64,44,45548,10439,1062,28,0,0,0
170,1545089385740,27309,-1.011133728e+06,663,1918,4157,5782,49,51,45597,10376,1068,36,0,0,0
180,1545089478931,27244,-1.012517823e+06,814,1916,4169,5929,64,63,45277,10673,1099,28,0,0,0
190,1545089571329,27310,-1.011509370e+06,804,1864,4250,5695,59,75,45435,10571,1037,34,0,0,0
200,1545089664099,27362,-1.010723968e+06,754,1905,4091,5706,34,54,45600,10442,1003,32,0,0,0
210,1545089756380,27394,-1.010330146e+06,673,1910,4180,5668,59,50,45606,10443,989,37,2,0,0
220,1545089849413,27403,-1.011580047e+06,729,2080,4024,5679,78,65,45484,10548,1028,17,0,0,0
230,1545089941897,27347,-1.011415412e+06,760,2115,4040,5670,58,43,45492,10514,1042,28,1,0,0
240,1545090033974,27276,-1.011808275e+06,776,2109,4145,5623,65,50,45471,10475,1100,31,0,0,0
250,1545090126623,27269,-1.011574797e+06,761,2113,4154,5609,54,53,45459,10521,1068,29,0,0,0
260,1545090218741,27256,-1.012797850e+06,775,2221,4190,5593,84,64,45303,10656,1083,35,0,0,0
270,1545090312223,27257,-1.011015106e+06,764,2101,4205,5537,61,42,45457,10554,1043,22,1,0,0
