iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4236,3658,3611,4289,2982,3399,3440,2994,3421,3011,4215,3635,2998,4204,3583,3401
10,3932,3342,3376,3922,3213,3677,3732,3187,3746,3304,4034,3391,3214,3943,3337,3727
20,3883,3446,3425,3994,3143,3683,3671,3237,3710,3208,4067,3341,3269,3914,3360,3726
30,3880,3384,3457,3999,3196,3709,3703,3216,3582,3236,4139,3401,3200,3966,3402,3607
40,3919,3500,3430,4073,3078,3599,3701,3186,3646,3223,4106,3394,3230,3891,3394,3707
50,3972,3440,3420,3965,3173,3659,3573,3228,3686,3185,4168,3429,3197,4013,3359,3610
60,3969,3446,3414,3963,3226,3619,3628,3169,3666,3094,4179,3395,3218,3932,3467,3692
70,3976,3524,3404,4047,3208,3592,3582,3144,3665,3149,4108,3460,3203,3998,3378,3639
80,3992,3494,3445,4058,3162,3601,3600,3085,3617,3095,4085,3611,3123,4102,3446,3561
90,3975,3501,3349,4051,3161,3599,3576,3163,3696,3162,4203,3499,3233,3984,3308,3617
100,4007,3482,3414,4031,3154,3609,3645,3135,3776,3121,4147,3464,3132,3975,3422,3563
110,4037,3519,3473,4005,3144,3540,3660,3148,3645,3111,4100,3502,3237,3997,3358,3601
120,4042,3547,3503,4018,3090,3606,3564,3148,3767,3050,4082,3439,3175,4102,3361,3583
130,3992,3560,3464,4074,3082,3530,3542,3118,3672,3224,4104,3420,3227,4043,3418,3607
140,3963,3531,3421,3951,3042,3576,3617,3169,3625,3249,4113,3458,3278,3983,3469,3632
150,4004,3414,3457,4031,3091,3690,3612,3167,3522,3239,4154,3477,3147,4001,3465,3606
160,3974,3535,3477,4059,3052,3630,3578,3232,3601,3060,4173,3522,3205,3989,3367,3623
170,4042,3415,3498,4067,3086,3533,3630,3157,3733,3206,4100,3504,3127,3994,3424,3561
180,4019,3449,3485,4093,3145,3608,3661,3127,3608,3180,4093,3366,3208,4022,3419,3594
190,3943,3432,3500,4095,3144,3660,3558,3176,3713,3159,4118,3448,3214,3929,3379,3609
200,4017,3439,3438,4077,3132,3710,3529,3203,3627,3202,4214,3482,3082,4017,3358,3550
210,4008,3449,3445,4014,3065,3621,3624,3106,3649,3229,4174,3449,3230,4053,3372,3589
