iteration,0,1,2,3
0,15281,13221,13251,15324
10,15181,13213,13182,15501
20,15279,13307,13138,15353
30,15175,13219,13352,15331
40,15259,13289,13223,15306
50,15269,13119,13315,15374
60,15217,13180,13255,15425
70,15267,13183,13157,15470
80,15145,13252,13329,15351
90,15262,13266,13184,15365
100,15245,13181,13278,15373
110,15205,13189,13238,15445
120,15005,13274,13214,15584
130,15136,13170,13252,15519
140,15248,13109,13163,15557
150,15144,13361,13196,15376
160,15302,13099,13083,15593
170,15353,13217,13218,15289
180,15253,13063,13223,15538
190,15196,13275,13227,15379
200,15181,13237,13142,15517
210,15163,13312,13278,15324
220,15111,13169,13324,15473
230,15282,13219,13192,15384
240,15198,13119,13266,15494
250,15140,13228,13262,15447
260,15133,13280,13248,15416
270,15167,13139,13283,15488
280,15102,13233,13254,15488
290,15237,13156,13197,15487
300,15227,13174,13256,15420
310,15122,13202,13293,15460
320,15130,13215,13109,15623
330,15166,13135,13203,15573
340,15117,13254,13184,15522
350,15274,13163,13203,15437
360,15147,13279,13188,15463
370,15116,13274,13310,15377
380,15332,13111,13293,15341
390,15160,13150,13307,15460
400,15211,13240,13236,15390
410,15203,13250,13132,15492
420,15208,13137,13208,15524
430,15177,13121,13344,15435
440,15204,13152,13344,15377
450,15291,13160,13237,15389
460,15236,13117,13294,15430
470,15248,13139,13190,15500
480,15215,13192,13253,15417
490,15178,13246,13133,15520
500,15196,13242,13167,15472
510,15285,13110,13116,15566
520,15310,13199,13282,15286
530,15070,13335,13186,15486
540,15149,13188,13386,15354
550,15218,13161,13285,15413
560,15209,13344,13207,15317
570,15143,13366,13188,15380
580,15295,13113,13229,15440
590,15144,13199,13287,15447
600,15133,13162,13317,15465
610,15132,13232,13272,15441
620,15226,13228,13178,15445
630,15199,13249,13289,15340
640,15168,13307,13143,15459
650,15156,13185,13195,15541
660,15269,13155,13157,15496
670,15209,13238,13253,15377
680,15145,13218,13157,15557
690,15168,13316,13205,15388
700,15283,13214,13172,15408
710,15149,13163,13323,15442
720,15245,13186,13199,15447
730,15142,13240,13240,15455
740,15223,13170,13206,15478
750,15161,13129,13330,15457
760,15196,13158,13254,15469
770,15298,13149,13403,15227
780,15056,13289,13302,15430
790,15271,13293,13214,15299
800,15171,13269,13242,15395
810,15148,13188,13271,15470
820,15076,13246,13246,15509
830,15096,13128,13393,15460
840,15132,13166,13208,15571
850,15141,13385,13136,15415
860,15121,13218,13331,15407
870,15268,13164,13187,15458
880,15156,13242,13267,15412
890,15231,13144,13302,15400
900,15171,13231,13279,15396
910,15186,13190,13282,15419
920,15115,13272,13224,15466
930,15010,13278,13309,15480
940,15159,13255,13196,15467
950,15189,13098,13279,15511
960,15176,13221,13126,15554
970,15158,13223,13271,15425
980,15056,13322,13202,15497
990,15246,13275,13139,15417
1000,15212,13162,13183,15520
1010,15062,13208,13356,15451
1020,15217,13281,13189,15390
1030,15017,13297,13231,15532
1040,15126,13258,13247,15446
1050,15115,13175,13316,15471
1060,15164,13195,13211,15507
1070,15243,13184,13236,15414
1080,15183,13202,13239,15453
1090,15159,13351,13096,15471
1100,15268,13263,13190,15356
1110,15254,13156,13155,15512
1120,15069,13091,13193,15724
1130,15258,13222,13167,15430
1140,15158,13290,13081,15548
