iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1544926951786,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1544926955334,35969,-9.374508573e+05,301,150,239,453,80,126,55743,1319,15,0,0,0,0
20,1544926958269,34707,-9.472559343e+05,376,240,453,1302,103,124,54521,2514,42,0,0,0,0
30,1544926961220,33390,-9.598805576e+05,381,330,669,2738,86,161,52819,4151,107,0,0,0,0
40,1544926964479,32013,-9.721753126e+05,487,404,850,4316,70,158,51032,5806,238,1,0,0,0
50,1544926967681,30687,-9.814642144e+05,455,466,1082,5617,64,142,49564,7203,307,3,0,0,0
60,1544926970564,29872,-9.881556156e+05,478,529,1184,6566,63,125,48529,8153,393,2,0,0,0
70,1544926973980,29221,-9.926278754e+05,460,543,1390,7161,57,119,47803,8826,440,8,0,0,0
80,1544926977204,28816,-9.955528493e+05,523,622,1486,7456,73,103,47342,9218,506,11,0,0,0
90,1544926979899,28531,-9.986505860e+05,524,613,1660,7668,54,129,47019,9480,566,12,0,0,0
100,1544926984679,28358,-1.000121595e+06,557,671,1770,7807,65,103,46726,9740,600,11,0,0,0
110,1544926987972,28213,-1.001963912e+06,615,721,1915,7813,63,95,46583,9777,706,11,0,0,0
120,1544926991091,28176,-1.001813753e+06,633,718,1994,7799,53,80,46480,9928,658,11,0,0,0
130,1544926993632,27937,-1.003653430e+06,659,774,2076,7864,53,83,46257,10142,667,11,0,0,0
140,1544926996589,27889,-1.004144524e+06,633,813,2173,7763,67,67,46266,10116,685,10,0,0,0
150,1544926999146,27822,-1.004451048e+06,697,857,2241,7704,59,69,46204,10140,712,21,0,0,0
160,1544927001880,27784,-1.004968777e+06,683,861,2328,7705,64,77,46133,10180,754,10,0,0,0
170,1544927004973,27788,-1.005308422e+06,679,878,2358,7673,55,80,46088,10264,716,9,0,0,0
180,1544927007323,27693,-1.006078219e+06,690,895,2536,7656,56,71,45979,10306,778,14,0,0,0
190,1544927009906,27594,-1.007484368e+06,738,950,2591,7729,47,85,45749,10531,782,15,0,0,0
200,1544927013911,27413,-1.009302824e+06,705,1013,2791,7689,53,66,45608,10638,814,17,0,0,0
210,1544927015872,27434,-1.008385698e+06,729,1004,2764,7648,49,70,45705,10497,858,17,0,0,0
220,1544927019468,27477,-1.008390357e+06,788,1033,2840,7490,54,57,45673,10561,828,15,0,0,0
230,1544927022161,27520,-1.008977590e+06,794,1035,2934,7409,77,74,45648,10558,848,23,0,0,0
240,1544927024197,27455,-1.008895541e+06,746,1097,3016,7371,51,65,45642,10545,869,21,0,0,0
250,1544927026638,27415,-1.009093236e+06,723,1110,3056,7342,54,61,45637,10556,862,22,0,0,0
260,1544927029368,27424,-1.009834654e+06,731,1185,3143,7230,48,74,45598,10562,903,13,1,0,0
270,1544927031318,27377,-1.011147497e+06,788,1246,3275,7221,54,67,45425,10678,949,25,0,0,0
280,1544927033855,27347,-1.010538665e+06,700,1306,3336,7079,42,63,45569,10520,958,30,0,0,0
290,1544927036353,27303,-1.010391758e+06,699,1293,3388,7002,66,54,45519,10638,897,22,1,0,0
300,1544927039438,27325,-1.010637623e+06,748,1285,3417,6998,67,66,45467,10657,935,18,0,0,0
310,1544927041416,27237,-1.011117835e+06,754,1294,3452,6968,58,68,45471,10635,954,17,0,0,0
320,1544927044001,27277,-1.011338133e+06,795,1286,3538,6921,52,76,45436,10638,979,24,0,0,0
330,1544927046477,27241,-1.011719618e+06,798,1359,3613,6788,54,64,45497,10508,1049,22,1,0,0
340,1544927048494,27123,-1.013193570e+06,766,1391,3766,6891,64,73,45211,10803,1041,22,0,0,0
350,1544927051283,27143,-1.012101049e+06,786,1387,3774,6752,55,75,45287,10778,986,25,1,0,0
360,1544927054004,27178,-1.013193514e+06,836,1387,3891,6686,60,63,45257,10740,1057,23,0,0,0
370,1544927055915,27116,-1.012362216e+06,834,1354,3869,6650,61,70,45301,10735,1020,21,0,0,0
380,1544927058655,27167,-1.012131589e+06,759,1486,3896,6536,71,71,45344,10670,1040,23,0,0,0
390,1544927061103,27152,-1.013006059e+06,805,1502,3895,6566,65,63,45297,10686,1073,20,1,0,0
400,1544927064500,27100,-1.012974848e+06,752,1556,3960,6519,60,69,45321,10619,1114,23,0,0,0
410,1544927066838,27107,-1.012521908e+06,793,1548,3857,6523,58,57,45333,10681,1034,29,0,0,0
420,1544927069682,27128,-1.012842167e+06,844,1514,3898,6510,73,60,45331,10622,1095,29,0,0,0
430,1544927072201,27121,-1.011951255e+06,770,1565,3885,6428,59,54,45394,10640,1008,35,0,0,0
440,1544927074284,27145,-1.012216489e+06,754,1550,3954,6389,72,61,45406,10595,1043,33,0,0,0
450,1544927076716,27212,-1.011601454e+06,712,1614,3944,6314,54,61,45461,10558,1033,25,0,0,0
460,1544927079473,27236,-1.010970189e+06,790,1581,3876,6288,56,56,45473,10587,991,26,0,0,0
470,1544927081619,27096,-1.012459449e+06,779,1629,3930,6417,50,61,45279,10761,1006,31,0,0,0
480,1544927084351,27003,-1.013380297e+06,747,1600,4034,6518,55,64,45165,10847,1025,39,1,0,0
490,1544927086884,27073,-1.013055923e+06,755,1585,4033,6388,65,67,45266,10757,1026,28,0,0,0
500,1544927089257,27113,-1.012512022e+06,725,1608,4092,6273,60,59,45337,10691,1021,28,0,0,0
510,1544927091769,27101,-1.013119699e+06,784,1660,4020,6356,65,60,45196,10840,1019,21,1,0,0
520,1544927094505,27090,-1.013620447e+06,731,1731,4074,6342,64,64,45186,10807,1054,29,1,0,0
530,1544927096670,27065,-1.012731967e+06,774,1707,4041,6252,50,62,45277,10750,1014,36,0,0,0
540,1544927099229,27149,-1.012390507e+06,726,1807,4005,6159,67,59,45346,10667,1036,28,0,0,0
550,1544927101779,27056,-1.012666464e+06,729,1780,4057,6190,70,49,45241,10828,977,31,0,0,0
560,1544927103928,26997,-1.013551015e+06,688,1841,4094,6299,57,58,45159,10833,1051,34,0,0,0
570,1544927106389,27044,-1.013388136e+06,712,1851,4092,6256,61,58,45134,10891,1017,35,0,0,0
580,1544927109006,27097,-1.013084482e+06,687,1869,4106,6078,71,78,45266,10764,1016,31,0,0,0
590,1544927110846,27031,-1.013583367e+06,804,1882,4141,6103,62,62,45178,10774,1095,30,0,0,0
600,1544927113767,27017,-1.014014856e+06,720,1880,4216,6125,64,60,45153,10809,1089,26,0,0,0
610,1544927116277,26973,-1.014351778e+06,803,1867,4272,6100,46,60,45093,10855,1095,33,1,0,0
620,1544927118305,27038,-1.013714891e+06,792,1891,4227,6006,54,66,45198,10756,1089,34,0,0,0
630,1544927120722,27043,-1.013294874e+06,825,1889,4134,6056,52,60,45196,10779,1071,29,2,0,0
640,1544927123537,27088,-1.012941108e+06,798,1898,4121,5991,54,71,45233,10788,1024,31,1,0,0
650,1544927125537,27054,-1.013602217e+06,816,1840,4189,6039,51,57,45229,10733,1086,29,0,0,0
660,1544927128060,27027,-1.013490304e+06,827,1848,4144,6105,58,51,45147,10859,1039,32,0,0,0
670,1544927129932,27049,-1.014004302e+06,895,1927,4102,6126,58,47,45095,10859,1073,50,0,0,0
680,1544927132551,27086,-1.012690781e+06,810,1893,4070,6048,56,46,45277,10706,1065,29,0,0,0
690,1544927135092,27062,-1.013717823e+06,860,1960,4136,6076,70,39,45124,10809,1100,44,0,0,0
700,1544927137546,27050,-1.013837498e+06,774,1959,4203,5966,52,61,45218,10741,1081,36,1,0,0
710,1544927140055,26965,-1.014374183e+06,793,2011,4199,6074,52,60,45138,10735,1159,44,1,0,0
720,1544927142689,27034,-1.014488141e+06,805,1994,4207,6052,57,67,45063,10881,1098,35,0,0,0
730,1544927144624,26980,-1.013853722e+06,725,1952,4231,6072,47,60,45148,10796,1108,25,0,0,0
