iteration,0,1,2,3,4,5,6,7
0,8440,7241,7246,8504,5980,6820,6841,6005
10,7772,6771,6759,7895,6471,7503,7392,6514
20,7627,6634,6797,7983,6524,7440,7485,6587
30,7797,6709,6835,7914,6544,7388,7445,6445
40,7939,6828,6724,7915,6469,7388,7453,6361
50,7941,6786,6930,8020,6503,7402,7178,6317
60,7790,6845,6941,8062,6387,7311,7315,6426
70,7853,6778,6835,8148,6397,7374,7286,6406
80,7980,6897,6885,8092,6263,7264,7328,6368
90,7896,6945,6872,8170,6311,7362,7227,6294
100,7908,6826,6917,8134,6426,7264,7262,6340
110,7928,6871,6889,8163,6360,7264,7264,6338
120,7844,6936,6975,8222,6354,7347,7119,6280
130,8022,6836,6847,8165,6347,7303,7278,6279
140,7925,6962,7065,8124,6211,7303,7191,6296
150,7976,6899,6928,8110,6316,7248,7198,6402
160,7952,6901,6872,8214,6397,7234,7165,6342
170,7848,7051,6943,8083,6316,7371,7178,6287
180,7855,6941,6987,8254,6138,7295,7206,6401
190,7924,6873,6872,8025,6388,7388,7238,6369
200,8125,6911,6942,8096,6281,7198,7288,6236
210,8008,6853,6985,8099,6237,7401,7150,6344
220,8002,6873,6904,8188,6129,7358,7320,6303
230,8059,6877,6881,8080,6293,7198,7310,6379
240,7971,6845,6882,8243,6367,7290,7166,6313
250,7900,7019,6980,8151,6298,7287,7183,6259
260,7880,7017,6948,8168,6220,7324,7225,6295
270,7926,6923,6964,8136,6343,7338,7245,6202
280,8125,6966,6950,8088,6200,7263,7238,6247
290,7986,6932,6900,8213,6244,7341,7231,6230
300,7871,6890,6892,8304,6318,7293,7147,6362
310,7929,6973,6991,8061,6275,7318,7198,6332
320,7987,6826,6941,8222,6336,7272,7234,6259
330,7985,6892,6930,8115,6227,7328,7298,6302
340,7948,6917,6873,8135,6258,7299,7332,6315
350,7994,6926,6919,8162,6246,7257,7294,6279
360,7942,6833,6939,8181,6370,7220,7238,6354
370,8000,6841,6853,8321,6296,7224,7312,6230
380,7933,6926,7059,8289,6201,7190,7184,6295
390,7900,6953,6903,8221,6265,7333,7162,6340
400,8026,6899,6937,8116,6343,7226,7228,6302
410,8024,6923,6876,8235,6231,7257,7202,6329
420,7977,6877,6898,8190,6252,7390,7305,6188
430,8082,6999,6936,8139,6265,7207,7055,6394
440,8076,6755,6997,8083,6322,7275,7222,6347
450,8035,6873,6800,8127,6343,7342,7249,6308
460,8000,6888,6840,8241,6341,7292,7175,6300
470,8028,6803,6928,8144,6382,7244,7228,6320
480,7866,7015,6768,8137,6416,7343,7198,6334
490,7996,6849,6915,8123,6424,7205,7268,6297
500,7941,6952,7062,8143,6239,7328,7124,6288
510,7935,7009,6971,8076,6283,7282,7227,6294
520,7932,7051,6886,8146,6288,7297,7149,6328
530,7926,6949,6996,8150,6338,7170,7171,6377
540,7962,6832,6919,8148,6325,7291,7250,6350
550,7917,6958,6874,8157,6272,7375,7213,6311
560,7915,6941,6946,8208,6305,7243,7214,6305
570,7950,6895,6948,8058,6286,7293,7300,6347
580,7930,6989,6867,8135,6344,7249,7211,6352
590,8033,6785,6887,8157,6336,7352,7235,6292
600,7947,6895,7009,8013,6331,7387,7189,6306
610,7997,6918,6919,8148,6318,7287,7178,6312
620,7986,6959,6929,8154,6300,7329,7072,6348
630,8083,6953,6852,8072,6256,7377,7199,6285
640,7973,7009,6893,8251,6208,7238,7205,6300
650,7907,7038,6949,8122,6278,7257,7253,6273
660,8170,6926,6829,8141,6147,7284,7314,6266
670,7960,6943,6973,8205,6360,7253,7178,6205
680,8010,7067,6878,8162,6375,7165,7145,6275
690,8034,6991,6864,8043,6347,7251,7225,6322
700,7931,7041,6862,8233,6282,7327,7153,6248
710,8067,6893,7010,8129,6206,7268,7177,6327
720,7991,6962,6921,8108,6269,7344,7160,6322
730,7915,6953,7099,8111,6316,7230,7133,6320
740,7948,7031,6927,8141,6332,7173,7267,6258
750,7960,6866,7071,8185,6271,7271,7132,6321
760,7899,6996,6961,8223,6309,7348,7128,6213
