iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-by,aggDist-bm,aggDist-bd,aggDist-fname_c1,aggDist-lname_c1,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5
0,1545114368301,10000,-1.994567976e+05,0,0,0,0,0,10000,0,0,0,0,0
10,1545115176419,9989,-1.999513727e+05,2,4,5,74,57,9858,142,0,0,0,0
20,1545115975218,9975,-2.006462385e+05,1,9,10,154,98,9732,264,4,0,0,0
30,1545116770150,9947,-2.017152745e+05,2,13,20,271,174,9528,465,6,1,0,0
40,1545117564440,9924,-2.024259335e+05,3,15,20,348,267,9360,627,13,0,0,0
50,1545118359496,9882,-2.034821345e+05,3,19,25,451,434,9091,886,23,0,0,0
60,1545119164110,9818,-2.058733254e+05,5,23,31,878,679,8457,1470,73,0,0,0
70,1545119963679,9742,-2.071381265e+05,7,24,37,1171,863,8003,1893,103,1,0,0
80,1545120769954,9664,-2.083539570e+05,10,19,34,1374,1133,7597,2236,167,0,0,0
90,1545121582393,9616,-2.099899115e+05,13,31,41,1790,1300,7089,2647,264,0,0,0
100,1545122398403,9556,-2.114635843e+05,14,46,50,2066,1664,6547,3071,377,5,0,0
110,1545123202774,9523,-2.118348501e+05,19,63,52,2187,1674,6430,3149,417,4,0,0
120,1545124007562,9492,-2.124797090e+05,18,54,54,2215,1869,6267,3262,465,6,0,0
130,1545124818430,9471,-2.130314487e+05,19,50,63,2369,2150,5912,3531,551,6,0,0
140,1545125619667,9458,-2.127873566e+05,19,45,58,2325,1965,6082,3430,482,6,0,0
150,1545126424945,9446,-2.128621242e+05,18,48,65,2400,1907,6080,3407,508,5,0,0
160,1545127227094,9434,-2.129708467e+05,20,41,71,2558,1916,5912,3577,504,7,0,0
170,1545128015818,9422,-2.128747978e+05,19,53,68,2382,1901,6096,3389,511,4,0,0
180,1545128813212,9419,-2.130586795e+05,24,47,63,2398,1950,6039,3453,495,13,0,0
190,1545129611068,9411,-2.131786358e+05,23,64,69,2381,1991,6029,3422,541,8,0,0
200,1545130409515,9407,-2.140011297e+05,26,86,68,2693,2097,5652,3733,608,7,0,0
210,1545131216143,9396,-2.140350031e+05,25,81,70,2656,2141,5672,3687,637,4,0,0
220,1545132026306,9392,-2.140141240e+05,25,84,78,2681,2116,5665,3695,631,9,0,0
230,1545132828749,9388,-2.147845230e+05,25,82,82,2562,2557,5422,3857,712,9,0,0
240,1545133634492,9382,-2.142913577e+05,26,97,83,2518,2274,5649,3715,625,11,0,0
250,1545134439819,9378,-2.140445950e+05,25,87,70,2762,2045,5640,3743,605,12,0,0
260,1545135249363,9376,-2.137922755e+05,20,76,79,2599,2074,5727,3705,561,7,0,0
270,1545136052212,9372,-2.141508988e+05,23,93,82,2621,2102,5682,3724,585,9,0,0
280,1545136866911,9370,-2.140173238e+05,24,96,91,2527,2092,5764,3653,572,11,0,0
290,1545137691329,9365,-2.143771452e+05,23,89,89,2560,2209,5701,3644,639,16,0,0
300,1545138500668,9364,-2.146993690e+05,24,86,99,2772,2250,5476,3827,687,10,0,0
310,1545139303227,9364,-2.146474209e+05,23,74,91,2840,2260,5443,3840,703,14,0,0
320,1545140102189,9358,-2.148257848e+05,24,93,105,2934,2073,5471,3843,672,14,0,0
330,1545140898486,9353,-2.144002307e+05,28,95,102,2734,2072,5579,3824,584,13,0,0
340,1545141701528,9352,-2.150316485e+05,30,113,102,2782,2234,5437,3877,674,12,0,0
350,1545142511217,9351,-2.150666682e+05,37,116,106,2651,2222,5542,3798,646,14,0,0
360,1545143325286,9346,-2.150245990e+05,40,138,113,2537,2263,5595,3731,662,12,0,0
370,1545144126822,9337,-2.153131828e+05,38,135,115,2717,2201,5483,3842,661,14,0,0
380,1545144925594,9335,-2.155648411e+05,41,148,110,2713,2375,5368,3893,723,16,0,0
390,1545145711970,9329,-2.158382842e+05,42,163,115,2738,2425,5318,3898,767,17,0,0
400,1545146507354,9327,-2.155342644e+05,40,155,123,2773,2145,5497,3785,703,15,0,0
410,1545147297595,9323,-2.160234831e+05,43,176,128,2821,2267,5314,3950,723,13,0,0
420,1545148107358,9319,-2.162301638e+05,41,222,123,2855,2241,5324,3896,755,24,1,0
430,1545148898158,9311,-2.165240581e+05,41,231,128,2775,2429,5241,3944,785,30,0,0
440,1545149692666,9308,-2.163191766e+05,44,232,127,2741,2395,5323,3845,802,30,0,0
450,1545150487690,9299,-2.160650014e+05,43,252,129,2550,2180,5573,3722,683,22,0,0
460,1545151274111,9295,-2.167829419e+05,50,298,146,2713,2303,5310,3896,768,26,0,0
470,1545152063120,9291,-2.172955165e+05,51,331,143,2812,2231,5276,3911,782,31,0,0
480,1545152858209,9285,-2.172675659e+05,56,314,156,2935,2202,5207,3968,780,45,0,0
490,1545153656994,9282,-2.168208586e+05,61,290,153,2847,2165,5270,3968,739,22,1,0
500,1545154460150,9274,-2.177490470e+05,64,318,145,3090,2273,5050,4051,858,41,0,0
