iteration,0,1,2,3,4,5,6
0,0,10000,0,0,0,0,0
10,17,9966,17,0,0,0,0
20,69,9862,69,0,0,0,0
30,160,9680,160,0,0,0,0
40,281,9438,281,0,0,0,0
50,412,9176,412,0,0,0,0
60,562,8880,554,4,0,0,0
70,719,8571,701,9,0,0,0
80,885,8248,849,18,0,0,0
90,1025,7973,979,23,0,0,0
100,1158,7711,1104,27,0,0,0
110,1272,7499,1188,39,2,0,0
120,1368,7311,1275,45,1,0,0
130,1483,7101,1352,61,3,0,0
140,1563,6946,1423,64,4,0,0
150,1622,6847,1445,81,5,0,0
160,1668,6751,1497,81,3,0,0
170,1726,6644,1536,92,2,0,0
180,1752,6595,1557,93,3,0,0
190,1795,6521,1577,103,4,0,0
200,1855,6418,1605,116,6,0,0
210,1911,6314,1645,124,6,0,0
220,1889,6358,1628,114,11,0,0
230,1898,6344,1629,118,11,0,0
240,1933,6283,1646,128,9,1,0
250,1947,6258,1652,134,9,0,0
260,1955,6246,1647,148,4,0,0
270,1941,6270,1646,134,9,0,0
280,1951,6256,1642,144,7,0,0
290,1998,6172,1672,148,10,0,0
300,2005,6166,1663,157,8,1,0
310,1971,6237,1622,161,9,0,0
320,2006,6165,1661,159,9,0,0
330,2017,6161,1639,173,8,2,0
340,2016,6156,1650,168,10,0,0
350,1999,6180,1650,164,7,0,0
360,1988,6219,1615,161,17,0,0
370,1997,6179,1661,153,10,0,0
380,1987,6200,1650,152,11,0,0
390,1971,6237,1621,163,8,0,0
400,1990,6200,1638,164,8,0,0
410,1954,6251,1645,141,9,0,0
420,1941,6278,1628,146,7,0,0
430,1943,6287,1609,149,12,0,0
440,1947,6275,1617,153,8,0,0
450,1948,6269,1626,149,8,0,0
460,1987,6185,1676,145,7,0,0
470,1979,6203,1664,148,5,1,0
480,2004,6161,1672,157,6,0,0
490,2012,6155,1664,159,10,0,0
500,1995,6191,1646,155,13,0,0
510,2005,6151,1690,147,7,0,0
520,2010,6151,1677,154,7,1,0
530,2013,6144,1679,158,6,0,0
540,1982,6202,1658,150,8,0,0
550,1991,6178,1683,136,12,0,0
560,1934,6286,1637,132,11,0,0
570,1966,6225,1661,139,9,0,0
580,1976,6215,1649,154,5,1,0
590,1945,6270,1632,147,5,1,0
600,1953,6270,1610,158,9,0,0
610,1973,6221,1647,151,8,0,0
620,1948,6279,1607,157,9,0,0
630,1952,6256,1639,146,7,0,0
640,1935,6295,1614,149,5,2,0
650,1952,6272,1605,167,3,1,0
660,1989,6190,1658,159,3,1,0
670,2015,6135,1691,154,4,1,0
680,1998,6172,1670,152,8,0,0
690,2007,6165,1655,167,6,0,0
700,2013,6167,1638,171,11,0,0
710,2009,6154,1676,151,9,1,0
720,1969,6234,1636,150,11,0,0
730,1930,6307,1604,151,8,0,0
740,1942,6293,1595,163,7,0,0
750,1956,6281,1576,181,6,0,0
760,1969,6254,1596,170,11,0,0
770,1976,6234,1614,167,8,1,0
780,1995,6195,1632,171,7,0,0
790,1985,6210,1635,161,8,1,0
800,1988,6203,1641,157,11,0,0
810,1977,6225,1630,157,11,0,0
820,1950,6278,1601,164,7,0,0
830,1944,6274,1628,146,8,0,0
840,1978,6212,1648,156,6,0,0
850,1990,6187,1668,143,12,0,0
860,1975,6200,1689,122,14,0,0
870,1991,6177,1684,137,11,0,0
880,1987,6204,1643,155,10,1,0
890,1964,6255,1605,169,7,0,0
900,1944,6300,1577,171,7,1,0
910,1969,6232,1635,158,6,0,0
920,1969,6243,1615,165,8,0,0
930,1977,6208,1665,138,12,0,0
940,1961,6244,1639,146,10,0,0
950,1980,6211,1646,155,8,0,0
960,1948,6260,1646,136,10,0,0
970,1973,6220,1653,142,12,0,0
980,1954,6247,1653,137,9,0,0
990,1962,6233,1655,143,7,0,0
1000,2018,6137,1683,152,9,1,0
1010,2007,6150,1686,152,3,2,0
1020,2030,6114,1696,147,12,1,0
1030,2025,6115,1707,141,12,0,0
1040,1964,6230,1658,138,10,0,0
1050,1972,6232,1631,155,9,1,0
