iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-by,aggDist-bm,aggDist-bd,aggDist-fname_c1,aggDist-lname_c1,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5
0,1545114983258,10000,-1.994567976e+05,0,0,0,0,0,10000,0,0,0,0,0
10,1545114986356,9983,-2.017623717e+05,66,60,82,48,86,9662,334,4,0,0,0
20,1545114989276,9931,-2.040733943e+05,159,144,126,88,138,9357,631,12,0,0,0
30,1545114992007,9840,-2.087877635e+05,397,219,295,205,266,8695,1229,75,1,0,0
40,1545114994658,9719,-2.130391529e+05,637,333,478,323,268,8117,1732,147,3,1,0
50,1545114997925,9588,-2.173771860e+05,793,502,606,537,433,7403,2336,250,9,2,0
60,1545115000949,9438,-2.229691532e+05,1200,628,770,749,569,6584,2946,441,28,1,0
70,1545115003704,9281,-2.274963277e+05,1250,706,1077,1045,951,5879,3314,713,87,7,0
80,1545115006505,9115,-2.317440412e+05,1509,868,1183,1243,1143,5303,3583,983,127,4,0
90,1545115010238,8975,-2.355809091e+05,1661,959,1422,1397,1337,4770,3897,1132,189,12,0
100,1545115014753,8842,-2.398428767e+05,1842,1173,1523,1958,1596,4106,4079,1464,319,32,0
110,1545115018152,8728,-2.417206211e+05,1980,1167,1629,1999,1775,3887,4094,1632,356,31,0
120,1545115021476,8632,-2.435817279e+05,1962,1299,1815,2053,1850,3706,4115,1726,401,51,1
130,1545115025169,8517,-2.471755509e+05,2179,1504,1923,2294,1971,3305,4188,1920,509,74,4
140,1545115028393,8437,-2.484836543e+05,2193,1676,2032,2469,1820,3181,4168,2011,563,74,3
150,1545115031796,8378,-2.504529055e+05,2475,1593,2131,2515,1883,3038,4131,2137,592,94,8
160,1545115035295,8332,-2.504502217e+05,2442,1734,2055,2503,1916,3030,4141,2097,619,107,6
170,1545115038594,8274,-2.524276551e+05,2485,1699,2221,2720,2180,2787,4106,2271,704,115,17
180,1545115041992,8248,-2.523683808e+05,2404,1870,2253,2623,2078,2768,4183,2242,678,118,11
190,1545115045694,8205,-2.534050766e+05,2537,1828,2255,2912,2053,2678,4085,2360,742,121,14
200,1545115049382,8145,-2.553701592e+05,2654,1974,2349,2769,2320,2505,4085,2429,811,160,10
210,1545115053147,8089,-2.564628927e+05,2819,1918,2353,2736,2336,2427,4156,2438,800,165,14
220,1545115056886,8111,-2.562614465e+05,2764,2010,2340,2742,2340,2453,4076,2470,836,153,12
230,1545115060675,8102,-2.563220636e+05,2682,2010,2406,2874,2281,2437,4069,2496,810,178,10
240,1545115064628,8067,-2.577717458e+05,2745,2062,2510,2994,2353,2350,3958,2573,925,185,9
250,1545115068318,8053,-2.568179121e+05,2635,2015,2375,3046,2504,2334,4026,2564,900,159,17
260,1545115071971,8045,-2.575754489e+05,2794,2064,2447,2915,2409,2398,3868,2640,908,173,13
270,1545115075512,8059,-2.561667910e+05,2701,1959,2328,3001,2390,2395,4026,2591,795,179,14
280,1545115079293,8049,-2.570698128e+05,2794,1968,2384,2898,2393,2405,3986,2585,827,185,12
290,1545115083095,8002,-2.580609797e+05,2782,1992,2480,3188,2678,2141,4023,2644,979,193,20
300,1545115087339,7995,-2.582754145e+05,2842,2079,2494,2989,2404,2276,3972,2632,919,190,11
310,1545115090916,8029,-2.579297084e+05,2776,2010,2513,3016,2348,2369,3918,2593,937,167,16
320,1545115094677,7994,-2.580590871e+05,2738,2186,2442,3120,2344,2267,4008,2574,942,197,12
330,1545115098485,7983,-2.587262189e+05,2703,2185,2590,3005,2499,2294,3894,2615,953,221,23
340,1545115102528,7984,-2.589847306e+05,2767,2203,2531,3118,2483,2211,3974,2567,1017,212,19
350,1545115106688,8001,-2.582881999e+05,2763,2112,2463,3093,2412,2300,3966,2573,934,206,21
360,1545115110657,8012,-2.576091604e+05,2701,1955,2496,3162,2483,2292,4001,2561,919,218,9
370,1545115114598,8003,-2.578979021e+05,2734,2069,2406,3137,2652,2205,3983,2652,945,199,16
380,1545115118447,8013,-2.577603949e+05,2833,2052,2415,2970,2433,2346,3965,2548,940,183,18
390,1545115122288,8029,-2.574358071e+05,2724,2005,2455,3078,2457,2294,4030,2578,876,205,17
400,1545115126330,8010,-2.575750366e+05,2748,2094,2449,2980,2438,2244,4063,2640,859,181,13
410,1545115129998,8046,-2.571520108e+05,2644,2051,2440,3003,2439,2347,3986,2593,904,157,13
420,1545115133673,8059,-2.554831947e+05,2591,1947,2284,3140,2399,2404,4055,2508,851,173,9
430,1545115137356,8057,-2.565417682e+05,2630,1993,2352,3159,2461,2352,4004,2546,913,165,20
440,1545115141162,8053,-2.562694795e+05,2643,1981,2270,3212,2447,2356,4004,2586,851,191,12
450,1545115144853,8052,-2.563167989e+05,2584,1935,2378,3090,2662,2322,4011,2573,895,188,11
460,1545115148780,8013,-2.573097670e+05,2800,1948,2343,2972,2608,2324,3972,2631,872,184,17
470,1545115152486,8021,-2.573909472e+05,2680,1980,2413,3221,2613,2187,4061,2633,914,187,18
480,1545115156459,7996,-2.579327273e+05,2689,2044,2507,3228,2613,2250,3884,2644,991,219,12
490,1545115160308,7988,-2.588857884e+05,2830,2131,2399,3243,2686,2115,3928,2747,996,191,23
500,1545115164566,8005,-2.580433492e+05,2774,2054,2384,3078,2640,2293,3916,2589,986,202,14
