iteration,0,1,2,3,4,5,6,7
0,0,10000,0,0,0,0,0,0
10,19,9962,19,0,0,0,0,0
20,83,9834,83,0,0,0,0,0
30,199,9603,197,1,0,0,0,0
40,335,9333,329,3,0,0,0,0
50,484,9035,478,3,0,0,0,0
60,625,8754,617,4,0,0,0,0
70,782,8448,758,12,0,0,0,0
80,927,8158,903,12,0,0,0,0
90,1082,7862,1031,24,1,0,0,0
100,1220,7598,1145,36,1,0,0,0
110,1353,7348,1247,50,2,0,0,0
120,1424,7206,1318,50,2,0,0,0
130,1539,6991,1403,65,2,0,0,0
140,1616,6847,1461,73,3,0,0,0
150,1667,6754,1493,84,2,0,0,0
160,1734,6636,1529,98,3,0,0,0
170,1792,6543,1545,113,7,0,0,0
180,1811,6507,1561,113,8,0,0,0
190,1852,6437,1575,131,5,0,0,0
200,1899,6360,1592,141,7,1,0,0
210,1934,6291,1629,134,11,1,0,0
220,1938,6270,1656,127,8,1,0,0
230,1921,6317,1612,141,9,0,0,0
240,1944,6263,1652,131,10,0,0,0
250,1919,6324,1603,147,6,1,0,0
260,1886,6371,1608,127,8,0,0,0
270,1898,6341,1629,127,5,0,0,0
280,1878,6374,1623,120,5,0,0,0
290,1906,6337,1612,141,4,0,0,0
300,1921,6315,1613,145,6,0,0,0
310,1935,6287,1634,131,13,0,0,0
320,1979,6204,1663,146,8,0,0,0
330,1985,6192,1669,146,8,0,0,0
340,1984,6206,1648,151,10,1,0,0
350,1991,6201,1640,155,11,2,0,0
360,1987,6201,1653,144,14,1,0,0
370,1987,6196,1658,148,11,0,0,0
380,2001,6182,1647,157,12,1,0,0
390,1977,6216,1647,150,10,0,0,0
400,1962,6231,1656,147,4,0,0,0
410,1988,6210,1621,177,3,1,0,0
420,2000,6181,1648,162,8,1,0,0
430,2006,6156,1681,147,9,1,0,0
440,2008,6147,1691,146,7,1,0,0
450,2002,6151,1699,141,7,0,0,0
460,1999,6163,1686,144,7,1,0,0
470,1979,6217,1637,159,8,0,0,0
480,1978,6216,1644,153,8,1,0,0
490,1958,6231,1670,135,6,0,0,0
500,1955,6245,1655,136,8,1,0,0
510,1978,6202,1669,144,7,0,0,0
520,2008,6132,1719,134,7,0,0,0
530,1987,6181,1685,139,8,0,0,0
540,1968,6213,1681,127,11,0,0,0
550,1955,6251,1641,145,8,0,0,0
560,1988,6184,1677,142,9,0,0,0
570,2006,6147,1694,147,6,0,0,0
580,1988,6191,1665,146,9,1,0,0
590,1991,6170,1694,139,5,1,0,0
600,1985,6175,1702,131,7,0,0,0
610,2008,6145,1694,145,8,0,0,0
620,2025,6123,1689,153,10,0,0,0
630,2008,6146,1694,142,10,0,0,0
640,2029,6115,1690,159,7,0,0,0
650,2042,6070,1742,138,8,0,0,0
660,2027,6119,1692,153,7,2,0,0
670,2048,6090,1688,163,10,1,0,0
680,2015,6151,1664,159,11,0,0,0
690,2029,6124,1677,158,12,0,0,0
700,2012,6152,1672,152,12,0,0,0
710,2022,6131,1680,159,8,0,0,0
720,2015,6141,1683,151,10,0,0,0
730,2009,6154,1672,158,7,0,0,0
740,2029,6124,1674,164,9,0,0,0
750,1997,6168,1684,140,11,0,0,0
760,1979,6196,1679,138,8,0,0,0
770,1980,6194,1682,134,10,0,0,0
780,2016,6132,1697,146,9,0,0,0
790,2002,6163,1673,157,5,0,0,0
800,2005,6153,1684,153,5,0,0,0
810,2017,6128,1696,156,3,0,0,0
820,2012,6148,1671,166,3,0,0,0
830,2020,6141,1665,167,7,0,0,0
840,2021,6135,1675,161,8,0,0,0
850,2017,6129,1703,140,10,1,0,0
860,2018,6126,1701,148,7,0,0,0
870,2028,6110,1706,147,8,1,0,0
880,1976,6219,1642,155,8,0,0,0
890,2008,6157,1667,163,5,0,0,0
900,1973,6224,1644,151,5,3,0,0
910,1950,6265,1630,148,5,1,1,0
920,1986,6201,1647,160,5,1,0,0
930,1964,6237,1642,149,8,0,0,0
940,1960,6236,1653,147,3,1,0,0
950,1986,6183,1680,147,4,0,0,0
960,1993,6180,1672,144,11,0,0,0
970,1993,6186,1657,156,8,0,0,0
980,2004,6155,1681,158,1,1,0,0
990,1996,6172,1671,158,3,0,0,0
1000,2007,6151,1682,155,5,0,0,0
1010,1986,6185,1677,148,3,1,0,0
1020,2018,6126,1701,149,5,1,0,0
1030,2013,6149,1669,163,6,0,0,0
1040,2002,6171,1661,157,9,0,0,0
1050,2002,6161,1678,153,6,0,0,0
1060,1991,6187,1664,148,9,1,0,0
1070,2004,6167,1666,151,12,0,0,0
1080,1953,6250,1650,138,9,0,0,0
1090,1980,6205,1659,148,7,1,0,0
1100,1976,6207,1666,143,8,0,0,0
1110,1960,6244,1642,144,10,0,0,0
1120,1972,6214,1662,146,6,0,0,0
1130,1991,6183,1666,155,5,0,0,0
1140,1980,6204,1665,139,11,1,0,0
1150,2013,6144,1683,150,10,0,0,0
1160,1981,6209,1651,147,12,0,0,0
1170,1974,6220,1644,156,6,0,0,0
1180,1989,6195,1651,157,8,0,0,0
1190,2005,6180,1634,172,9,0,0,0
1200,1990,6197,1648,153,12,0,0,0
1210,1976,6209,1663,143,9,0,0,0
1220,1972,6221,1649,151,7,0,0,0
