iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,39743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18417,10330,6395,2693,1241,474,153,30,8,2,0,0,0,0,0,0,0,0,0,0
20,19362,9520,6043,2551,1362,554,242,68,34,5,1,1,0,0,0,0,0,0,0,0
30,19760,9022,6025,2639,1326,584,245,95,32,12,2,1,0,0,0,0,0,0,0,0
40,20277,8450,5972,2646,1322,620,272,113,51,12,4,4,0,0,0,0,0,0,0,0
50,20582,8150,5802,2769,1318,626,307,111,54,15,7,1,0,1,0,0,0,0,0,0
60,20796,7790,5897,2755,1381,652,300,103,46,14,6,1,2,0,0,0,0,0,0,0
70,21086,7454,5835,2812,1400,655,305,128,44,16,5,1,1,1,0,0,0,0,0,0
80,21330,7144,5819,2875,1387,678,304,116,59,26,2,2,0,0,1,0,0,0,0,0
90,21364,7162,5736,2893,1405,674,297,113,58,23,11,3,1,2,0,1,0,0,0,0
100,21552,6988,5675,2831,1475,701,290,141,51,26,9,1,2,1,0,0,0,0,0,0
110,21567,6994,5634,2876,1437,693,301,147,61,20,8,3,2,0,0,0,0,0,0,0
120,21708,6782,5642,2923,1482,642,318,151,65,20,5,5,0,0,0,0,0,0,0,0
130,21704,6878,5506,2971,1458,669,313,138,62,25,15,1,2,1,0,0,0,0,0,0
140,21628,6958,5631,2842,1431,688,310,146,61,28,14,2,3,1,0,0,0,0,0,0
150,21736,6794,5585,2938,1433,705,309,137,73,22,8,3,0,0,0,0,0,0,0,0
160,21715,6856,5560,2915,1433,696,321,147,61,27,8,4,0,0,0,0,0,0,0,0
170,21704,6921,5509,2861,1496,675,321,160,58,30,6,2,0,0,0,0,0,0,0,0
180,21761,6861,5443,2965,1453,684,329,137,70,28,8,4,0,0,0,0,0,0,0,0
190,21826,6788,5462,2903,1512,670,322,153,67,24,9,5,2,0,0,0,0,0,0,0
200,21883,6744,5422,2918,1482,723,308,154,68,27,10,3,1,0,0,0,0,0,0,0
210,21838,6811,5456,2888,1447,716,308,162,66,36,11,4,0,0,0,0,0,0,0,0
220,21971,6637,5420,2923,1473,734,321,158,69,22,12,3,0,0,0,0,0,0,0,0
230,21884,6739,5493,2871,1417,766,316,128,80,30,11,3,3,2,0,0,0,0,0,0
240,21805,6800,5502,2894,1441,727,320,150,66,24,10,4,0,0,0,0,0,0,0,0
250,21875,6809,5340,2946,1479,704,321,167,60,25,9,7,0,1,0,0,0,0,0,0
260,21950,6637,5399,3004,1467,706,342,129,63,27,13,6,0,0,0,0,0,0,0,0
270,21925,6600,5539,2915,1473,733,316,141,60,22,10,6,3,0,0,0,0,0,0,0
280,21893,6733,5472,2878,1459,722,316,150,73,25,11,11,0,0,0,0,0,0,0,0
290,21906,6668,5440,2996,1458,689,339,141,64,26,13,3,0,0,0,0,0,0,0,0
300,21916,6745,5345,2938,1477,742,323,170,54,22,6,2,3,0,0,0,0,0,0,0
310,21872,6769,5368,2977,1460,725,331,139,57,29,12,3,0,1,0,0,0,0,0,0
320,21986,6625,5356,2974,1531,689,336,146,55,25,13,3,3,1,0,0,0,0,0,0
330,21867,6778,5445,2856,1484,738,323,147,58,31,9,4,2,1,0,0,0,0,0,0
340,21929,6710,5369,3007,1433,679,358,145,61,30,17,4,1,0,0,0,0,0,0,0
350,21910,6699,5389,3018,1472,664,334,141,67,27,15,2,3,2,0,0,0,0,0,0
360,21923,6671,5435,2992,1423,709,333,142,63,33,13,6,0,0,0,0,0,0,0,0
370,22035,6672,5262,2964,1465,727,335,168,76,28,8,2,1,0,0,0,0,0,0,0
380,21941,6671,5410,2928,1528,679,329,144,63,31,13,6,0,0,0,0,0,0,0,0
390,22018,6611,5326,2999,1494,690,357,140,66,24,11,5,1,0,1,0,0,0,0,0
400,21974,6621,5415,2926,1489,742,328,154,58,25,8,3,0,0,0,0,0,0,0,0
410,21817,6780,5461,2957,1433,736,327,140,46,27,12,2,3,1,1,0,0,0,0,0
420,21887,6751,5377,2937,1494,732,326,138,61,25,10,4,1,0,0,0,0,0,0,0
430,21968,6674,5348,2911,1541,724,350,129,59,17,16,5,0,1,0,0,0,0,0,0
440,21923,6736,5340,2942,1534,670,338,156,59,32,10,1,2,0,0,0,0,0,0,0
450,21930,6813,5242,2924,1517,731,325,156,62,25,10,8,0,0,0,0,0,0,0,0
460,21953,6696,5383,2861,1547,733,327,134,64,27,13,2,1,2,0,0,0,0,0,0
470,21879,6754,5441,2899,1478,700,320,167,54,35,14,2,0,0,0,0,0,0,0,0
480,21850,6824,5425,2829,1494,732,338,148,64,26,8,4,1,0,0,0,0,0,0,0
490,21836,6901,5310,2921,1448,730,334,155,63,31,10,3,1,0,0,0,0,0,0,0
500,21906,6792,5376,2865,1503,679,337,177,67,22,11,6,1,0,1,0,0,0,0,0
510,21895,6738,5409,2943,1450,715,353,127,67,27,13,5,1,0,0,0,0,0,0,0
520,21919,6784,5298,2912,1536,698,346,150,57,27,8,8,0,0,0,0,0,0,0,0
530,21810,6789,5456,2957,1433,714,343,156,59,18,5,1,2,0,0,0,0,0,0,0
540,21866,6713,5416,3046,1429,699,335,145,50,29,9,3,0,2,1,0,0,0,0,0
550,21906,6813,5310,2936,1450,708,355,156,65,28,10,5,0,1,0,0,0,0,0,0
560,21907,6737,5430,2886,1483,720,312,141,75,33,11,7,0,1,0,0,0,0,0,0
