iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
0,1545869923974,39743,-5.263634225e+05,0,0,0,0,0,0,0,0,39743,0,0,0,0,0,0,0,0
10,1545869927466,21326,-5.359113483e+05,247,160,196,190,57,115,175,117,38501,1227,15,0,0,0,0,0,0
20,1545869930232,20381,-5.405926261e+05,546,212,339,310,72,137,272,100,37792,1914,37,0,0,0,0,0,0
30,1545869932784,19983,-5.451420080e+05,914,295,376,496,74,167,331,89,37056,2633,53,1,0,0,0,0,0
40,1545869935514,19466,-5.496914883e+05,1451,316,406,583,92,159,397,97,36354,3279,108,2,0,0,0,0,0
50,1545869938153,19161,-5.540270823e+05,2083,326,459,651,60,189,378,93,35646,3958,136,3,0,0,0,0,0
60,1545869940685,18947,-5.578579336e+05,2781,362,443,711,57,170,371,72,34929,4662,151,1,0,0,0,0,0
70,1545869943213,18657,-5.620918053e+05,3488,376,476,690,85,149,352,71,34234,5333,174,2,0,0,0,0,0
80,1545869945860,18413,-5.635777181e+05,3972,381,418,675,61,142,378,64,33840,5719,180,4,0,0,0,0,0
90,1545869948392,18379,-5.652546244e+05,4466,453,379,630,70,153,285,81,33455,6062,223,3,0,0,0,0,0
100,1545869952103,18191,-5.678224187e+05,5025,451,328,631,65,137,288,88,32986,6507,244,6,0,0,0,0,0
110,1545869954782,18176,-5.674539545e+05,5293,424,278,543,71,166,265,80,32867,6638,233,4,1,0,0,0,0
120,1545869957263,18035,-5.693655275e+05,5641,424,262,467,56,135,339,76,32563,6964,212,4,0,0,0,0,0
130,1545869959673,18039,-5.695036807e+05,5980,403,244,389,72,154,294,84,32375,7119,246,3,0,0,0,0,0
140,1545869962220,18115,-5.695299649e+05,6132,382,205,350,61,169,275,77,32298,7240,204,1,0,0,0,0,0
150,1545869964596,18007,-5.712365653e+05,6502,440,186,345,59,145,274,72,31968,7530,242,3,0,0,0,0,0
160,1545869967078,18028,-5.703574458e+05,6317,452,191,372,65,107,284,61,32101,7438,201,3,0,0,0,0,0
170,1545869969513,18039,-5.716090073e+05,6575,443,179,387,53,119,343,58,31833,7666,241,3,0,0,0,0,0
180,1545869972085,17982,-5.710463609e+05,6435,399,185,387,71,136,270,102,32017,7471,251,4,0,0,0,0,0
190,1545869974448,17917,-5.734602513e+05,6820,472,223,398,60,103,329,68,31510,7996,234,3,0,0,0,0,0
