iteration,0,1,2,3,4,5,6,7
0,4800,4812,4763,5515,4739,5504,4760,4850
10,4926,4941,4540,5675,4726,5432,4972,4531
20,4963,4905,4492,5779,4653,5559,4912,4480
30,5001,4933,4563,5758,4727,5454,4869,4438
40,5022,4887,4468,5817,4683,5433,4913,4520
50,5068,4909,4492,5703,4698,5420,4893,4560
60,5097,4983,4447,5805,4608,5494,4878,4431
70,5105,4840,4437,5685,4704,5498,4943,4531
80,5113,4965,4480,5772,4594,5425,4886,4508
90,5147,4888,4484,5640,4627,5469,4885,4603
100,5056,4994,4497,5717,4623,5418,4881,4557
110,5087,4957,4442,5755,4535,5442,5066,4459
120,5083,4984,4526,5692,4660,5444,4940,4414
130,5080,4809,4483,5782,4640,5380,4958,4611
140,5002,4895,4527,5787,4609,5391,5013,4519
150,5120,4901,4476,5811,4644,5365,4913,4513
160,5086,5002,4512,5722,4665,5372,4919,4465
170,5011,4905,4560,5807,4621,5379,4903,4557
180,5061,4958,4536,5768,4651,5460,4890,4419
190,5095,4932,4461,5778,4573,5483,4945,4476
200,5154,4931,4599,5712,4579,5367,4969,4432
210,5187,4942,4486,5670,4593,5396,5038,4431
220,5018,4956,4556,5812,4568,5353,5012,4468
230,5126,4906,4530,5669,4528,5435,4962,4587
240,5129,4890,4494,5824,4645,5333,4935,4493
250,5055,4860,4506,5755,4772,5312,4948,4535
260,5038,4948,4455,5708,4725,5366,5014,4489
270,5165,4941,4427,5775,4667,5399,4958,4411
280,5167,4945,4504,5670,4626,5334,4974,4523
290,5100,4979,4472,5751,4621,5389,5007,4424
300,4965,4954,4543,5814,4564,5396,5040,4467
310,5088,4927,4538,5761,4674,5307,4961,4487
320,5031,5070,4448,5762,4528,5310,5004,4590
330,5021,4886,4545,5677,4559,5424,5076,4555
340,5128,4936,4521,5773,4643,5362,4956,4424
350,5097,4980,4533,5555,4718,5417,4955,4488
360,5144,4911,4573,5801,4619,5346,4883,4466
370,5064,4968,4493,5717,4643,5425,4877,4556
380,5002,4927,4451,5742,4660,5464,4956,4541
390,5013,4987,4477,5708,4621,5372,5094,4471
400,5046,4979,4563,5719,4607,5353,5036,4440
410,5017,4911,4652,5704,4593,5384,5023,4459
420,5005,4906,4619,5719,4605,5401,5010,4478
430,5246,4887,4476,5789,4624,5323,4932,4466
440,5035,4975,4473,5607,4642,5405,4986,4620
450,5024,4961,4570,5747,4513,5434,5085,4409
460,5168,4841,4550,5666,4686,5511,4894,4427
470,5098,4801,4534,5712,4703,5506,4913,4476
480,5074,4962,4419,5683,4663,5384,5028,4530
